			Shelter	Food	Clothing and Footware	Mobility	Manufactured products 	Services
Paddy rice	p01.a	p01.a	0	1	0	0	0	0
Wheat	p01.b	p01.b	0	1	0	0	0	0
Cereal grains nec	p01.c	p01.c	0	1	0	0	0	0
Vegetables, fruit, nuts	p01.d	p01.d	0	1	0	0	0	0
Oil seeds	p01.e	p01.e	0	1	0	0	0	0
Sugar cane, sugar beet	p01.f	p01.f	0	1	0	0	0	0
Plant-based fibers	p01.g	p01.g	0	1	0	0	0	0
Crops nec	p01.h	p01.h	0	1	0	0	0	0
Cattle	p01.i	p01.i	0	1	0	0	0	0
Pigs	p01.j	p01.j	0	1	0	0	0	0
Poultry	p01.k	p01.k	0	1	0	0	0	0
Meat animals nec	p01.l	p01.l	0	1	0	0	0	0
Animal products nec	p01.m	p01.m	0	1	0	0	0	0
Raw milk	p01.n	p01.n	0	1	0	0	0	0
Wool, silk-worm cocoons	p01.o	p01.o	0	0	1	0	0	0
Manure (conventional treatment)	p01.w.1	p01.w.1	0	1	0	0	0	0
Manure (biogas treatment)	p01.w.2	p01.w.2	0	1	0	0	0	0
Products of forestry, logging and related services (02)	p02	p02	1	0	0	0	0	0
"Fish and other fishing products; services incidental of fishing (05)"	p05	p05	0	1	0	0	0	0
Anthracite	p10.a	p10.a	1	0	0	0	0	0
Coking Coal	p10.b	p10.b	1	0	0	0	0	0
Other Bituminous Coal	p10.c	p10.c	1	0	0	0	0	0
Sub-Bituminous Coal	p10.d	p10.d	1	0	0	0	0	0
Patent Fuel	p10.e	p10.e	1	0	0	0	0	0
Lignite/Brown Coal	p10.f	p10.f	1	0	0	0	0	0
BKB/Peat Briquettes	p10.g	p10.g	1	0	0	0	0	0
Peat	p10.h	p10.h	1	0	0	0	0	0
Crude petroleum and services related to crude oil extraction, excluding surveying	p11.a	p11.a	1	0	0	0	0	0
Natural gas and services related to natural gas extraction, excluding surveying	p11.b	p11.b	1	0	0	0	0	0
Natural Gas Liquids	p11.b.1	p11.b.1	1	0	0	0	0	0
Other Hydrocarbons	p11.c	p11.c	1	0	0	0	0	0
Uranium and thorium ores (12)	p12	p12	1	0	0	0	0	0
Iron ores	p13.1	p13.1	1	0	0	0	0	0
Copper ores and concentrates	p13.20.11	p13.20.11	1	0	0	0	0	0
Nickel ores and concentrates	p13.20.12	p13.20.12	1	0	0	0	0	0
Aluminium ores and concentrates	p13.20.13	p13.20.13	1	0	0	0	0	0
Precious metal ores and concentrates	p13.20.14	p13.20.14	1	0	0	0	0	0
Lead, zinc and tin ores and concentrates	p13.20.15	p13.20.15	1	0	0	0	0	0
Other non-ferrous metal ores and concentrates	p13.20.16	p13.20.16	1	0	0	0	0	0
Stone	p14.1	p14.1	1	0	0	0	0	0
Sand and clay	p14.2	p14.2	1	0	0	0	0	0
Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	p14.3	p14.3	0	1	0	0	0	0
Products of meat cattle	p15.a	p15.a	0	1	0	0	0	0
Products of meat pigs	p15.b	p15.b	0	1	0	0	0	0
Products of meat poultry	p15.c	p15.c	0	1	0	0	0	0
Meat products nec	p15.d	p15.d	0	1	0	0	0	0
products of Vegetable oils and fats	p15.e	p15.e	0	1	0	0	0	0
Dairy products	p15.f	p15.f	0	1	0	0	0	0
Processed rice	p15.g	p15.g	0	1	0	0	0	0
Sugar	p15.h	p15.h	0	1	0	0	0	0
Food products nec	p15.i	p15.i	0	1	0	0	0	0
Beverages	p15.j	p15.j	0	1	0	0	0	0
Fish products	p15.k	p15.k	0	1	0	0	0	0
Tobacco products (16)	p16	p16	0	1	0	0	0	0
Textiles (17)	p17	p17	0	0	1	0	0	0
"Wearing apparel; furs (18)"	p18	p18	0	0	1	0	0	0
Leather and leather products (19)	p19	p19	0	0	1	0	0	0
"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)"	p20	p20	1	0	0	0	0	0
Wood waste to recycling	p20.w	p20.w	1	0	0	0	0	0
Pulp	p21.1	p21.1	0	0	0	0	1	0
Paper waste to recycling	p21.w.1	p21.w.1	0	0	0	0	1	0
Paper and paper products	p21.2	p21.2	0	0	0	0	1	0
Printed matter and recorded media (22)	p22	p22	0	0	0	0	1	0
Coke Oven Coke	p23.1.a	p23.1.a	1	0	0	0	0	0
Gas Coke	p23.1.b	p23.1.b	1	0	0	0	0	0
Coal Tar	p23.1.c	p23.1.c	1	0	0	0	0	0
Motor Gasoline	p23.20.a	p23.20.a	0	0	0	1	0	0
Aviation Gasoline	p23.20.b	p23.20.b	0	0	0	1	0	0
Gasoline Type Jet Fuel	p23.20.c	p23.20.c	0	0	0	1	0	0
Kerosene Type Jet Fuel	p23.20.d	p23.20.d	0	0	0	1	0	0
Kerosene	p23.20.e	p23.20.e	1	0	0	0	0	0
Gas/Diesel Oil	p23.20.f	p23.20.f	0	0	0	1	0	0
Heavy Fuel Oil	p23.20.g	p23.20.g	0	0	0	1	0	0
Refinery Gas	p23.20.h	p23.20.h	1	0	0	0	0	0
Liquefied Petroleum Gases (LPG)	p23.20.i	p23.20.i	1	0	0	0	0	0
Refinery Feedstocks	p23.20.j	p23.20.j	1	0	0	0	0	0
Ethane	p23.20.k	p23.20.k	1	0	0	0	0	0
Naphtha	p23.20.l	p23.20.l	1	0	0	0	0	0
White Spirit & SBP	p23.20.m	p23.20.m	1	0	0	0	0	0
Lubricants	p23.20.n	p23.20.n	1	0	0	0	0	0
Bitumen	p23.20.o	p23.20.o	1	0	0	0	0	0
Paraffin Waxes	p23.20.p	p23.20.p	0	0	0	0	1	0
Petroleum Coke	p23.20.q	p23.20.q	1	0	0	0	0	0
Non-specified Petroleum Products	p23.20.r	p23.20.r	1	0	0	0	0	0
Nuclear fuel	p23.3	p23.3	1	0	0	0	0	0
Plastics, basic	p24.a	p24.a	0	0	0	0	1	0
Recycled waste plastic	p24.a.w	p24.a.w	0	0	0	0	1	0
N-fertiliser	p24.b	p24.b	0	1	0	0	0	0
P- and other fertiliser	p24.c	p24.c	0	1	0	0	0	0
Chemicals nec	p24.d	p24.d	0	0	0	0	1	0
Charcoal	p24.e	p24.e	1	0	0	0	0	0
Additives/Blending Components	p24.f	p24.f	0	0	0	1	0	0
Biogasoline	p24.g	p24.g	0	0	0	1	0	0
Biodiesels	p24.h	p24.h	0	0	0	1	0	0
Other Liquid Biofuels	p24.i	p24.i	0	0	0	1	0	0
Rubber and plastic products (25)	p25	p25	0	0	0	0	1	0
Glass and glass products	p26.a	p26.a	1	0	0	0	0	0
Recycled glass waste	p26.w.1	p26.a.w	1	0	0	0	0	0
Ceramic goods	p26.b	p26.b	1	0	0	0	0	0
Bricks, tiles and construction products, in baked clay	p26.c	p26.c	1	0	0	0	0	0
Cement, lime and plaster	p26.d	p26.d	1	0	0	0	0	0
Recycled ash	p26.d.w	p26.d.w	1	0	0	0	0	0
Other non-metallic mineral products	p26.e	p26.e	1	0	0	0	0	0
Basic iron and steel and of ferro-alloys and first products thereof	p27.a	p27.a	0	0	0	0	1	0
Recycled steel scrap	p27.a.w	p27.a.w	0	0	0	0	1	0
Precious metals	p27.41	p27.41	0	0	0	0	1	0
Recycled pecious metals waste	p27.41.w	p27.41.w	0	0	0	0	1	0
Aluminium and aluminium products	p27.42	p27.42	0	0	0	0	1	0
Recycled aluminium waste	p27.42.w	p27.42.w	0	0	0	0	1	0
Lead, zinc and tin and products thereof	p27.43	p27.43	0	0	0	0	1	0
Recycled lead, zinc and tin waste	p27.43.w	p27.43.w	0	0	0	0	1	0
Copper products	p27.44	p27.44	0	0	0	0	1	0
Recycled copper waste	p27.44.w	p27.44.w	0	0	0	0	1	0
