,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,11.948609945497921
1,0,8.0,#b6cadf,1. imp region,9.052418195655449
2,0,8.0,#cdbcac,1. imp region,6.181465056600728
3,0,8.0,#cfcfcf,1. imp region,16.261049688487
4,0,8.0,#d7ccee,1. imp region,7.267351123747095
5,0,8.0,#e0baa1,1. imp region,21.194392609237493
6,0,8.0,#e6b6b4,1. imp region,4.494825340186564
7,1,9.0,#8de5a1,1. imp region,0.2983652606862593
8,1,9.0,#a1c9f4,1. imp region,0.7770073889411719
9,1,9.0,#d0bbff,1. imp region,0.1384323087109596
10,1,9.0,#debb9b,1. imp region,0.13500481046259552
11,1,9.0,#ff9f9b,1. imp region,0.12370949649770036
12,1,9.0,#ffb482,1. imp region,1.1583579302538363
13,2,9.0,#8de5a1,1. imp region,3.8424798835981884
14,2,9.0,#a1c9f4,1. imp region,1.9780232884835394
15,2,9.0,#d0bbff,1. imp region,0.7109363300641388
16,2,9.0,#debb9b,1. imp region,2.005063373489155
17,2,9.0,#ff9f9b,1. imp region,0.9202276698337755
18,2,9.0,#ffb482,1. imp region,10.926241354893106
19,3,9.0,#8de5a1,1. imp region,4.128727599374302
20,3,9.0,#a1c9f4,1. imp region,3.0906517666694553
21,3,9.0,#d0bbff,1. imp region,1.2122018152668144
22,3,9.0,#debb9b,1. imp region,2.2753297327929842
23,3,9.0,#ff9f9b,1. imp region,2.0412491450000694
24,3,9.0,#ffb482,1. imp region,7.469982841756097
25,4,9.0,#8de5a1,1. imp region,0.686601447986743
26,4,9.0,#a1c9f4,1. imp region,0.2530347875075585
27,4,9.0,#d0bbff,1. imp region,0.15462204231708604
28,4,9.0,#debb9b,1. imp region,0.5193273166528548
29,4,9.0,#ff9f9b,1. imp region,0.4010476012806387
30,4,9.0,#ffb482,1. imp region,1.6724770058975391
31,5,9.0,#8de5a1,1. imp region,0.4336453189925736
32,5,9.0,#a1c9f4,1. imp region,0.14176048981302025
33,5,9.0,#d0bbff,1. imp region,0.07633483414238562
34,5,9.0,#debb9b,1. imp region,0.3839861353821288
35,5,9.0,#ff9f9b,1. imp region,0.1504802297446993
36,5,9.0,#ffb482,1. imp region,0.9697339101801231
37,6,9.0,#8de5a1,1. imp region,0.05033774789042463
38,6,9.0,#a1c9f4,1. imp region,0.06942430489135169
39,6,9.0,#d0bbff,1. imp region,0.04534664329561382
40,6,9.0,#debb9b,1. imp region,0.042433150939630834
41,6,9.0,#ff9f9b,1. imp region,0.01393864654493128
42,6,9.0,#ffb482,1. imp region,0.14509831354259226
43,7,9.0,#8de5a1,1. imp region,0.42515452606539655
44,7,9.0,#a1c9f4,1. imp region,0.6283725392005334
45,7,9.0,#d0bbff,1. imp region,0.04693174751159257
46,7,9.0,#debb9b,1. imp region,0.12653012568532743
47,7,9.0,#ff9f9b,1. imp region,0.07195584475858677
48,7,9.0,#ffb482,1. imp region,0.42754316785855706
49,8,10.0,#b6cadf,2. imp/dom,9.052418195655449
50,8,12.0,#e0baa1,2. imp/dom,21.194392609237493
51,8,14.0,#a3cfad,2. imp/dom,11.948609945497921
52,8,16.0,#e6b6b4,2. imp/dom,4.494825340186564
53,8,18.0,#d7ccee,2. imp/dom,7.267351123747095
54,8,20.0,#cdbcac,2. imp/dom,6.181465056600728
55,8,22.0,#cfcfcf,2. imp/dom,16.261049688487
56,9,11.0,#a1c9f4,2. imp/dom,6.938274565506626
57,9,13.0,#ffb482,2. imp/dom,22.76943452438185
58,9,15.0,#8de5a1,2. imp/dom,9.865311784593882
59,9,17.0,#ff9f9b,2. imp/dom,3.722608633660402
60,9,19.0,#d0bbff,2. imp/dom,2.3848057213085925
61,9,21.0,#debb9b,2. imp/dom,5.487674645404676
62,10,23.0,#b6cadf,3. primaire,8.767332029801741
63,10,24.0,#b6cadf,3. primaire,0.28508616585371216
64,11,23.0,#a1c9f4,3. primaire,6.251138957597847
65,11,24.0,#a1c9f4,3. primaire,0.6871356079087821
66,12,23.0,#e0baa1,3. primaire,18.94205449253633
67,12,24.0,#e0baa1,3. primaire,2.2523381167011496
68,13,23.0,#ffb482,3. primaire,17.449349789371926
69,13,24.0,#ffb482,3. primaire,5.320084735009926
70,14,23.0,#a3cfad,3. primaire,8.04665965598882
71,14,24.0,#a3cfad,3. primaire,3.9019502895091005
72,15,23.0,#8de5a1,3. primaire,5.6296556572634335
73,15,24.0,#8de5a1,3. primaire,4.235656127330454
74,16,23.0,#e6b6b4,3. primaire,2.199634131142397
75,16,24.0,#e6b6b4,3. primaire,2.2951912090441673
76,17,23.0,#ff9f9b,3. primaire,2.0114649817104278
77,17,24.0,#ff9f9b,3. primaire,1.7111436519499734
78,18,23.0,#d7ccee,3. primaire,6.33665969472377
79,18,24.0,#d7ccee,3. primaire,0.9306914290233255
80,19,23.0,#d0bbff,3. primaire,1.8078389810185458
81,19,24.0,#d0bbff,3. primaire,0.5769667402900456
82,20,23.0,#cdbcac,3. primaire,5.70948841008968
83,20,24.0,#cdbcac,3. primaire,0.47197664651104754
84,21,23.0,#debb9b,3. primaire,4.517097955408583
85,21,24.0,#debb9b,3. primaire,0.9705766899960923
86,22,25.0,#cfcfcf,3. primaire,16.261049688487
87,23,26.0,#8de5a1,4. cap/ci,0.6999692115891892
88,23,26.0,#a1c9f4,4. cap/ci,0.3120317231946856
89,23,26.0,#a3cfad,4. cap/ci,1.31895765039303
90,23,26.0,#b6cadf,4. cap/ci,0.222897662682751
91,23,26.0,#cdbcac,4. cap/ci,0.21901884371202826
92,23,26.0,#d0bbff,4. cap/ci,0.18828426115450028
93,23,26.0,#d7ccee,4. cap/ci,1.6470925253411728
94,23,26.0,#debb9b,4. cap/ci,0.5117995692979236
95,23,26.0,#e0baa1,4. cap/ci,1.964789336171783
96,23,26.0,#e6b6b4,4. cap/ci,0.21159719781088723
97,23,26.0,#ff9f9b,4. cap/ci,0.1364091280837832
98,23,26.0,#ffb482,4. cap/ci,1.9313442466273862
99,23,27.0,#8de5a1,4. cap/ci,4.669515146563688
100,23,27.0,#a1c9f4,4. cap/ci,5.8648640131564145
101,23,27.0,#a3cfad,4. cap/ci,3.0070384678631856
102,23,27.0,#b6cadf,4. cap/ci,4.255134869896852
103,23,27.0,#cdbcac,4. cap/ci,4.052748166630836
104,23,27.0,#d0bbff,4. cap/ci,1.5838239132078096
105,23,27.0,#d7ccee,4. cap/ci,3.3311322099595233
