,source,target,color,position,value
0,0,7.0,#a3cfad,1. imp region,36.91570723696003
1,0,7.0,#b6cadf,1. imp region,222.10693435170003
2,0,7.0,#cdbcac,1. imp region,33.940501391424554
3,0,7.0,#cfcfcf,1. imp region,49.603588994999996
4,0,7.0,#d7ccee,1. imp region,30.482630564090474
5,0,7.0,#e0baa1,1. imp region,217.22408398719998
6,0,7.0,#e6b6b4,1. imp region,13.167631910996743
7,1,8.0,#8de5a1,1. imp region,0.8286178423916859
8,1,8.0,#a1c9f4,1. imp region,2.2493235668898595
9,1,8.0,#d0bbff,1. imp region,0.3380839683656817
10,1,8.0,#debb9b,1. imp region,0.23360736918778374
11,1,8.0,#ff9f9b,1. imp region,0.22791306541402864
12,1,8.0,#ffb482,1. imp region,5.424370035440292
13,2,8.0,#8de5a1,1. imp region,32.20169048396814
14,2,8.0,#a1c9f4,1. imp region,19.727239414851667
15,2,8.0,#d0bbff,1. imp region,2.503389079916987
16,2,8.0,#debb9b,1. imp region,5.399497712717522
17,2,8.0,#ff9f9b,1. imp region,6.695774142333334
18,2,8.0,#ffb482,1. imp region,61.72374709805868
19,3,8.0,#8de5a1,1. imp region,3.7888558302435276
20,3,8.0,#a1c9f4,1. imp region,2.135291035974524
21,3,8.0,#d0bbff,1. imp region,1.4837372702082803
22,3,8.0,#debb9b,1. imp region,4.094181861164625
23,3,8.0,#ff9f9b,1. imp region,1.5337164047915979
24,3,8.0,#ffb482,1. imp region,4.232909081289039
25,4,8.0,#8de5a1,1. imp region,4.132684137749962
26,4,8.0,#a1c9f4,1. imp region,0.7733275531046566
27,4,8.0,#d0bbff,1. imp region,0.4121946640063835
28,4,8.0,#debb9b,1. imp region,1.6950337149533101
29,4,8.0,#ff9f9b,1. imp region,1.2739427593959445
30,4,8.0,#ffb482,1. imp region,9.544431067515285
31,5,8.0,#8de5a1,1. imp region,2.760444817483338
32,5,8.0,#a1c9f4,1. imp region,1.3146318064879787
33,5,8.0,#d0bbff,1. imp region,0.33060177946603236
34,5,8.0,#debb9b,1. imp region,1.0076127588949084
35,5,8.0,#ff9f9b,1. imp region,1.1128071265445199
36,5,8.0,#ffb482,1. imp region,5.1076413725947445
37,6,8.0,#8de5a1,1. imp region,1.460353514862267
38,6,8.0,#a1c9f4,1. imp region,1.3952094139784676
39,6,8.0,#d0bbff,1. imp region,0.07761199622170792
40,6,8.0,#debb9b,1. imp region,0.3150465222019747
41,6,8.0,#ff9f9b,1. imp region,0.15679620712220038
42,6,8.0,#ffb482,1. imp region,1.640998299737031
43,7,9.0,#b6cadf,2. imp/dom,222.10693435170003
44,7,11.0,#e0baa1,2. imp/dom,217.22408398719998
45,7,13.0,#a3cfad,2. imp/dom,36.91570723696003
46,7,15.0,#e6b6b4,2. imp/dom,13.167631910996743
47,7,17.0,#d7ccee,2. imp/dom,30.482630564090474
48,7,19.0,#cdbcac,2. imp/dom,33.940501391424554
49,7,21.0,#cfcfcf,2. imp/dom,49.603588994999996
50,8,10.0,#a1c9f4,2. imp/dom,27.595022791287168
51,8,12.0,#ffb482,2. imp/dom,87.67409695463502
52,8,14.0,#8de5a1,2. imp/dom,45.17264662669891
53,8,16.0,#ff9f9b,2. imp/dom,11.00094970560162
54,8,18.0,#d0bbff,2. imp/dom,5.145618758185074
55,8,20.0,#debb9b,2. imp/dom,12.744979939120128
56,9,22.0,#b6cadf,3. primaire,211.61339329579164
57,9,23.0,#b6cadf,3. primaire,10.493541055908317
58,10,22.0,#a1c9f4,3. primaire,25.195455455585318
59,10,23.0,#a1c9f4,3. primaire,2.3995673357018585
60,11,22.0,#e0baa1,3. primaire,195.52612032187335
61,11,23.0,#e0baa1,3. primaire,21.69796366532672
62,12,22.0,#ffb482,3. primaire,68.96886096400009
63,12,23.0,#ffb482,3. primaire,18.70523599063498
64,13,22.0,#a3cfad,3. primaire,22.587441954975137
65,13,23.0,#a3cfad,3. primaire,14.32826528198491
66,14,22.0,#8de5a1,3. primaire,27.57381910872528
67,14,23.0,#8de5a1,3. primaire,17.59882751797366
68,15,22.0,#e6b6b4,3. primaire,4.584251562775088
69,15,23.0,#e6b6b4,3. primaire,8.583380348221656
70,16,22.0,#ff9f9b,3. primaire,7.023660513986149
71,16,23.0,#ff9f9b,3. primaire,3.9772891916154762
72,17,22.0,#d7ccee,3. primaire,27.205571784888445
73,17,23.0,#d7ccee,3. primaire,3.2770587792020227
74,18,22.0,#d0bbff,3. primaire,4.057453073633053
75,18,23.0,#d0bbff,3. primaire,1.0881656845520222
76,19,22.0,#cdbcac,3. primaire,31.923599879371178
77,19,23.0,#cdbcac,3. primaire,2.016901512053384
78,20,22.0,#debb9b,3. primaire,11.016878107073053
79,20,23.0,#debb9b,3. primaire,1.7281018320470731
80,21,24.0,#cfcfcf,3. primaire,49.603588994999996
81,22,25.0,#8de5a1,4. cap/ci,6.193694022521696
82,22,25.0,#a1c9f4,4. cap/ci,5.163214304679941
83,22,25.0,#a3cfad,4. cap/ci,3.159744836637556
84,22,25.0,#b6cadf,4. cap/ci,5.655634293043075
85,22,25.0,#cdbcac,4. cap/ci,3.729143630214032
86,22,25.0,#d0bbff,4. cap/ci,0.6327951238282157
87,22,25.0,#d7ccee,4. cap/ci,3.6055729642235814
