,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.08148678872710435
1,0,8.0,#b6cadf,1. imp region,0.16099140807279508
2,0,8.0,#cdbcac,1. imp region,0.020279026364885096
3,0,8.0,#d7ccee,1. imp region,0.01621962380444371
4,0,8.0,#e0baa1,1. imp region,0.1691636159133204
5,0,8.0,#e6b6b4,1. imp region,0.01709682552941326
6,1,8.0,#a3cfad,1. imp region,1.1774536494770493
7,1,8.0,#b6cadf,1. imp region,0.47931153722773606
8,1,8.0,#cdbcac,1. imp region,0.4784876501437683
9,1,8.0,#d7ccee,1. imp region,0.1467297593449714
10,1,8.0,#e0baa1,1. imp region,5.7875216786056445
11,1,8.0,#e6b6b4,1. imp region,0.30427754233055954
12,2,9.0,#8de5a1,1. imp region,8.283107630807022
13,2,9.0,#a1c9f4,1. imp region,6.029810024974592
14,2,9.0,#cfcfcf,1. imp region,4.60051174209134
15,2,9.0,#d0bbff,1. imp region,1.6131218166420587
16,2,9.0,#debb9b,1. imp region,1.2289081030895965
17,2,9.0,#ff9f9b,1. imp region,5.964354400303931
18,2,9.0,#ffb482,1. imp region,20.751800129345085
19,3,8.0,#a3cfad,1. imp region,1.0500852421973739
20,3,8.0,#b6cadf,1. imp region,0.7682010991076722
21,3,8.0,#cdbcac,1. imp region,0.3270173517354308
22,3,8.0,#d7ccee,1. imp region,0.16668384258074984
23,3,8.0,#e0baa1,1. imp region,1.6346684113821814
24,3,8.0,#e6b6b4,1. imp region,0.29093122759133544
25,4,8.0,#a3cfad,1. imp region,0.41020034513089193
26,4,8.0,#b6cadf,1. imp region,0.2073075679807003
27,4,8.0,#cdbcac,1. imp region,0.17053849050442746
28,4,8.0,#d7ccee,1. imp region,0.03371969551254668
29,4,8.0,#e0baa1,1. imp region,0.5628157759935432
30,4,8.0,#e6b6b4,1. imp region,0.14287800548290794
31,5,8.0,#a3cfad,1. imp region,0.06038074132055599
32,5,8.0,#b6cadf,1. imp region,0.0409916403440101
33,5,8.0,#cdbcac,1. imp region,0.04712815182912195
34,5,8.0,#d7ccee,1. imp region,0.010320991262376601
35,5,8.0,#e0baa1,1. imp region,0.11944958136083275
36,5,8.0,#e6b6b4,1. imp region,0.022520315673288556
37,6,8.0,#a3cfad,1. imp region,0.01705059615261553
38,6,8.0,#b6cadf,1. imp region,0.014736733085239118
39,6,8.0,#cdbcac,1. imp region,0.011984201783979123
40,6,8.0,#d7ccee,1. imp region,0.005326189643661182
41,6,8.0,#e0baa1,1. imp region,0.026697726708757096
42,6,8.0,#e6b6b4,1. imp region,0.0020979944896421707
43,7,8.0,#a3cfad,1. imp region,0.09311737144707903
44,7,8.0,#b6cadf,1. imp region,0.10813168786156956
45,7,8.0,#cdbcac,1. imp region,0.02694441054161266
46,7,8.0,#d7ccee,1. imp region,0.006453626157196944
47,7,8.0,#e0baa1,1. imp region,0.09110050523909086
48,7,8.0,#e6b6b4,1. imp region,0.008402194785192533
49,8,10.0,#b6cadf,2. imp/dom,1.7796716736797231
50,8,12.0,#e0baa1,2. imp/dom,8.391417295203372
51,8,14.0,#a3cfad,2. imp/dom,2.889774734452673
52,8,16.0,#e6b6b4,2. imp/dom,0.7882041058823397
53,8,18.0,#d7ccee,2. imp/dom,0.3854537283059465
54,8,20.0,#cdbcac,2. imp/dom,1.0823792829032262
55,9,11.0,#a1c9f4,2. imp/dom,6.029810024974592
56,9,13.0,#ffb482,2. imp/dom,20.751800129345085
57,9,15.0,#8de5a1,2. imp/dom,8.283107630807022
58,9,17.0,#ff9f9b,2. imp/dom,5.964354400303931
59,9,19.0,#d0bbff,2. imp/dom,1.6131218166420587
60,9,21.0,#debb9b,2. imp/dom,1.2289081030895965
61,9,22.0,#cfcfcf,2. imp/dom,4.60051174209134
62,10,23.0,#b6cadf,3. primaire,1.6517905118679994
63,10,24.0,#b6cadf,3. primaire,0.12788116181172343
64,11,23.0,#a1c9f4,3. primaire,5.915940505270583
65,11,24.0,#a1c9f4,3. primaire,0.11386951970400963
66,12,23.0,#e0baa1,3. primaire,7.364523701802245
67,12,24.0,#e0baa1,3. primaire,1.0268935934011252
