,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.7896244421841135
1,0,8.0,#b6cadf,1. imp region,0.9306380614746311
2,0,8.0,#cdbcac,1. imp region,0.13479584657088334
3,0,8.0,#d7ccee,1. imp region,0.12992021612776966
4,0,8.0,#e0baa1,1. imp region,7.1764902803598165
5,0,8.0,#e6b6b4,1. imp region,0.15730278472084647
6,1,8.0,#a3cfad,1. imp region,7.592132526324431
7,1,8.0,#b6cadf,1. imp region,3.775432956942631
8,1,8.0,#cdbcac,1. imp region,2.373444857619144
9,1,8.0,#d7ccee,1. imp region,0.79046381643287
10,1,8.0,#e0baa1,1. imp region,12.375956657181398
11,1,8.0,#e6b6b4,1. imp region,1.4340844024273705
12,2,9.0,#8de5a1,1. imp region,186.58060608528743
13,2,9.0,#a1c9f4,1. imp region,458.4030711915498
14,2,9.0,#cfcfcf,1. imp region,57.902116952081705
15,2,9.0,#d0bbff,1. imp region,15.693065615703684
16,2,9.0,#debb9b,1. imp region,33.22798433222449
17,2,9.0,#ff9f9b,1. imp region,9.110733161418622
18,2,9.0,#ffb482,1. imp region,94.12114832820642
19,3,8.0,#a3cfad,1. imp region,2.210935849971682
20,3,8.0,#b6cadf,1. imp region,0.6609741496079352
21,3,8.0,#cdbcac,1. imp region,1.5574701501663901
22,3,8.0,#d7ccee,1. imp region,0.7272841512544241
23,3,8.0,#e0baa1,1. imp region,2.5227287464903667
24,3,8.0,#e6b6b4,1. imp region,0.6537547360310074
25,4,8.0,#a3cfad,1. imp region,1.070599056407615
26,4,8.0,#b6cadf,1. imp region,0.35024456913724
27,4,8.0,#cdbcac,1. imp region,0.7780028450330467
28,4,8.0,#d7ccee,1. imp region,0.2737585640987204
29,4,8.0,#e0baa1,1. imp region,2.991953248122217
30,4,8.0,#e6b6b4,1. imp region,0.28640130880353704
31,5,8.0,#a3cfad,1. imp region,1.8502218424679786
32,5,8.0,#b6cadf,1. imp region,0.5518882547228454
33,5,8.0,#cdbcac,1. imp region,0.4343101562609072
34,5,8.0,#d7ccee,1. imp region,0.22654238311006897
35,5,8.0,#e0baa1,1. imp region,5.069699547050051
36,5,8.0,#e6b6b4,1. imp region,0.49359099714835514
37,6,8.0,#a3cfad,1. imp region,0.0952510099641959
38,6,8.0,#b6cadf,1. imp region,0.10649223196679518
39,6,8.0,#cdbcac,1. imp region,0.13227418819214334
40,6,8.0,#d7ccee,1. imp region,0.02960463661528482
41,6,8.0,#e0baa1,1. imp region,0.5008798972429099
42,6,8.0,#e6b6b4,1. imp region,0.016080831377188038
43,7,8.0,#a3cfad,1. imp region,4.857849668622865
44,7,8.0,#b6cadf,1. imp region,7.17959450047205
45,7,8.0,#cdbcac,1. imp region,0.3257937925944088
46,7,8.0,#d7ccee,1. imp region,0.18024839769968856
47,7,8.0,#e0baa1,1. imp region,7.719301212502436
48,7,8.0,#e6b6b4,1. imp region,0.44937664433353214
49,8,10.0,#b6cadf,2. imp/dom,13.555264724324118
50,8,12.0,#e0baa1,2. imp/dom,38.357009588949204
51,8,14.0,#a3cfad,2. imp/dom,18.466614395942866
52,8,16.0,#e6b6b4,2. imp/dom,3.490591704841839
53,8,18.0,#d7ccee,2. imp/dom,2.3578221653388276
54,8,20.0,#cdbcac,2. imp/dom,5.736091836436919
55,9,11.0,#a1c9f4,2. imp/dom,458.4030711915498
56,9,13.0,#ffb482,2. imp/dom,94.12114832820642
57,9,15.0,#8de5a1,2. imp/dom,186.58060608528743
58,9,17.0,#ff9f9b,2. imp/dom,9.110733161418622
59,9,19.0,#d0bbff,2. imp/dom,15.693065615703684
60,9,21.0,#debb9b,2. imp/dom,33.22798433222449
61,9,22.0,#cfcfcf,2. imp/dom,57.902116952081705
62,10,23.0,#b6cadf,3. primaire,12.510962036114007
63,10,24.0,#b6cadf,3. primaire,1.0443026882101218
64,11,23.0,#a1c9f4,3. primaire,424.01256083710564
65,11,24.0,#a1c9f4,3. primaire,34.39051035444445
66,12,23.0,#e0baa1,3. primaire,29.72803863364861
67,12,24.0,#e0baa1,3. primaire,8.628970955300604
68,13,23.0,#ffb482,3. primaire,78.38743649288885
69,13,24.0,#ffb482,3. primaire,15.733711835317566
70,14,23.0,#a3cfad,3. primaire,12.6449455796109
71,14,24.0,#a3cfad,3. primaire,5.821668816331974
72,15,23.0,#8de5a1,3. primaire,133.3008718673305
