,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.44927460056027746
1,0,8.0,#b6cadf,1. imp region,1.4251646560722904
2,0,8.0,#cdbcac,1. imp region,0.16463425083864894
3,0,8.0,#d7ccee,1. imp region,0.2259707369613608
4,0,8.0,#e0baa1,1. imp region,4.4724201258439225
5,0,8.0,#e6b6b4,1. imp region,0.12474693996954513
6,1,8.0,#a3cfad,1. imp region,9.329321634845266
7,1,8.0,#b6cadf,1. imp region,8.473150136282676
8,1,8.0,#cdbcac,1. imp region,2.9135472203715462
9,1,8.0,#d7ccee,1. imp region,1.2288262908746197
10,1,8.0,#e0baa1,1. imp region,14.619573911551484
11,1,8.0,#e6b6b4,1. imp region,2.8659517896248334
12,2,9.0,#8de5a1,1. imp region,93.88411128437652
13,2,9.0,#a1c9f4,1. imp region,70.00669477563704
14,2,9.0,#cfcfcf,1. imp region,100.90006108099746
15,2,9.0,#d0bbff,1. imp region,54.450107854425895
16,2,9.0,#debb9b,1. imp region,58.98956129667187
17,2,9.0,#ff9f9b,1. imp region,19.714209887624033
18,2,9.0,#ffb482,1. imp region,222.03916578432202
19,3,8.0,#a3cfad,1. imp region,3.413731696513112
20,3,8.0,#b6cadf,1. imp region,1.8107417708210694
21,3,8.0,#cdbcac,1. imp region,2.7363884788221577
22,3,8.0,#d7ccee,1. imp region,1.12978418806859
23,3,8.0,#e0baa1,1. imp region,4.913095786730095
24,3,8.0,#e6b6b4,1. imp region,1.0842034402821727
25,4,8.0,#a3cfad,1. imp region,1.1862260979431418
26,4,8.0,#b6cadf,1. imp region,0.4994490521520947
27,4,8.0,#cdbcac,1. imp region,2.0658285530106593
28,4,8.0,#d7ccee,1. imp region,0.2742719353636639
29,4,8.0,#e0baa1,1. imp region,2.9968602763630825
30,4,8.0,#e6b6b4,1. imp region,0.9893744922428833
31,5,8.0,#a3cfad,1. imp region,13.160407099769117
32,5,8.0,#b6cadf,1. imp region,6.500466400580334
33,5,8.0,#cdbcac,1. imp region,1.7758062119681277
34,5,8.0,#d7ccee,1. imp region,0.8674665285490202
35,5,8.0,#e0baa1,1. imp region,31.32756796409074
36,5,8.0,#e6b6b4,1. imp region,3.8086160591169462
37,6,8.0,#a3cfad,1. imp region,0.3103334984659105
38,6,8.0,#b6cadf,1. imp region,1.6284603783566372
39,6,8.0,#cdbcac,1. imp region,0.050422726469877825
40,6,8.0,#d7ccee,1. imp region,0.03943862207224531
41,6,8.0,#e0baa1,1. imp region,0.7245551740187444
42,6,8.0,#e6b6b4,1. imp region,0.0444097309558136
43,7,8.0,#a3cfad,1. imp region,1.7074295642506108
44,7,8.0,#b6cadf,1. imp region,3.776323275973503
45,7,8.0,#cdbcac,1. imp region,0.31161401689851204
46,7,8.0,#d7ccee,1. imp region,0.08943752529322582
47,7,8.0,#e0baa1,1. imp region,3.4182674762538046
48,7,8.0,#e6b6b4,1. imp region,0.42826303800570903
49,8,10.0,#b6cadf,2. imp/dom,24.113755670238607
50,8,12.0,#e0baa1,2. imp/dom,62.47234071485186
51,8,14.0,#a3cfad,2. imp/dom,29.556724192347417
52,8,16.0,#e6b6b4,2. imp/dom,9.345565490197906
53,8,18.0,#d7ccee,2. imp/dom,3.8551958271827256
54,8,20.0,#cdbcac,2. imp/dom,10.018241458379526
55,9,11.0,#a1c9f4,2. imp/dom,70.00669477563704
56,9,13.0,#ffb482,2. imp/dom,222.03916578432202
57,9,15.0,#8de5a1,2. imp/dom,93.88411128437652
58,9,17.0,#ff9f9b,2. imp/dom,19.714209887624033
59,9,19.0,#d0bbff,2. imp/dom,54.450107854425895
60,9,21.0,#debb9b,2. imp/dom,58.98956129667187
61,9,22.0,#cfcfcf,2. imp/dom,100.90006108099746
62,10,23.0,#b6cadf,3. primaire,22.89120345901505
63,10,24.0,#b6cadf,3. primaire,1.222552211223564
64,11,23.0,#a1c9f4,3. primaire,67.94785235283409
65,11,24.0,#a1c9f4,3. primaire,2.0588424228029476
66,12,23.0,#e0baa1,3. primaire,49.582274821056714
67,12,24.0,#e0baa1,3. primaire,12.890065893795141
68,13,23.0,#ffb482,3. primaire,202.34040574086467
69,13,24.0,#ffb482,3. primaire,19.698760043457337
70,14,23.0,#a3cfad,3. primaire,20.425247250065087
71,14,24.0,#a3cfad,3. primaire,9.131476942282335
72,15,23.0,#8de5a1,3. primaire,68.4834313552528
73,15,24.0,#8de5a1,3. primaire,25.400679929123775
74,16,23.0,#e6b6b4,3. primaire,6.090270164941358
75,16,24.0,#e6b6b4,3. primaire,3.2552953252565473
76,17,23.0,#ff9f9b,3. primaire,12.431685481980994
77,17,24.0,#ff9f9b,3. primaire,7.28252440564306
78,18,23.0,#d7ccee,3. primaire,3.1238868378109133
79,18,24.0,#d7ccee,3. primaire,0.7313089893718134
80,19,23.0,#d0bbff,3. primaire,49.61984398371767
81,19,24.0,#d0bbff,3. primaire,4.830263870708253
82,20,23.0,#cdbcac,3. primaire,8.706141391491728
83,20,24.0,#cdbcac,3. primaire,1.3121000668878033
84,21,23.0,#debb9b,3. primaire,54.92081323126271
85,21,24.0,#debb9b,3. primaire,4.068748065409195
86,22,25.0,#cfcfcf,3. primaire,100.90006108099746
87,23,26.0,#8de5a1,4. cap/ci,8.941408204869411
88,23,26.0,#a1c9f4,4. cap/ci,0.23867994226555592
89,23,26.0,#a3cfad,4. cap/ci,1.8302245302289513
