,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.3684884330448384
1,0,8.0,#b6cadf,1. imp region,1.0497807840877436
2,0,8.0,#cdbcac,1. imp region,0.024535482289486703
3,0,8.0,#d7ccee,1. imp region,0.04584217944165324
4,0,8.0,#e0baa1,1. imp region,1.3713173370229808
5,0,8.0,#e6b6b4,1. imp region,0.20309702257489753
6,1,8.0,#a3cfad,1. imp region,6.59198385239003
7,1,8.0,#b6cadf,1. imp region,2.5317857710344756
8,1,8.0,#cdbcac,1. imp region,1.552783007661643
9,1,8.0,#d7ccee,1. imp region,0.7190221037409802
10,1,8.0,#e0baa1,1. imp region,13.545539241740283
11,1,8.0,#e6b6b4,1. imp region,1.4644472365367405
12,2,9.0,#8de5a1,1. imp region,11.796834634743922
13,2,9.0,#a1c9f4,1. imp region,7.16215423283314
14,2,9.0,#cfcfcf,1. imp region,18.145109749229
15,2,9.0,#d0bbff,1. imp region,6.837443122201696
16,2,9.0,#debb9b,1. imp region,9.56184273276241
17,2,9.0,#ff9f9b,1. imp region,1.4034273481226331
18,2,9.0,#ffb482,1. imp region,1.3623886324632686
19,3,8.0,#a3cfad,1. imp region,5.866028967663234
20,3,8.0,#b6cadf,1. imp region,2.830579542126089
21,3,8.0,#cdbcac,1. imp region,6.788919652932213
22,3,8.0,#d7ccee,1. imp region,2.559385005093123
23,3,8.0,#e0baa1,1. imp region,7.0675776697937875
24,3,8.0,#e6b6b4,1. imp region,2.428648074968501
25,4,8.0,#a3cfad,1. imp region,1.1683355872894219
26,4,8.0,#b6cadf,1. imp region,0.3550106236067635
27,4,8.0,#cdbcac,1. imp region,0.5026522443985212
28,4,8.0,#d7ccee,1. imp region,0.22024897262605622
29,4,8.0,#e0baa1,1. imp region,1.9624540933726218
30,4,8.0,#e6b6b4,1. imp region,3.0969778251542843
31,5,8.0,#a3cfad,1. imp region,0.8402127433710633
32,5,8.0,#b6cadf,1. imp region,0.2519567933407222
33,5,8.0,#cdbcac,1. imp region,0.3860444355350646
34,5,8.0,#d7ccee,1. imp region,0.125075663323441
35,5,8.0,#e0baa1,1. imp region,1.3784416383445046
36,5,8.0,#e6b6b4,1. imp region,0.5532905694242217
37,6,8.0,#a3cfad,1. imp region,0.10888364158215212
38,6,8.0,#b6cadf,1. imp region,0.21951428439534618
39,6,8.0,#cdbcac,1. imp region,0.020899506518795238
40,6,8.0,#d7ccee,1. imp region,0.009894651823233805
41,6,8.0,#e0baa1,1. imp region,0.17806228585610004
42,6,8.0,#e6b6b4,1. imp region,0.021135711417588063
43,7,8.0,#a3cfad,1. imp region,0.4039532808469503
44,7,8.0,#b6cadf,1. imp region,0.6994182670396514
45,7,8.0,#cdbcac,1. imp region,0.06331338769576203
46,7,8.0,#d7ccee,1. imp region,0.018437534927204506
47,7,8.0,#e0baa1,1. imp region,0.3943172913594675
48,7,8.0,#e6b6b4,1. imp region,0.04196661594273523
49,8,10.0,#b6cadf,2. imp/dom,7.938046065630788
50,8,12.0,#e0baa1,2. imp/dom,25.897709557489748
51,8,14.0,#a3cfad,2. imp/dom,15.347886506187695
52,8,16.0,#e6b6b4,2. imp/dom,7.80956305601897
53,8,18.0,#d7ccee,2. imp/dom,3.6979061109756906
54,8,20.0,#cdbcac,2. imp/dom,9.339147717031487
55,9,11.0,#a1c9f4,2. imp/dom,7.16215423283314
56,9,13.0,#ffb482,2. imp/dom,1.3623886324632686
57,9,15.0,#8de5a1,2. imp/dom,11.796834634743922
58,9,17.0,#ff9f9b,2. imp/dom,1.4034273481226331
59,9,19.0,#d0bbff,2. imp/dom,6.837443122201696
60,9,21.0,#debb9b,2. imp/dom,9.56184273276241
61,9,22.0,#cfcfcf,2. imp/dom,18.145109749229
62,10,23.0,#b6cadf,3. primaire,6.94191166914486
63,10,24.0,#b6cadf,3. primaire,0.9961343964859288
64,11,23.0,#a1c9f4,3. primaire,6.728140291399922
65,11,24.0,#a1c9f4,3. primaire,0.4340139414332177
66,12,23.0,#e0baa1,3. primaire,17.349706524435817
67,12,24.0,#e0baa1,3. primaire,8.548003033053932
68,13,23.0,#ffb482,3. primaire,1.1936123238637408
69,13,24.0,#ffb482,3. primaire,0.16877630859952808
70,14,23.0,#a3cfad,3. primaire,9.054340816954424
71,14,24.0,#a3cfad,3. primaire,6.293545689233265
72,15,23.0,#8de5a1,3. primaire,7.384254483799466
73,15,24.0,#8de5a1,3. primaire,4.412580150944466
74,16,23.0,#e6b6b4,3. primaire,5.270049328447148
75,16,24.0,#e6b6b4,3. primaire,2.539513727571819
76,17,23.0,#ff9f9b,3. primaire,0.562048375814508
77,17,24.0,#ff9f9b,3. primaire,0.8413789723081245
78,18,23.0,#d7ccee,3. primaire,2.8757914260633783
79,18,24.0,#d7ccee,3. primaire,0.8221146849123122
80,19,23.0,#d0bbff,3. primaire,6.16611302220776
81,19,24.0,#d0bbff,3. primaire,0.6713300999939378
82,20,23.0,#cdbcac,3. primaire,7.308372983665525
83,20,24.0,#cdbcac,3. primaire,2.0307747333659605
84,21,23.0,#debb9b,3. primaire,8.074766540683907
85,21,24.0,#debb9b,3. primaire,1.4870761920785027
86,22,25.0,#cfcfcf,3. primaire,18.145109749229
87,23,26.0,#8de5a1,4. cap/ci,0.9477604839324603
88,23,26.0,#a1c9f4,4. cap/ci,0.4033727510677142
89,23,26.0,#a3cfad,4. cap/ci,0.5246569710910668
90,23,26.0,#b6cadf,4. cap/ci,0.2864945274649547
91,23,26.0,#cdbcac,4. cap/ci,0.2714117527348865
92,23,26.0,#d0bbff,4. cap/ci,1.6828374976791625
93,23,26.0,#d7ccee,4. cap/ci,0.24217707393924448
94,23,26.0,#debb9b,4. cap/ci,0.14667018370715895
95,23,26.0,#e0baa1,4. cap/ci,1.0591585628779212
96,23,26.0,#e6b6b4,4. cap/ci,0.17350967384064994
97,23,26.0,#ff9f9b,4. cap/ci,0.01989048781081678
98,23,26.0,#ffb482,4. cap/ci,0.044857291926731054
99,23,27.0,#8de5a1,4. cap/ci,1.8028521629383158
100,23,27.0,#a1c9f4,4. cap/ci,3.417679624623322
101,23,27.0,#a3cfad,4. cap/ci,8.529683845863355
102,23,27.0,#b6cadf,4. cap/ci,6.655417141679907
103,23,27.0,#cdbcac,4. cap/ci,7.036961230930639
104,23,27.0,#d0bbff,4. cap/ci,2.8165337485779878
105,23,27.0,#d7ccee,4. cap/ci,2.633614352124135
106,23,27.0,#debb9b,4. cap/ci,3.6618415944694522
107,23,27.0,#e0baa1,4. cap/ci,16.290547961557895
108,23,27.0,#e6b6b4,4. cap/ci,5.096539654606496
109,23,27.0,#ff9f9b,4. cap/ci,0.19297639263611116
110,23,27.0,#ffb482,4. cap/ci,0.625318025948874
111,23,28.0,#8de5a1,4. cap/ci,0.0
112,23,28.0,#a1c9f4,4. cap/ci,0.0
113,23,28.0,#a3cfad,4. cap/ci,0.0
114,23,28.0,#b6cadf,4. cap/ci,0.0
115,23,28.0,#cdbcac,4. cap/ci,0.0
116,23,28.0,#d0bbff,4. cap/ci,0.0
117,23,28.0,#d7ccee,4. cap/ci,0.0
118,23,28.0,#debb9b,4. cap/ci,0.0
119,23,28.0,#e0baa1,4. cap/ci,0.0
120,23,28.0,#e6b6b4,4. cap/ci,0.0
121,23,28.0,#ff9f9b,4. cap/ci,0.0
122,23,28.0,#ffb482,4. cap/ci,0.0
123,23,29.0,#8de5a1,4. cap/ci,4.6336418369286845
124,23,29.0,#a1c9f4,4. cap/ci,2.907087915708888
125,23,29.0,#d0bbff,4. cap/ci,1.666741775950612
126,23,29.0,#debb9b,4. cap/ci,4.26625476250729
127,23,29.0,#ff9f9b,4. cap/ci,0.34918149536758
128,23,29.0,#ffb482,4. cap/ci,0.5234370059881361
129,24,26.0,#8de5a1,4. cap/ci,0.6463031951422475
130,24,26.0,#a1c9f4,4. cap/ci,0.03887292307576513
131,24,26.0,#a3cfad,4. cap/ci,0.9414459072010328
132,24,26.0,#b6cadf,4. cap/ci,0.13217742130688762
133,24,26.0,#cdbcac,4. cap/ci,0.4035689798478827
134,24,26.0,#d0bbff,4. cap/ci,0.07168718894928193
135,24,26.0,#d7ccee,4. cap/ci,0.13420123834803546
136,24,26.0,#debb9b,4. cap/ci,0.13813777419338163
137,24,26.0,#e0baa1,4. cap/ci,1.5131475306549984
138,24,26.0,#e6b6b4,4. cap/ci,0.3158020416092569
139,24,26.0,#ff9f9b,4. cap/ci,0.10405017724189435
140,24,26.0,#ffb482,4. cap/ci,0.018796847878448274
141,24,27.0,#8de5a1,4. cap/ci,1.8661160903941967
142,24,27.0,#a1c9f4,4. cap/ci,0.10577094673073592
143,24,27.0,#a3cfad,4. cap/ci,5.352099782032236
144,24,27.0,#b6cadf,4. cap/ci,0.8639569751790412
145,24,27.0,#cdbcac,4. cap/ci,1.627205753518078
146,24,27.0,#d0bbff,4. cap/ci,0.19708970122152106
147,24,27.0,#d7ccee,4. cap/ci,0.6879134465642766
148,24,27.0,#debb9b,4. cap/ci,0.44172723434367744
149,24,27.0,#e0baa1,4. cap/ci,7.034855502398934
150,24,27.0,#e6b6b4,4. cap/ci,2.223711685962563
151,24,27.0,#ff9f9b,4. cap/ci,0.3483065673166456
152,24,27.0,#ffb482,4. cap/ci,0.05555436192541142
153,24,28.0,#8de5a1,4. cap/ci,0.0
154,24,28.0,#a1c9f4,4. cap/ci,0.0
155,24,28.0,#a3cfad,4. cap/ci,0.0
156,24,28.0,#b6cadf,4. cap/ci,0.0
157,24,28.0,#cdbcac,4. cap/ci,0.0
158,24,28.0,#d0bbff,4. cap/ci,0.0
159,24,28.0,#d7ccee,4. cap/ci,0.0
160,24,28.0,#debb9b,4. cap/ci,0.0
161,24,28.0,#e0baa1,4. cap/ci,0.0
162,24,28.0,#e6b6b4,4. cap/ci,0.0
163,24,28.0,#ff9f9b,4. cap/ci,0.0
164,24,28.0,#ffb482,4. cap/ci,0.0
165,24,29.0,#8de5a1,4. cap/ci,1.900160865408022
166,24,29.0,#a1c9f4,4. cap/ci,0.28937007162671685
167,24,29.0,#d0bbff,4. cap/ci,0.4025532098231347
168,24,29.0,#debb9b,4. cap/ci,0.9072111835414434
169,24,29.0,#ff9f9b,4. cap/ci,0.38902222774958467
170,24,29.0,#ffb482,4. cap/ci,0.09442509879566845
171,25,30.0,#cfcfcf,4. cap/ci,18.145109749229
172,26,31.0,#8de5a1,5. depenses,5.674281572207034e-05
