,label,position,value,x,y
Africa,Africa (6),1. imp region,6.361803118960339,0.09,0.40814819350395004
Asia,Asia (35),1. imp region,35.05295972439775,0.09,0.5592306186469216
CH,CH (57),1. imp region,57.79503731624603,0.09,0.19545696194465978
Europe,Europe (22),1. imp region,22.22232246050342,0.09,0.753279552097193
Middle East,Middle East (7),1. imp region,7.176188726140697,0.09,0.8718096776897658
North America,North America (5),1. imp region,5.935329562016847,0.09,0.9462179683912956
Oceania,Oceania (0),1. imp region,0.7887068334502586,0.09,1.0033224250950223
South America,South America (3),1. imp region,3.0939518900882956,0.09,1.0527295249394863
Imports,Imports (80),2. imp/dom,80.6312623155576,0.2,0.3350985936108958
Territorial,Territorial (57),2. imp/dom,57.79503731624603,0.2,0.8267652602775625
Imp - Agriculture-food,Imp - Agriculture-food (9),3. primaire,9.389622902398463,0.34,0.5385728485139402
CH - Agriculture-food,CH - Agriculture-food (7),3. primaire,7.622766341332351,0.34,0.17031927128748656
Imp - Energy industry,Imp - Energy industry (34),3. primaire,34.46639716118208,0.34,0.6823798062061344
CH - Energy industry,CH - Energy industry (2),3. primaire,2.120174968783356,0.34,0.22171312130739973
Imp - Heavy industry,Imp - Heavy industry (17),3. primaire,17.693588905086852,0.34,0.8486823970207263
CH - Heavy industry,CH - Heavy industry (12),3. primaire,12.519024574670917,0.34,0.28637104645166245
Imp - Manufacturing industry,Imp - Manufacturing industry (6),3. primaire,6.7279015167904035,0.34,0.9398407710620988
CH - Manufacturing industry,CH - Manufacturing industry (1),3. primaire,1.6852054039795306,0.34,0.3498506291332914
Imp - Services,Imp - Services (3),3. primaire,3.992753310140168,0.34,0.9938832692780615
CH - Services,CH - Services (6),3. primaire,6.938649519598195,0.34,0.39821284863163475
Imp - Transport services,Imp - Transport services (8),3. primaire,8.360998519959638,0.34,1.052349864488724
CH - Transport services,CH - Transport services (8),3. primaire,8.513464346918676,0.34,0.46507297720081975
CH - Households,CH - Households (18),3. primaire,18.395752160963,0.34,0.07483451178504381
Intermediate cons,Intermediate cons (88),4. cap/ci,88.22592927845405,0.58,0.5136750763752369
Capital formation,Capital formation (31),4. cap/ci,31.804618192386588,0.58,0.926340564590193
Households ,Households  (18),4. cap/ci,18.395752160963,0.58,0.1373345117850438
Government,Government (11),5. depenses,11.81289760589512,0.75,0.7924963334991098
Households,Households (89),5. depenses,89.66810901273998,0.75,0.45924864080479777
Other,Other (0),5. depenses,0.0,0.75,0.8828310756253781
Exportations,Exportations (18),5. depenses,18.549540852205535,0.75,0.991415537812689
Households direct emissions,Households direct emissions (18),5. depenses,18.395752160963,0.75,0.10816784511837715
Nourriture,Nourriture (14),6. exp region,14.100922275276094,1.0,0.47505504816294086
Africa ,Africa  (0),6. exp region,0.6133969426522357,0.88,0.8480344485870656
Asia ,Asia  (4),6. exp region,4.1469778019384895,0.88,0.8828054122440423
Europe ,Europe  (8),6. exp region,8.23218540800724,0.88,0.9382158474617521
Middle East ,Middle East  (1),6. exp region,1.4036314486794401,0.88,0.9861944948962987
North America ,North America  (2),6. exp region,2.8629567103938403,0.88,1.0196277794412747
Oceania ,Oceania  (0),6. exp region,0.3195358502234701,0.88,1.0501242243069242
South America ,South America  (0),6. exp region,0.9708566903108191,0.88,1.0754949271031955
Textiles,Textiles (4),6. exp region,4.878887372026605,1.0,0.7122975202831705
Logement,Logement (38),6. exp region,38.68630513715559,1.0,0.3101782462487481
Santé,Santé (4),6. exp region,4.948905857843822,1.0,0.8110910435532377
Transport,Transport (29),6. exp region,29.83108242556242,1.0,0.10268808204684363
Divertissements,Divertissements (5),6. exp region,5.008040501216423,1.0,0.663638607382747
Education,Education (5),6. exp region,5.245398378361432,1.0,0.7615994410814149
Autres biens et services,Autres biens et services (17),6. exp region,17.177216832155707,1.0,0.5816632397348125
CO2,CO2 (102),0. ges,102.43873042215253,0.0,0.34750885496820294
CH4,CH4 (29),0. ges,29.18676767976451,0.0,0.7740853286549882
N2O,N2O (5),0. ges,5.7611806562228205,0.0,0.9387601170503594
SF6,SF6 (1),0. ges,1.0396208736637735,0.0,1.027183643363574
