,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,1.3004606487286785
1,0,8.0,#b6cadf,1. imp region,2.2773281970538553
2,0,8.0,#cdbcac,1. imp region,0.3767157541896476
3,0,8.0,#d7ccee,1. imp region,0.3588921392418582
4,0,8.0,#e0baa1,1. imp region,9.37230159738343
5,0,8.0,#e6b6b4,1. imp region,0.2276739100366157
6,1,8.0,#a3cfad,1. imp region,34.2955957416745
7,1,8.0,#b6cadf,1. imp region,26.547053733111166
8,1,8.0,#cdbcac,1. imp region,10.228931855835022
9,1,8.0,#d7ccee,1. imp region,2.5568171494994836
10,1,8.0,#e0baa1,1. imp region,55.958829790995225
11,1,8.0,#e6b6b4,1. imp region,8.835783422531597
12,2,9.0,#8de5a1,1. imp region,753.2454819275766
13,2,9.0,#a1c9f4,1. imp region,669.086125914878
14,2,9.0,#cfcfcf,1. imp region,353.82626385461
15,2,9.0,#d0bbff,1. imp region,87.04525476018328
16,2,9.0,#debb9b,1. imp region,122.70284035216778
17,2,9.0,#ff9f9b,1. imp region,120.84036684198136
18,2,9.0,#ffb482,1. imp region,1630.691426112567
19,3,8.0,#a3cfad,1. imp region,7.62715707994703
20,3,8.0,#b6cadf,1. imp region,2.8893759372784453
21,3,8.0,#cdbcac,1. imp region,7.252023235355029
22,3,8.0,#d7ccee,1. imp region,2.1345696163770214
23,3,8.0,#e0baa1,1. imp region,7.134616474546484
24,3,8.0,#e6b6b4,1. imp region,1.9114896425048444
25,4,8.0,#a3cfad,1. imp region,3.6097983832139153
26,4,8.0,#b6cadf,1. imp region,1.0930580896133029
27,4,8.0,#cdbcac,1. imp region,1.8201238796661454
28,4,8.0,#d7ccee,1. imp region,0.4674839574592544
29,4,8.0,#e0baa1,1. imp region,12.96153614974928
30,4,8.0,#e6b6b4,1. imp region,0.9095347837772199
31,5,8.0,#a3cfad,1. imp region,3.915062597827305
32,5,8.0,#b6cadf,1. imp region,2.938413404853025
33,5,8.0,#cdbcac,1. imp region,2.256045222295415
34,5,8.0,#d7ccee,1. imp region,0.5706689079086154
35,5,8.0,#e0baa1,1. imp region,8.742566162274892
36,5,8.0,#e6b6b4,1. imp region,1.2654214580091245
37,6,8.0,#a3cfad,1. imp region,1.1754218846097606
38,6,8.0,#b6cadf,1. imp region,15.690104605981423
39,6,8.0,#cdbcac,1. imp region,0.40719263016941076
40,6,8.0,#d7ccee,1. imp region,0.19264998865422428
41,6,8.0,#e0baa1,1. imp region,3.162492795469135
42,6,8.0,#e6b6b4,1. imp region,0.11727393222099712
43,7,8.0,#a3cfad,1. imp region,3.6430600695785995
44,7,8.0,#b6cadf,1. imp region,6.815935893567545
45,7,8.0,#cdbcac,1. imp region,0.9669950175166319
46,7,8.0,#d7ccee,1. imp region,0.2513383436128717
47,7,8.0,#e0baa1,1. imp region,2.9184321248536995
48,7,8.0,#e6b6b4,1. imp region,0.41540480590184337
49,8,10.0,#b6cadf,2. imp/dom,58.25126986145875
50,8,12.0,#e0baa1,2. imp/dom,100.25077509527213
51,8,14.0,#a3cfad,2. imp/dom,55.56655640557978
52,8,16.0,#e6b6b4,2. imp/dom,13.68258195498224
53,8,18.0,#d7ccee,2. imp/dom,6.532420102753334
54,8,20.0,#cdbcac,2. imp/dom,23.308027595027298
55,9,11.0,#a1c9f4,2. imp/dom,669.086125914878
56,9,13.0,#ffb482,2. imp/dom,1630.691426112567
57,9,15.0,#8de5a1,2. imp/dom,753.2454819275766
58,9,17.0,#ff9f9b,2. imp/dom,120.84036684198136
59,9,19.0,#d0bbff,2. imp/dom,87.04525476018328
60,9,21.0,#debb9b,2. imp/dom,122.70284035216778
61,9,22.0,#cfcfcf,2. imp/dom,353.82626385461
62,10,23.0,#b6cadf,3. primaire,54.51206352975068
63,10,24.0,#b6cadf,3. primaire,3.7392063317081123
64,11,23.0,#a1c9f4,3. primaire,578.2341501157359
65,11,24.0,#a1c9f4,3. primaire,90.8519757991427
66,12,23.0,#e0baa1,3. primaire,80.8751033791276
67,12,24.0,#e0baa1,3. primaire,19.37567171614453
68,13,23.0,#ffb482,3. primaire,1440.9731943433621
