,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.025729307527061956
1,0,8.0,#b6cadf,1. imp region,0.05122501741885586
2,0,8.0,#cdbcac,1. imp region,0.027510653043405123
3,0,8.0,#d7ccee,1. imp region,0.011060174217460689
4,0,8.0,#e0baa1,1. imp region,0.08230779264677393
5,0,8.0,#e6b6b4,1. imp region,0.007987487252245337
6,1,8.0,#a3cfad,1. imp region,0.5672814443941221
7,1,8.0,#b6cadf,1. imp region,0.21172432207895056
8,1,8.0,#cdbcac,1. imp region,0.4430314870915233
9,1,8.0,#d7ccee,1. imp region,0.04093806768575138
10,1,8.0,#e0baa1,1. imp region,8.258859540752445
11,1,8.0,#e6b6b4,1. imp region,0.1724698224493703
12,2,9.0,#8de5a1,1. imp region,2.1335295503089915
13,2,9.0,#a1c9f4,1. imp region,0.5438497787267753
14,2,9.0,#cfcfcf,1. imp region,1.2612956020300001
15,2,9.0,#d0bbff,1. imp region,0.059255265160556576
16,2,9.0,#debb9b,1. imp region,2.0294610636896593
17,2,9.0,#ff9f9b,1. imp region,0.36456490624306237
18,2,9.0,#ffb482,1. imp region,3.4341270403068602
19,3,8.0,#a3cfad,1. imp region,0.3193849859115119
20,3,8.0,#b6cadf,1. imp region,0.1599682875262285
21,3,8.0,#cdbcac,1. imp region,0.2773341027764993
22,3,8.0,#d7ccee,1. imp region,0.057957961476812286
23,3,8.0,#e0baa1,1. imp region,0.7984656335344948
24,3,8.0,#e6b6b4,1. imp region,0.09566536522719422
25,4,8.0,#a3cfad,1. imp region,0.1999353282966091
26,4,8.0,#b6cadf,1. imp region,0.07690579722716684
27,4,8.0,#cdbcac,1. imp region,0.22025683445726557
28,4,8.0,#d7ccee,1. imp region,0.019192866030951262
29,4,8.0,#e0baa1,1. imp region,0.4217586830614654
30,4,8.0,#e6b6b4,1. imp region,0.09069897754572047
31,5,8.0,#a3cfad,1. imp region,0.019774839382609904
32,5,8.0,#b6cadf,1. imp region,0.01718242372441383
33,5,8.0,#cdbcac,1. imp region,0.03454520206898529
34,5,8.0,#d7ccee,1. imp region,0.0038216170470253452
35,5,8.0,#e0baa1,1. imp region,0.043605251965149985
36,5,8.0,#e6b6b4,1. imp region,0.010155619525733078
37,6,8.0,#a3cfad,1. imp region,0.007884043029354944
38,6,8.0,#b6cadf,1. imp region,0.006006801050606241
39,6,8.0,#cdbcac,1. imp region,0.020473075293831692
40,6,8.0,#d7ccee,1. imp region,0.0016665642746125685
41,6,8.0,#e0baa1,1. imp region,0.02117659068867221
42,6,8.0,#e6b6b4,1. imp region,0.0015580628476601407
43,7,8.0,#a3cfad,1. imp region,0.0336372481947972
44,7,8.0,#b6cadf,1. imp region,0.056308762195701925
45,7,8.0,#cdbcac,1. imp region,0.036572175616642146
46,7,8.0,#d7ccee,1. imp region,0.0029392185371475577
47,7,8.0,#e0baa1,1. imp region,0.02678241884226993
48,7,8.0,#e6b6b4,1. imp region,0.0024012736246430215
49,8,10.0,#b6cadf,2. imp/dom,0.5793214112219232
50,8,12.0,#e0baa1,2. imp/dom,9.652955911491265
51,8,14.0,#a3cfad,2. imp/dom,1.1736271967360672
52,8,16.0,#e6b6b4,2. imp/dom,0.38093660847256666
53,8,18.0,#d7ccee,2. imp/dom,0.13757646926976103
54,8,20.0,#cdbcac,2. imp/dom,1.0597235303481536
55,9,11.0,#a1c9f4,2. imp/dom,0.5438497787267753
56,9,13.0,#ffb482,2. imp/dom,3.4341270403068602
57,9,15.0,#8de5a1,2. imp/dom,2.1335295503089915
58,9,17.0,#ff9f9b,2. imp/dom,0.36456490624306237
59,9,19.0,#d0bbff,2. imp/dom,0.059255265160556576
60,9,21.0,#debb9b,2. imp/dom,2.0294610636896593
61,9,22.0,#cfcfcf,2. imp/dom,1.2612956020300001
62,10,23.0,#b6cadf,3. primaire,0.5369038375669701
63,10,24.0,#b6cadf,3. primaire,0.04241757365495371
64,11,23.0,#a1c9f4,3. primaire,0.5298052024149548
65,11,24.0,#a1c9f4,3. primaire,0.014044576311820444
66,12,23.0,#e0baa1,3. primaire,8.286757198992365
67,12,24.0,#e0baa1,3. primaire,1.3661987124989061
68,13,23.0,#ffb482,3. primaire,3.2629947256648624
69,13,24.0,#ffb482,3. primaire,0.1711323146419982
70,14,23.0,#a3cfad,3. primaire,0.7940609264652454
71,14,24.0,#a3cfad,3. primaire,0.37956627027082207
72,15,23.0,#8de5a1,3. primaire,1.6049502804806266
73,15,24.0,#8de5a1,3. primaire,0.5285792698283647
74,16,23.0,#e6b6b4,3. primaire,0.22911676325325755
75,16,24.0,#e6b6b4,3. primaire,0.15181984521930908
76,17,23.0,#ff9f9b,3. primaire,0.20239881674713
77,17,24.0,#ff9f9b,3. primaire,0.1621660894959323
78,18,23.0,#d7ccee,3. primaire,0.11237640023370175
79,18,24.0,#d7ccee,3. primaire,0.025200069036059272
80,19,23.0,#d0bbff,3. primaire,0.05537504433562824
81,19,24.0,#d0bbff,3. primaire,0.003880220824928304
82,20,23.0,#cdbcac,3. primaire,1.0078848459929122
83,20,24.0,#cdbcac,3. primaire,0.05183868435524049
84,21,23.0,#debb9b,3. primaire,1.875794207740008
85,21,24.0,#debb9b,3. primaire,0.15366685594965188
86,22,25.0,#cfcfcf,3. primaire,1.2612956020300001
87,23,26.0,#8de5a1,4. cap/ci,0.04387777018543111
88,23,26.0,#a1c9f4,4. cap/ci,0.008883037778809284
89,23,26.0,#a3cfad,4. cap/ci,0.05192899290033375
90,23,26.0,#b6cadf,4. cap/ci,0.022617281853516764
91,23,26.0,#cdbcac,4. cap/ci,0.039798481318536486
92,23,26.0,#d0bbff,4. cap/ci,0.0017638062133428006
93,23,26.0,#d7ccee,4. cap/ci,0.008385496401091935
94,23,26.0,#debb9b,4. cap/ci,0.01942335073802544
95,23,26.0,#e0baa1,4. cap/ci,0.5557299772758475
96,23,26.0,#e6b6b4,4. cap/ci,0.014945996116946147
97,23,26.0,#ff9f9b,4. cap/ci,0.015599950781987596
98,23,26.0,#ffb482,4. cap/ci,0.17049621095898698
99,23,27.0,#8de5a1,4. cap/ci,0.3520005760293576
100,23,27.0,#a1c9f4,4. cap/ci,0.3486913607054063
101,23,27.0,#a3cfad,4. cap/ci,0.7391940402467254
102,23,27.0,#b6cadf,4. cap/ci,0.5115181410422025
103,23,27.0,#cdbcac,4. cap/ci,0.9666744494993122
104,23,27.0,#d0bbff,4. cap/ci,0.04374809244324289
105,23,27.0,#d7ccee,4. cap/ci,0.10376094967014654
106,23,27.0,#debb9b,4. cap/ci,0.4754076612552895
107,23,27.0,#e0baa1,4. cap/ci,7.647561869730404
108,23,27.0,#e6b6b4,4. cap/ci,0.21337228713676515
109,23,27.0,#ff9f9b,4. cap/ci,0.11980042391771006
110,23,27.0,#ffb482,4. cap/ci,2.610874231389264
111,23,28.0,#8de5a1,4. cap/ci,0.0012016034679666924
112,23,28.0,#a1c9f4,4. cap/ci,0.008886661170004558
113,23,28.0,#a3cfad,4. cap/ci,0.002937893318185831
114,23,28.0,#b6cadf,4. cap/ci,0.0027684146712508217
115,23,28.0,#cdbcac,4. cap/ci,0.0014119151750632097
116,23,28.0,#d0bbff,4. cap/ci,1.4221433531589148e-05
117,23,28.0,#d7ccee,4. cap/ci,0.00022995416246331587
118,23,28.0,#debb9b,4. cap/ci,8.927112742514917e-06
119,23,28.0,#e0baa1,4. cap/ci,0.08346535198611478
120,23,28.0,#e6b6b4,4. cap/ci,0.0007984799995461704
121,23,28.0,#ff9f9b,4. cap/ci,0.0005663375388424061
122,23,28.0,#ffb482,4. cap/ci,0.014824290627724163
123,23,29.0,#8de5a1,4. cap/ci,1.2078703307978713
124,23,29.0,#a1c9f4,4. cap/ci,0.1633441427607347
125,23,29.0,#d0bbff,4. cap/ci,0.009848924245510976
126,23,29.0,#debb9b,4. cap/ci,1.380954268633951
127,23,29.0,#ff9f9b,4. cap/ci,0.06643210450859008
128,23,29.0,#ffb482,4. cap/ci,0.4667999926888885
129,24,26.0,#8de5a1,4. cap/ci,0.02717864259693312
130,24,26.0,#a1c9f4,4. cap/ci,0.0002851916502801315
131,24,26.0,#a3cfad,4. cap/ci,0.04767110280936922
132,24,26.0,#b6cadf,4. cap/ci,0.006090643520241873
133,24,26.0,#cdbcac,4. cap/ci,0.007840253411073575
134,24,26.0,#d0bbff,4. cap/ci,0.0002204549890122938
135,24,26.0,#d7ccee,4. cap/ci,0.0038970780489479147
136,24,26.0,#debb9b,4. cap/ci,6.517449253682835e-05
137,24,26.0,#e0baa1,4. cap/ci,0.17516211636306053
138,24,26.0,#e6b6b4,4. cap/ci,0.02425780120480047
139,24,26.0,#ff9f9b,4. cap/ci,0.013931634427773022
140,24,26.0,#ffb482,4. cap/ci,0.008740952596741937
141,24,27.0,#8de5a1,4. cap/ci,0.19977438011274304
142,24,27.0,#a1c9f4,4. cap/ci,0.005499604149358506
143,24,27.0,#a3cfad,4. cap/ci,0.33058115464608584
144,24,27.0,#b6cadf,4. cap/ci,0.036174433001057583
145,24,27.0,#cdbcac,4. cap/ci,0.04386610451686157
146,24,27.0,#d0bbff,4. cap/ci,0.0015541049145488205
147,24,27.0,#d7ccee,4. cap/ci,0.02122982483654006
148,24,27.0,#debb9b,4. cap/ci,0.0003428385006381293
149,24,27.0,#e0baa1,4. cap/ci,1.1885182741936116
150,24,27.0,#e6b6b4,4. cap/ci,0.12708914739111676
151,24,27.0,#ff9f9b,4. cap/ci,0.07409602181660843
152,24,27.0,#ffb482,4. cap/ci,0.06072957965050049
153,24,28.0,#8de5a1,4. cap/ci,0.0002973603523334391
154,24,28.0,#a1c9f4,4. cap/ci,0.0001463953188991306
155,24,28.0,#a3cfad,4. cap/ci,0.001314012815367037
156,24,28.0,#b6cadf,4. cap/ci,0.00015249713365423902
157,24,28.0,#cdbcac,4. cap/ci,0.00013232642730535952
158,24,28.0,#d0bbff,4. cap/ci,2.434881875240228e-06
159,24,28.0,#d7ccee,4. cap/ci,7.31661505712915e-05
160,24,28.0,#debb9b,4. cap/ci,6.996174659755406e-07
161,24,28.0,#e0baa1,4. cap/ci,0.002518321942233945
162,24,28.0,#e6b6b4,4. cap/ci,0.00047289662339179743
163,24,28.0,#ff9f9b,4. cap/ci,0.00012598950173199703
164,24,28.0,#ffb482,4. cap/ci,0.00011633806163203914
165,24,29.0,#8de5a1,4. cap/ci,0.30132888676635505
166,24,29.0,#a1c9f4,4. cap/ci,0.008113385193282658
167,24,29.0,#d0bbff,4. cap/ci,0.0021032260394919476
168,24,29.0,#debb9b,4. cap/ci,0.15325814333901094
169,24,29.0,#ff9f9b,4. cap/ci,0.07401244374981884
170,24,29.0,#ffb482,4. cap/ci,0.10154544433312371
171,25,30.0,#cfcfcf,4. cap/ci,1.2612956020300001
172,26,31.0,#8de5a1,5. depenses,4.352017732477782e-07
173,26,31.0,#a1c9f4,5. depenses,6.815627729924229e-08
174,26,31.0,#a3cfad,5. depenses,1.268962415246469e-06
175,26,31.0,#b6cadf,5. depenses,1.5557958269499594e-06
176,26,31.0,#cdbcac,5. depenses,3.552864984152825e-07
177,26,31.0,#d0bbff,5. depenses,3.48443021440147e-07
178,26,31.0,#d7ccee,5. depenses,4.836505613034126e-07
179,26,31.0,#debb9b,5. depenses,4.443562832080577e-08
180,26,31.0,#e0baa1,5. depenses,4.455660271214485e-06
181,26,31.0,#e6b6b4,5. depenses,3.733733449240536e-07
182,26,31.0,#ff9f9b,5. depenses,1.8459884897106396e-07
183,26,31.0,#ffb482,5. depenses,6.05896943279723e-07
184,26,39.0,#8de5a1,5. depenses,1.02342291402959e-07
185,26,39.0,#a1c9f4,5. depenses,1.6024803117141526e-08
186,26,39.0,#a3cfad,5. depenses,2.0298984627883715e-07
187,26,39.0,#b6cadf,5. depenses,4.526263552314843e-08
188,26,39.0,#cdbcac,5. depenses,6.15436358252989e-08
189,26,39.0,#d0bbff,5. depenses,8.198604916776055e-08
190,26,39.0,#d7ccee,5. depenses,1.883158990440257e-08
191,26,39.0,#debb9b,5. depenses,1.0409730639070876e-08
192,26,39.0,#e0baa1,5. depenses,8.015767067618416e-07
193,26,39.0,#e6b6b4,5. depenses,5.91260316266763e-08
194,26,39.0,#ff9f9b,5. depenses,4.342896247039552e-08
195,26,39.0,#ffb482,5. depenses,1.4254305509347024e-07
196,26,40.0,#8de5a1,5. depenses,0.016944479684602623
197,26,40.0,#a1c9f4,5. depenses,8.841988855200335e-06
198,26,40.0,#a3cfad,5. depenses,0.0055567678280357665
199,26,40.0,#b6cadf,5. depenses,0.0005321477713867001
200,26,40.0,#cdbcac,5. depenses,0.0014844541998756415
201,26,40.0,#d0bbff,5. depenses,3.0119489069305833e-05
