,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.27353713350305253
1,0,8.0,#b6cadf,1. imp region,0.3854820043236567
2,0,8.0,#cdbcac,1. imp region,0.06332428817408907
3,0,8.0,#d7ccee,1. imp region,0.05817544315582935
4,0,8.0,#e0baa1,1. imp region,0.4475019469923652
5,0,8.0,#e6b6b4,1. imp region,0.057040010708516456
6,1,8.0,#a3cfad,1. imp region,2.9575324911509058
7,1,8.0,#b6cadf,1. imp region,1.3215254443298268
8,1,8.0,#cdbcac,1. imp region,1.4005479428648608
9,1,8.0,#d7ccee,1. imp region,0.36446472095967647
10,1,8.0,#e0baa1,1. imp region,13.659836994674084
11,1,8.0,#e6b6b4,1. imp region,0.5073907643725686
12,2,9.0,#8de5a1,1. imp region,14.831481461403975
13,2,9.0,#a1c9f4,1. imp region,8.739782938651686
14,2,9.0,#cfcfcf,1. imp region,14.196256035319
15,2,9.0,#d0bbff,1. imp region,11.520427903564416
16,2,9.0,#debb9b,1. imp region,9.869334129414803
17,2,9.0,#ff9f9b,1. imp region,7.6009556342561275
18,2,9.0,#ffb482,1. imp region,47.16091444185446
19,3,8.0,#a3cfad,1. imp region,3.151235899471303
20,3,8.0,#b6cadf,1. imp region,2.5371808846728294
21,3,8.0,#cdbcac,1. imp region,1.093231902429323
22,3,8.0,#d7ccee,1. imp region,0.6418591623137723
23,3,8.0,#e0baa1,1. imp region,4.0363687218538535
24,3,8.0,#e6b6b4,1. imp region,0.8931439590471689
25,4,8.0,#a3cfad,1. imp region,0.7141551721371652
26,4,8.0,#b6cadf,1. imp region,0.22485095338410793
27,4,8.0,#cdbcac,1. imp region,0.3072922538147193
28,4,8.0,#d7ccee,1. imp region,0.10494995120583907
29,4,8.0,#e0baa1,1. imp region,0.8067967239556972
30,4,8.0,#e6b6b4,1. imp region,0.4968633877660659
31,5,8.0,#a3cfad,1. imp region,0.2695438332168307
32,5,8.0,#b6cadf,1. imp region,0.10729229515108075
33,5,8.0,#cdbcac,1. imp region,0.37718053978883853
34,5,8.0,#d7ccee,1. imp region,0.04246214240950646
35,5,8.0,#e0baa1,1. imp region,0.40467964686084057
36,5,8.0,#e6b6b4,1. imp region,0.0821534690414768
37,6,8.0,#a3cfad,1. imp region,0.044912410683726756
38,6,8.0,#b6cadf,1. imp region,0.42995353646139955
39,6,8.0,#cdbcac,1. imp region,0.026551077520661343
40,6,8.0,#d7ccee,1. imp region,0.021666336733309387
41,6,8.0,#e0baa1,1. imp region,0.08108815923504308
42,6,8.0,#e6b6b4,1. imp region,0.006794165093756558
43,7,8.0,#a3cfad,1. imp region,0.21419670801213567
44,7,8.0,#b6cadf,1. imp region,0.5599640529831502
45,7,8.0,#cdbcac,1. imp region,0.035697673884963095
46,7,8.0,#d7ccee,1. imp region,0.017108354669967366
47,7,8.0,#e0baa1,1. imp region,0.17096225898429931
48,7,8.0,#e6b6b4,1. imp region,0.0159152315308291
49,8,10.0,#b6cadf,2. imp/dom,5.566249171306049
50,8,12.0,#e0baa1,2. imp/dom,19.60723445255618
51,8,14.0,#a3cfad,2. imp/dom,7.62511364817512
52,8,16.0,#e6b6b4,2. imp/dom,2.059300987560383
53,8,18.0,#d7ccee,2. imp/dom,1.2506861114478998
54,8,20.0,#cdbcac,2. imp/dom,3.3038256784774545
55,9,11.0,#a1c9f4,2. imp/dom,8.739782938651686
56,9,13.0,#ffb482,2. imp/dom,47.16091444185446
57,9,15.0,#8de5a1,2. imp/dom,14.831481461403975
58,9,17.0,#ff9f9b,2. imp/dom,7.6009556342561275
59,9,19.0,#d0bbff,2. imp/dom,11.520427903564416
60,9,21.0,#debb9b,2. imp/dom,9.869334129414803
61,9,22.0,#cfcfcf,2. imp/dom,14.196256035319
62,10,23.0,#b6cadf,3. primaire,5.140383420383726
63,10,24.0,#b6cadf,3. primaire,0.4258657509223258
64,11,23.0,#a1c9f4,3. primaire,8.443712463663172
65,11,24.0,#a1c9f4,3. primaire,0.2960704749885176
66,12,23.0,#e0baa1,3. primaire,15.906965230516892
67,12,24.0,#e0baa1,3. primaire,3.700269222039283
68,13,23.0,#ffb482,3. primaire,41.51036322586339
69,13,24.0,#ffb482,3. primaire,5.650551215991071
70,14,23.0,#a3cfad,3. primaire,5.131504930822323
71,14,24.0,#a3cfad,3. primaire,2.493608717352794
72,15,23.0,#8de5a1,3. primaire,10.643587191170418
73,15,24.0,#8de5a1,3. primaire,4.187894270233573
74,16,23.0,#e6b6b4,3. primaire,1.1886448051482303
75,16,24.0,#e6b6b4,3. primaire,0.8706561824121524
76,17,23.0,#ff9f9b,3. primaire,2.6295210445617117
77,17,24.0,#ff9f9b,3. primaire,4.971434589694416
78,18,23.0,#d7ccee,3. primaire,0.9472620104642268
79,18,24.0,#d7ccee,3. primaire,0.3034241009836737
80,19,23.0,#d0bbff,3. primaire,9.64810451832087
81,19,24.0,#d0bbff,3. primaire,1.8723233852435506
82,20,23.0,#cdbcac,3. primaire,2.791965259995764
83,20,24.0,#cdbcac,3. primaire,0.5118604184816921
84,21,23.0,#debb9b,3. primaire,8.71289028010631
85,21,24.0,#debb9b,3. primaire,1.1564438493084994
86,22,25.0,#cfcfcf,3. primaire,14.196256035319
87,23,26.0,#8de5a1,4. cap/ci,0.5134033967609584
88,23,26.0,#a1c9f4,4. cap/ci,0.11068719603448725
89,23,26.0,#a3cfad,4. cap/ci,1.3387235185042292
90,23,26.0,#b6cadf,4. cap/ci,0.3881585373728347
91,23,26.0,#cdbcac,4. cap/ci,0.5764036036858571
92,23,26.0,#d0bbff,4. cap/ci,1.3089419601850139
93,23,26.0,#d7ccee,4. cap/ci,0.17084652557071398
94,23,26.0,#debb9b,4. cap/ci,1.0888535621641455
95,23,26.0,#e0baa1,4. cap/ci,3.1458956416846173
96,23,26.0,#e6b6b4,4. cap/ci,0.17752954245407745
97,23,26.0,#ff9f9b,4. cap/ci,0.29280384320300007
98,23,26.0,#ffb482,4. cap/ci,3.354653038977409
99,23,27.0,#8de5a1,4. cap/ci,4.741490624936384
100,23,27.0,#a1c9f4,4. cap/ci,5.332804539014655
101,23,27.0,#a3cfad,4. cap/ci,3.6722088490751497
102,23,27.0,#b6cadf,4. cap/ci,3.9373251161778513
103,23,27.0,#cdbcac,4. cap/ci,2.1815134395879614
104,23,27.0,#d0bbff,4. cap/ci,5.973470149843256
105,23,27.0,#d7ccee,4. cap/ci,0.7606503916065714
106,23,27.0,#debb9b,4. cap/ci,3.6576629129076377
107,23,27.0,#e0baa1,4. cap/ci,12.499465476082714
108,23,27.0,#e6b6b4,4. cap/ci,0.961537418384539
109,23,27.0,#ff9f9b,4. cap/ci,0.7704883445466367
110,23,27.0,#ffb482,4. cap/ci,28.03331044403014
111,23,28.0,#8de5a1,4. cap/ci,0.048989017450971964
112,23,28.0,#a1c9f4,4. cap/ci,0.21096448121167663
113,23,28.0,#a3cfad,4. cap/ci,0.12057256324294593
114,23,28.0,#b6cadf,4. cap/ci,0.8148997668330374
115,23,28.0,#cdbcac,4. cap/ci,0.03404821672194504
116,23,28.0,#d0bbff,4. cap/ci,0.040839367022962716
117,23,28.0,#d7ccee,4. cap/ci,0.01576509328694105
118,23,28.0,#debb9b,4. cap/ci,0.027397808887590067
119,23,28.0,#e0baa1,4. cap/ci,0.2616041127495651
120,23,28.0,#e6b6b4,4. cap/ci,0.0495778443096131
121,23,28.0,#ff9f9b,4. cap/ci,0.03971483556143808
122,23,28.0,#ffb482,4. cap/ci,0.1574674254954914
123,23,29.0,#8de5a1,4. cap/ci,5.33970415202211
124,23,29.0,#a1c9f4,4. cap/ci,2.7892562474023577
125,23,29.0,#d0bbff,4. cap/ci,2.3248530412696424
126,23,29.0,#debb9b,4. cap/ci,3.938975996146931
127,23,29.0,#ff9f9b,4. cap/ci,1.5265140212506363
128,23,29.0,#ffb482,4. cap/ci,9.964932317360319
129,24,26.0,#8de5a1,4. cap/ci,0.494569786352478
130,24,26.0,#a1c9f4,4. cap/ci,0.03578382208976759
131,24,26.0,#a3cfad,4. cap/ci,0.701098189689909
132,24,26.0,#b6cadf,4. cap/ci,0.10444073409784763
133,24,26.0,#cdbcac,4. cap/ci,0.1601788210612056
134,24,26.0,#d0bbff,4. cap/ci,0.3705481773919295
135,24,26.0,#d7ccee,4. cap/ci,0.08873738663987898
136,24,26.0,#debb9b,4. cap/ci,0.10943613225928048
137,24,26.0,#e0baa1,4. cap/ci,1.1482558009659363
138,24,26.0,#e6b6b4,4. cap/ci,0.21221480129374037
139,24,26.0,#ff9f9b,4. cap/ci,1.2572356851228386
140,24,26.0,#ffb482,4. cap/ci,0.7901311242173055
141,24,27.0,#8de5a1,4. cap/ci,0.7784791084191849
142,24,27.0,#a1c9f4,4. cap/ci,0.07916547986077509
143,24,27.0,#a3cfad,4. cap/ci,1.7583116523726816
144,24,27.0,#b6cadf,4. cap/ci,0.3115534755295465
145,24,27.0,#cdbcac,4. cap/ci,0.34631250783248074
146,24,27.0,#d0bbff,4. cap/ci,0.5899838691282242
147,24,27.0,#d7ccee,4. cap/ci,0.21120567670022927
148,24,27.0,#debb9b,4. cap/ci,0.18092359079442
149,24,27.0,#e0baa1,4. cap/ci,2.508792128097537
150,24,27.0,#e6b6b4,4. cap/ci,0.6450029326562997
151,24,27.0,#ff9f9b,4. cap/ci,1.919056243066671
152,24,27.0,#ffb482,4. cap/ci,1.2773456747113738
153,24,28.0,#8de5a1,4. cap/ci,0.006058682194756075
154,24,28.0,#a1c9f4,4. cap/ci,0.0010532222053686244
155,24,28.0,#a3cfad,4. cap/ci,0.03419887529020351
156,24,28.0,#b6cadf,4. cap/ci,0.009871541294931771
157,24,28.0,#cdbcac,4. cap/ci,0.0053690895880057566
158,24,28.0,#d0bbff,4. cap/ci,0.004487421691668348
159,24,28.0,#d7ccee,4. cap/ci,0.003481037643565393
160,24,28.0,#debb9b,4. cap/ci,0.001504339256021022
161,24,28.0,#e0baa1,4. cap/ci,0.04322129297580882
162,24,28.0,#e6b6b4,4. cap/ci,0.013438448462112281
163,24,28.0,#ff9f9b,4. cap/ci,0.014103646416780656
164,24,28.0,#ffb482,4. cap/ci,0.010289707767652416
165,24,29.0,#8de5a1,4. cap/ci,2.9087866932671527
166,24,29.0,#a1c9f4,4. cap/ci,0.18006795083260646
167,24,29.0,#d0bbff,4. cap/ci,0.9073039170317296
168,24,29.0,#debb9b,4. cap/ci,0.8645797869987779
169,24,29.0,#ff9f9b,4. cap/ci,1.781039015088128
170,24,29.0,#ffb482,4. cap/ci,3.572784709294741
171,25,30.0,#cfcfcf,4. cap/ci,14.196256035319
172,26,31.0,#8de5a1,5. depenses,0.00046090848402911643
173,26,31.0,#a1c9f4,5. depenses,0.00144934116433111
174,26,31.0,#a3cfad,5. depenses,0.0009784983240798632
175,26,31.0,#b6cadf,5. depenses,0.0008762493926099705
176,26,31.0,#cdbcac,5. depenses,0.00041834305086819757
177,26,31.0,#d0bbff,5. depenses,0.002574411704844546
178,26,31.0,#d7ccee,5. depenses,0.0001632287290819683
179,26,31.0,#debb9b,5. depenses,0.0004762211308722778
180,26,31.0,#e0baa1,5. depenses,0.0027568765634948416
181,26,31.0,#e6b6b4,5. depenses,0.00023899779102563637
182,26,31.0,#ff9f9b,5. depenses,0.0004134025872885239
