,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,2.6072641282212863
1,0,8.0,#b6cadf,1. imp region,7.638542449478657
2,0,8.0,#cdbcac,1. imp region,0.48594280264471423
3,0,8.0,#d7ccee,1. imp region,0.45082945460531426
4,0,8.0,#e0baa1,1. imp region,12.005828597071469
5,0,8.0,#e6b6b4,1. imp region,1.1143608604567672
6,1,8.0,#a3cfad,1. imp region,45.4877857370486
7,1,8.0,#b6cadf,1. imp region,20.674025149499077
8,1,8.0,#cdbcac,1. imp region,19.35029779463426
9,1,8.0,#d7ccee,1. imp region,3.537857685187578
10,1,8.0,#e0baa1,1. imp region,84.70702159698172
11,1,8.0,#e6b6b4,1. imp region,10.287389682327571
12,2,9.0,#8de5a1,1. imp region,88.60038721495437
13,2,9.0,#a1c9f4,1. imp region,67.82287616622114
14,2,9.0,#cfcfcf,1. imp region,165.20932902712
15,2,9.0,#d0bbff,1. imp region,81.68272857455241
16,2,9.0,#debb9b,1. imp region,102.69049094805202
17,2,9.0,#ff9f9b,1. imp region,80.67699306328835
18,2,9.0,#ffb482,1. imp region,259.73737793166447
19,3,8.0,#a3cfad,1. imp region,32.08159955976181
20,3,8.0,#b6cadf,1. imp region,34.63811857671471
21,3,8.0,#cdbcac,1. imp region,21.116679281294925
22,3,8.0,#d7ccee,1. imp region,8.849164070543798
23,3,8.0,#e0baa1,1. imp region,36.36973635887151
24,3,8.0,#e6b6b4,1. imp region,10.242356390506203
25,4,8.0,#a3cfad,1. imp region,7.501556508333881
26,4,8.0,#b6cadf,1. imp region,4.496509123931461
27,4,8.0,#cdbcac,1. imp region,6.397740415507716
28,4,8.0,#d7ccee,1. imp region,1.3289977935342434
29,4,8.0,#e0baa1,1. imp region,14.970373081351669
30,4,8.0,#e6b6b4,1. imp region,6.3400656353432945
31,5,8.0,#a3cfad,1. imp region,4.9611248265408605
32,5,8.0,#b6cadf,1. imp region,2.24648793517186
33,5,8.0,#cdbcac,1. imp region,4.942616650593555
34,5,8.0,#d7ccee,1. imp region,0.5472818169134098
35,5,8.0,#e0baa1,1. imp region,9.79063650569242
36,5,8.0,#e6b6b4,1. imp region,1.6239990890713318
37,6,8.0,#a3cfad,1. imp region,0.4537065150525329
38,6,8.0,#b6cadf,1. imp region,1.078745978957816
