,label,position,value,x,y
Africa,Africa (24),1. imp region,24.373036169537535,0.09,0.5969523327614084
Asia,Asia (200),1. imp region,200.3427046840158,0.09,0.6939642766766405
DE,DE (991),1. imp region,991.4315359093257,0.09,0.29532410565487305
Europe,Europe (124),1. imp region,124.51831793655396,0.09,0.8168789441868624
Middle East,Middle East (43),1. imp region,43.19456966394047,0.09,0.8991470167395391
North America,North America (35),1. imp region,35.957577177551556,0.09,0.9585087241717423
Oceania,Oceania (3),1. imp region,3.3529659967141225,0.09,1.0075653425456887
South America,South America (26),1. imp region,26.65677971142979,0.09,1.054216296052284
Imports,Imports (458),2. imp/dom,458.39595133974336,0.2,0.8647685500993175
Territorial,Territorial (991),2. imp/dom,991.4315359093257,0.2,0.3731018834326508
Imp - Agriculture-food,Imp - Agriculture-food (78),3. primaire,78.3600593079413,0.34,0.7331383774762743
DE - Agriculture-food,DE - Agriculture-food (66),3. primaire,66.10560239013604,0.34,0.18739763759012057
Imp - Energy industry,Imp - Energy industry (184),3. primaire,184.76419609076015,0.34,0.8261958509635058
DE - Energy industry,DE - Energy industry (281),3. primaire,281.75567548065266,0.34,0.30237246587059435
Imp - Heavy industry,Imp - Heavy industry (91),3. primaire,91.54651513431972,0.34,0.9226640205358796
DE - Heavy industry,DE - Heavy industry (104),3. primaire,104.721874514836,0.34,0.4273354494137602
Imp - Manufacturing industry,Imp - Manufacturing industry (30),3. primaire,30.119716693315276,0.34,0.9791331693391847
DE - Manufacturing industry,DE - Manufacturing industry (81),3. primaire,81.99760613214167,0.34,0.5006307161668231
Imp - Services,Imp - Services (14),3. primaire,14.438820190448196,0.34,1.0156583000725772
DE - Services,DE - Services (121),3. primaire,121.23440531925786,0.34,0.5781969731625992
Imp - Transport services,Imp - Transport services (59),3. primaire,59.16664392295852,0.34,1.0596964610160562
DE - Transport services,DE - Transport services (103),3. primaire,103.06534438571276,0.34,0.6612124314699599
DE - Households,DE - Households (232),3. primaire,232.55102768658898,0.34,0.08514966342508683
Intermediate cons,Intermediate cons (945),4. cap/ci,945.6222228972119,0.58,0.5398858978078642
Capital formation,Capital formation (271),4. cap/ci,271.65423666526823,0.58,0.9422362343827773
Households ,Households  (232),4. cap/ci,232.55102768658898,0.58,0.1476496634250868
Government,Government (159),5. depenses,159.62001721426242,0.75,0.7521254925690632
Households,Households (803),5. depenses,803.282167331328,0.75,0.44473610092514254
Other,Other (15),5. depenses,15.029558315542477,0.75,0.8556321940442474
Exportations,Exportations (239),5. depenses,239.34471670134735,0.75,0.9797598056419068
Households direct emissions,Households direct emissions (232),5. depenses,232.551027686589,0.75,0.11848299675842017
Nourriture,Nourriture (149),6. exp region,149.7604039201126,1.0,0.48170008895471506
Africa ,Africa  (3),6. exp region,3.7115995291669734,0.88,0.8162464541179105
Asia ,Asia  (34),6. exp region,34.94689001146168,0.88,0.8481205289769771
Europe ,Europe  (132),6. exp region,132.707819055146,0.88,0.9133596646778869
Middle East ,Middle East  (9),6. exp region,9.433737918361071,0.88,0.9719997862760458
North America ,North America  (49),6. exp region,49.04220794380786,0.88,1.0089996751963966
Oceania ,Oceania  (2),6. exp region,2.278293057112397,0.88,1.0441487978382986
South America ,South America  (7),6. exp region,7.224169186291361,0.88,1.0684816235952361
Textiles,Textiles (43),6. exp region,43.30552793622397,1.0,0.6959028211470005
Logement,Logement (423),6. exp region,423.7230915873506,1.0,0.31149274410219
Santé,Santé (33),6. exp region,33.49675408751516,1.0,0.7847474590364469
Transport,Transport (305),6. exp region,305.71284075412296,1.0,0.10094807337669578
Divertissements,Divertissements (56),6. exp region,56.407487287901176,1.0,0.6482369039255345
Education,Education (48),6. exp region,48.771453041013736,1.0,0.7415936669425442
Autres biens et services,Autres biens et services (134),6. exp region,134.27565361793916,1.0,0.5770414306495261
CO2,CO2 (1212),0. ges,1212.502360801475,0.0,0.3836155089480941
CH4,CH4 (173),0. ges,173.45175485828466,0.0,0.8120945679694961
N2O,N2O (57),0. ges,57.442052333028805,0.0,0.9418155888897373
SF6,SF6 (6),0. ges,6.431319256280397,0.0,1.0283365298683353
