,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,1.6043063903337855
1,0,8.0,#b6cadf,1. imp region,3.977787917934885
2,0,8.0,#cdbcac,1. imp region,0.24904890940241434
3,0,8.0,#d7ccee,1. imp region,0.3194677286649645
4,0,8.0,#e0baa1,1. imp region,21.406182809847646
5,0,8.0,#e6b6b4,1. imp region,0.4899945707689763
6,1,8.0,#a3cfad,1. imp region,10.225590228000025
7,1,8.0,#b6cadf,1. imp region,6.205080904693936
8,1,8.0,#cdbcac,1. imp region,5.809091503476397
9,1,8.0,#d7ccee,1. imp region,1.0455215900237878
10,1,8.0,#e0baa1,1. imp region,19.232172825004785
11,1,8.0,#e6b6b4,1. imp region,2.593892347276682
12,2,9.0,#8de5a1,1. imp region,61.829969304325054
13,2,9.0,#a1c9f4,1. imp region,49.841557243244395
14,2,9.0,#cfcfcf,1. imp region,55.891395031463
15,2,9.0,#d0bbff,1. imp region,12.437836107042742
16,2,9.0,#debb9b,1. imp region,21.372988487932144
17,2,9.0,#ff9f9b,1. imp region,11.953236729275398
18,2,9.0,#ffb482,1. imp region,99.8484562630493
19,3,8.0,#a3cfad,1. imp region,10.533101579307356
20,3,8.0,#b6cadf,1. imp region,9.038325118354946
21,3,8.0,#cdbcac,1. imp region,5.014223262223909
22,3,8.0,#d7ccee,1. imp region,1.939645545120284
23,3,8.0,#e0baa1,1. imp region,10.787054405582193
24,3,8.0,#e6b6b4,1. imp region,3.434789001903528
25,4,8.0,#a3cfad,1. imp region,2.8349440936970396
26,4,8.0,#b6cadf,1. imp region,0.8079743129358691
27,4,8.0,#cdbcac,1. imp region,2.168373632786187
28,4,8.0,#d7ccee,1. imp region,0.29165712679873695
29,4,8.0,#e0baa1,1. imp region,8.037170635624554
30,4,8.0,#e6b6b4,1. imp region,1.2223892004032473
31,5,8.0,#a3cfad,1. imp region,1.7341978441411066
32,5,8.0,#b6cadf,1. imp region,1.0259279498955158
33,5,8.0,#cdbcac,1. imp region,1.75551351535785
34,5,8.0,#d7ccee,1. imp region,0.3180145829795144
35,5,8.0,#e0baa1,1. imp region,4.120749750402298
36,5,8.0,#e6b6b4,1. imp region,0.5028055723164286
37,6,8.0,#a3cfad,1. imp region,0.21265121262834516
38,6,8.0,#b6cadf,1. imp region,0.48010076035946914
39,6,8.0,#cdbcac,1. imp region,0.1151296242567209
40,6,8.0,#d7ccee,1. imp region,0.02425848538525074
41,6,8.0,#e0baa1,1. imp region,0.7186107888530163
42,6,8.0,#e6b6b4,1. imp region,0.03454156114562604
43,7,8.0,#a3cfad,1. imp region,1.6610307859451918
44,7,8.0,#b6cadf,1. imp region,4.340274037556581
45,7,8.0,#cdbcac,1. imp region,0.5515031571324536
46,7,8.0,#d7ccee,1. imp region,0.07258059728195522
47,7,8.0,#e0baa1,1. imp region,2.1173602350312093
48,7,8.0,#e6b6b4,1. imp region,0.21529684923544729
49,8,10.0,#b6cadf,2. imp/dom,25.875471001731245
50,8,12.0,#e0baa1,2. imp/dom,66.41930145034573
51,8,14.0,#a3cfad,2. imp/dom,28.805822134052853
52,8,16.0,#e6b6b4,2. imp/dom,8.493709103049937
53,8,18.0,#d7ccee,2. imp/dom,4.011145656254494
54,8,20.0,#cdbcac,2. imp/dom,15.662883604635928
55,9,11.0,#a1c9f4,2. imp/dom,49.841557243244395
56,9,13.0,#ffb482,2. imp/dom,99.8484562630493
57,9,15.0,#8de5a1,2. imp/dom,61.829969304325054
58,9,17.0,#ff9f9b,2. imp/dom,11.953236729275398
59,9,19.0,#d0bbff,2. imp/dom,12.437836107042742
60,9,21.0,#debb9b,2. imp/dom,21.372988487932144
61,9,22.0,#cfcfcf,2. imp/dom,55.891395031463
62,10,23.0,#b6cadf,3. primaire,24.265008489219223
63,10,24.0,#b6cadf,3. primaire,1.6104625125120118
64,11,23.0,#a1c9f4,3. primaire,48.42806277489446
65,11,24.0,#a1c9f4,3. primaire,1.4134944683499675
66,12,23.0,#e0baa1,3. primaire,56.306563208860176
67,12,24.0,#e0baa1,3. primaire,10.112738241485541
68,13,23.0,#ffb482,3. primaire,89.1862484146155
69,13,24.0,#ffb482,3. primaire,10.662207848433749
70,14,23.0,#a3cfad,3. primaire,20.226796058236733
71,14,24.0,#a3cfad,3. primaire,8.579026075816115
72,15,23.0,#8de5a1,3. primaire,41.859745075801655
73,15,24.0,#8de5a1,3. primaire,19.970224228523367
74,16,23.0,#e6b6b4,3. primaire,5.221625723212738
75,16,24.0,#e6b6b4,3. primaire,3.272083379837198
76,17,23.0,#ff9f9b,3. primaire,8.852683840457338
77,17,24.0,#ff9f9b,3. primaire,3.1005528888180542
78,18,23.0,#d7ccee,3. primaire,3.2004137982242966
79,18,24.0,#d7ccee,3. primaire,0.8107318580301993
