,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.1953884561563573
1,0,8.0,#b6cadf,1. imp region,0.4148270946888181
2,0,8.0,#cdbcac,1. imp region,0.0802748497187952
3,0,8.0,#d7ccee,1. imp region,0.0870517832170004
4,0,8.0,#e0baa1,1. imp region,0.8533246015990528
5,0,8.0,#e6b6b4,1. imp region,0.05442747370463959
6,1,8.0,#a3cfad,1. imp region,4.733398472323642
7,1,8.0,#b6cadf,1. imp region,2.0689284289200534
8,1,8.0,#cdbcac,1. imp region,2.1950125530773366
9,1,8.0,#d7ccee,1. imp region,0.660956648021273
10,1,8.0,#e0baa1,1. imp region,22.08884744305906
11,1,8.0,#e6b6b4,1. imp region,1.0442858059985647
12,2,8.0,#a3cfad,1. imp region,2.3185875019430275
13,2,8.0,#b6cadf,1. imp region,1.3527492687682448
14,2,8.0,#cdbcac,1. imp region,1.5832740936112617
15,2,8.0,#d7ccee,1. imp region,0.5714383643601301
16,2,8.0,#e0baa1,1. imp region,3.2621253712344744
17,2,8.0,#e6b6b4,1. imp region,0.7833289552953667
18,3,9.0,#8de5a1,1. imp region,15.719942606120862
19,3,9.0,#a1c9f4,1. imp region,7.661116349319825
20,3,9.0,#cfcfcf,1. imp region,8.5749000459299
21,3,9.0,#d0bbff,1. imp region,8.842142048706197
22,3,9.0,#debb9b,1. imp region,4.779529548521505
23,3,9.0,#ff9f9b,1. imp region,4.1266576040153025
24,3,9.0,#ffb482,1. imp region,32.0995821824379
25,4,8.0,#a3cfad,1. imp region,0.3842924284917792
26,4,8.0,#b6cadf,1. imp region,0.16280100954956367
27,4,8.0,#cdbcac,1. imp region,0.7934335828061095
28,4,8.0,#d7ccee,1. imp region,0.24277278243573933
29,4,8.0,#e0baa1,1. imp region,0.8324488302474802
30,4,8.0,#e6b6b4,1. imp region,0.24459359679251308
31,5,8.0,#a3cfad,1. imp region,0.2865359698425391
32,5,8.0,#b6cadf,1. imp region,0.0890431696580961
33,5,8.0,#cdbcac,1. imp region,0.23438978342996855
34,5,8.0,#d7ccee,1. imp region,0.05093296495006692
35,5,8.0,#e0baa1,1. imp region,0.751189319929688
36,5,8.0,#e6b6b4,1. imp region,0.21040340991800444
37,6,8.0,#a3cfad,1. imp region,0.09859262228361823
38,6,8.0,#b6cadf,1. imp region,0.05840077555074112
39,6,8.0,#cdbcac,1. imp region,0.09438442921854043
40,6,8.0,#d7ccee,1. imp region,0.017971829565554834
41,6,8.0,#e0baa1,1. imp region,0.16174672573449891
42,6,8.0,#e6b6b4,1. imp region,0.012039719221501016
43,7,8.0,#a3cfad,1. imp region,0.30220037297204355
44,7,8.0,#b6cadf,1. imp region,0.49016466556842003
45,7,8.0,#cdbcac,1. imp region,0.15466726932518557
46,7,8.0,#d7ccee,1. imp region,0.03020114891456475
47,7,8.0,#e0baa1,1. imp region,0.27037952607588317
48,7,8.0,#e6b6b4,1. imp region,0.02980944827968671
49,8,10.0,#b6cadf,2. imp/dom,4.636914412703933
50,8,12.0,#e0baa1,2. imp/dom,28.22006181788014
51,8,14.0,#a3cfad,2. imp/dom,8.318995824013012
52,8,16.0,#e6b6b4,2. imp/dom,2.378888409210276
53,8,18.0,#d7ccee,2. imp/dom,1.6613255214643285
54,8,20.0,#cdbcac,2. imp/dom,5.135436561187198
55,9,11.0,#a1c9f4,2. imp/dom,7.661116349319825
56,9,13.0,#ffb482,2. imp/dom,32.0995821824379
57,9,15.0,#8de5a1,2. imp/dom,15.719942606120862
58,9,17.0,#ff9f9b,2. imp/dom,4.1266576040153025
59,9,19.0,#d0bbff,2. imp/dom,8.842142048706197
60,9,21.0,#debb9b,2. imp/dom,4.779529548521505
61,9,22.0,#cfcfcf,2. imp/dom,8.5749000459299
62,10,23.0,#b6cadf,3. primaire,4.13043702431704
63,10,24.0,#b6cadf,3. primaire,0.506477388386894
64,11,23.0,#a1c9f4,3. primaire,7.230808243438946
65,11,24.0,#a1c9f4,3. primaire,0.430308105880878
66,12,23.0,#e0baa1,3. primaire,22.53757784022148
67,12,24.0,#e0baa1,3. primaire,5.682483977658672
68,13,23.0,#ffb482,3. primaire,27.966792878597214
69,13,24.0,#ffb482,3. primaire,4.132789303840699
70,14,23.0,#a3cfad,3. primaire,5.335085038085491
71,14,24.0,#a3cfad,3. primaire,2.983910785927517
72,15,23.0,#8de5a1,3. primaire,12.627168386477146
73,15,24.0,#8de5a1,3. primaire,3.0927742196437147
74,16,23.0,#e6b6b4,3. primaire,1.389228113718863
75,16,24.0,#e6b6b4,3. primaire,0.9896602954914139
76,17,23.0,#ff9f9b,3. primaire,2.387450465820888
77,17,24.0,#ff9f9b,3. primaire,1.739207138194412
78,18,23.0,#d7ccee,3. primaire,1.2921143068872072
79,18,24.0,#d7ccee,3. primaire,0.36921121457712225
80,19,23.0,#d0bbff,3. primaire,7.327965953741639
81,19,24.0,#d0bbff,3. primaire,1.514176094964552
82,20,23.0,#cdbcac,3. primaire,4.504124684256351
83,20,24.0,#cdbcac,3. primaire,0.6313118769308483
84,21,23.0,#debb9b,3. primaire,4.375983735983557
85,21,24.0,#debb9b,3. primaire,0.40354581253794597
86,22,25.0,#cfcfcf,3. primaire,8.5749000459299
87,23,26.0,#8de5a1,4. cap/ci,1.283117266714588
88,23,26.0,#a1c9f4,4. cap/ci,0.42939160674973775
