,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,4.423018398673168
1,0,8.0,#b6cadf,1. imp region,13.758886340574218
2,0,8.0,#cdbcac,1. imp region,1.1087781421801477
3,0,8.0,#d7ccee,1. imp region,1.6025824589470197
4,0,8.0,#e0baa1,1. imp region,11.947837826013696
5,0,8.0,#e6b6b4,1. imp region,3.000448750320085
6,1,8.0,#a3cfad,1. imp region,26.068519005285136
7,1,8.0,#b6cadf,1. imp region,11.118025088005478
8,1,8.0,#cdbcac,1. imp region,9.341543581147082
9,1,8.0,#d7ccee,1. imp region,1.8843431796435324
10,1,8.0,#e0baa1,1. imp region,43.006911619755535
11,1,8.0,#e6b6b4,1. imp region,5.860451434350815
12,2,8.0,#a3cfad,1. imp region,21.5365065357624
13,2,8.0,#b6cadf,1. imp region,19.003973447669264
14,2,8.0,#cdbcac,1. imp region,13.847629680959955
15,2,8.0,#d7ccee,1. imp region,5.908620180062818
16,2,8.0,#e0baa1,1. imp region,30.530129903859848
17,2,8.0,#e6b6b4,1. imp region,9.154589174616715
18,3,9.0,#8de5a1,1. imp region,52.85690055832307
19,3,9.0,#a1c9f4,1. imp region,93.24179260016996
20,3,9.0,#cfcfcf,1. imp region,89.73621306759999
21,3,9.0,#d0bbff,1. imp region,25.20902241431896
22,3,9.0,#debb9b,1. imp region,88.61902876073387
23,3,9.0,#ff9f9b,1. imp region,10.690611862673052
24,3,9.0,#ffb482,1. imp region,46.96328180934347
25,4,8.0,#a3cfad,1. imp region,6.42607588465945
26,4,8.0,#b6cadf,1. imp region,1.9296703120166896
27,4,8.0,#cdbcac,1. imp region,4.999298719414114
28,4,8.0,#d7ccee,1. imp region,0.922694413882332
29,4,8.0,#e0baa1,1. imp region,14.67364329810989
30,4,8.0,#e6b6b4,1. imp region,3.656475444523354
31,5,8.0,#a3cfad,1. imp region,3.236529746813672
32,5,8.0,#b6cadf,1. imp region,1.2441128692685872
33,5,8.0,#cdbcac,1. imp region,2.847938678642752
34,5,8.0,#d7ccee,1. imp region,0.44662242201263785
35,5,8.0,#e0baa1,1. imp region,7.58407047882313
36,5,8.0,#e6b6b4,1. imp region,1.3970811874049018
37,6,8.0,#a3cfad,1. imp region,0.2901815789022778
38,6,8.0,#b6cadf,1. imp region,0.577218356435909
39,6,8.0,#cdbcac,1. imp region,0.22399575316011822
40,6,8.0,#d7ccee,1. imp region,0.07973815922796558
41,6,8.0,#e0baa1,1. imp region,0.7428210484388732
42,6,8.0,#e6b6b4,1. imp region,0.07266973762442999
43,7,8.0,#a3cfad,1. imp region,2.3895608532198627
44,7,8.0,#b6cadf,1. imp region,2.778168845841007
45,7,8.0,#cdbcac,1. imp region,0.3771268133413482
46,7,8.0,#d7ccee,1. imp region,0.1379069890698599
47,7,8.0,#e0baa1,1. imp region,2.636906500678336
48,7,8.0,#e6b6b4,1. imp region,0.13923493115324026
49,8,10.0,#b6cadf,2. imp/dom,50.410055259811166
50,8,12.0,#e0baa1,2. imp/dom,111.12232067567928
51,8,14.0,#a3cfad,2. imp/dom,64.37039200331601
52,8,16.0,#e6b6b4,2. imp/dom,23.28095065999354
53,8,18.0,#d7ccee,2. imp/dom,10.982507802846163
54,8,20.0,#cdbcac,2. imp/dom,32.74631136884554
