,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,3.2469224688502414
1,0,8.0,#b6cadf,1. imp region,8.369481854824608
2,0,8.0,#cdbcac,1. imp region,0.49637613426280575
3,0,8.0,#d7ccee,1. imp region,0.6473314165645463
4,0,8.0,#e0baa1,1. imp region,14.438647021870688
5,0,8.0,#e6b6b4,1. imp region,1.318344320666272
6,1,8.0,#a3cfad,1. imp region,29.69981580098602
7,1,8.0,#b6cadf,1. imp region,23.0221616871246
8,1,8.0,#cdbcac,1. imp region,17.512767019517952
9,1,8.0,#d7ccee,1. imp region,3.4533572033386037
10,1,8.0,#e0baa1,1. imp region,63.542977488711244
11,1,8.0,#e6b6b4,1. imp region,10.06582925471892
12,2,8.0,#a3cfad,1. imp region,23.3188867969997
13,2,8.0,#b6cadf,1. imp region,20.727442478495973
14,2,8.0,#cdbcac,1. imp region,12.28865566595777
15,2,8.0,#d7ccee,1. imp region,4.816633645694726
16,2,8.0,#e0baa1,1. imp region,31.123651413556964
17,2,8.0,#e6b6b4,1. imp region,9.47087869810702
18,3,9.0,#8de5a1,1. imp region,90.9312486718194
19,3,9.0,#a1c9f4,1. imp region,63.92547282991104
20,3,9.0,#cfcfcf,1. imp region,175.89112016941039
21,3,9.0,#d0bbff,1. imp region,48.02739081795534
22,3,9.0,#debb9b,1. imp region,57.44278123876811
23,3,9.0,#ff9f9b,1. imp region,27.401834354977844
24,3,9.0,#ffb482,1. imp region,215.30504223192113
25,4,8.0,#a3cfad,1. imp region,5.36553481656927
26,4,8.0,#b6cadf,1. imp region,7.919456995292975
27,4,8.0,#cdbcac,1. imp region,3.9862014933524037
28,4,8.0,#d7ccee,1. imp region,0.8214789607267462
29,4,8.0,#e0baa1,1. imp region,12.232464472666784
30,4,8.0,#e6b6b4,1. imp region,6.260430844561777
31,5,8.0,#a3cfad,1. imp region,6.809684936253645
32,5,8.0,#b6cadf,1. imp region,2.817386680874319
33,5,8.0,#cdbcac,1. imp region,13.182909369197109
34,5,8.0,#d7ccee,1. imp region,1.388746078773122
35,5,8.0,#e0baa1,1. imp region,15.724759982115456
36,5,8.0,#e6b6b4,1. imp region,3.052267540494144
37,6,8.0,#a3cfad,1. imp region,0.9648003331680727
38,6,8.0,#b6cadf,1. imp region,1.8966839398034108
39,6,8.0,#cdbcac,1. imp region,0.41749302874617716
40,6,8.0,#d7ccee,1. imp region,0.17950221993368756
41,6,8.0,#e0baa1,1. imp region,2.7339348309449627
42,6,8.0,#e6b6b4,1. imp region,0.12276585967605302
43,7,8.0,#a3cfad,1. imp region,4.551255833090307
44,7,8.0,#b6cadf,1. imp region,11.755160310689144
45,7,8.0,#cdbcac,1. imp region,1.1572796242362646
46,7,8.0,#d7ccee,1. imp region,0.30033003615428455
47,7,8.0,#e0baa1,1. imp region,4.220624677053385
48,7,8.0,#e6b6b4,1. imp region,0.5065748103786638
49,8,10.0,#b6cadf,2. imp/dom,76.507773947105
50,8,12.0,#e0baa1,2. imp/dom,144.01705988691933
51,8,14.0,#a3cfad,2. imp/dom,73.9569009859173
52,8,16.0,#e6b6b4,2. imp/dom,30.797091328602885
53,8,18.0,#d7ccee,2. imp/dom,11.60737956118571
54,8,20.0,#cdbcac,2. imp/dom,49.0416823352705
55,9,11.0,#a1c9f4,2. imp/dom,63.92547282991104
56,9,13.0,#ffb482,2. imp/dom,215.30504223192113
57,9,15.0,#8de5a1,2. imp/dom,90.9312486718194
58,9,17.0,#ff9f9b,2. imp/dom,27.401834354977844
59,9,19.0,#d0bbff,2. imp/dom,48.02739081795534
60,9,21.0,#debb9b,2. imp/dom,57.44278123876811
61,9,22.0,#cfcfcf,2. imp/dom,175.89112016941039
62,10,23.0,#b6cadf,3. primaire,72.4634437181708
63,10,24.0,#b6cadf,3. primaire,4.044330228934255
