,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.6379450863292916
1,0,8.0,#b6cadf,1. imp region,0.9212694568212696
2,0,8.0,#cdbcac,1. imp region,0.1283405140259725
3,0,8.0,#d7ccee,1. imp region,0.09713569257391512
4,0,8.0,#e0baa1,1. imp region,1.9427963686558742
5,0,8.0,#e6b6b4,1. imp region,0.07667961313729173
6,1,8.0,#a3cfad,1. imp region,5.220132287633673
7,1,8.0,#b6cadf,1. imp region,2.1979369963499202
8,1,8.0,#cdbcac,1. imp region,4.0397931035504
9,1,8.0,#d7ccee,1. imp region,0.4354292956454655
10,1,8.0,#e0baa1,1. imp region,21.751213427384975
11,1,8.0,#e6b6b4,1. imp region,1.116198706463783
12,2,8.0,#a3cfad,1. imp region,5.493188100883123
13,2,8.0,#b6cadf,1. imp region,4.599311634249488
14,2,8.0,#cdbcac,1. imp region,3.300625463035038
15,2,8.0,#d7ccee,1. imp region,0.7489032778107134
16,2,8.0,#e0baa1,1. imp region,4.958484575461054
17,2,8.0,#e6b6b4,1. imp region,1.1810536718428333
18,3,9.0,#8de5a1,1. imp region,15.978964712992866
19,3,9.0,#a1c9f4,1. imp region,12.960517958259674
20,3,9.0,#cfcfcf,1. imp region,22.6793087731362
21,3,9.0,#d0bbff,1. imp region,17.068453257105965
22,3,9.0,#debb9b,1. imp region,71.71596888401135
23,3,9.0,#ff9f9b,1. imp region,5.593813564848421
24,3,9.0,#ffb482,1. imp region,54.90736114111414
25,4,8.0,#a3cfad,1. imp region,1.7117478546882798
26,4,8.0,#b6cadf,1. imp region,0.4541066559741523
27,4,8.0,#cdbcac,1. imp region,1.9301903875900683
28,4,8.0,#d7ccee,1. imp region,0.22038330347946042
29,4,8.0,#e0baa1,1. imp region,4.312489814104589
30,4,8.0,#e6b6b4,1. imp region,0.9560666713070721
31,5,8.0,#a3cfad,1. imp region,0.46935312580078853
32,5,8.0,#b6cadf,1. imp region,0.22133445056571055
33,5,8.0,#cdbcac,1. imp region,0.557918791939459
34,5,8.0,#d7ccee,1. imp region,0.059237966984621776
35,5,8.0,#e0baa1,1. imp region,0.9844723740269266
36,5,8.0,#e6b6b4,1. imp region,0.16934896888033035
37,6,8.0,#a3cfad,1. imp region,0.11198538790187289
38,6,8.0,#b6cadf,1. imp region,0.0638754213608924
39,6,8.0,#cdbcac,1. imp region,0.17513342611090396
40,6,8.0,#d7ccee,1. imp region,0.021774382084494125
41,6,8.0,#e0baa1,1. imp region,0.16786889908648406
42,6,8.0,#e6b6b4,1. imp region,0.01069801165160485
43,7,8.0,#a3cfad,1. imp region,0.5981895216658708
44,7,8.0,#b6cadf,1. imp region,0.7785308239209269
45,7,8.0,#cdbcac,1. imp region,0.30206617168299044
46,7,8.0,#d7ccee,1. imp region,0.03858145842651128
47,7,8.0,#e0baa1,1. imp region,0.47674580306256453
48,7,8.0,#e6b6b4,1. imp region,0.0363996787527366
49,8,10.0,#b6cadf,2. imp/dom,9.23636543924237
50,8,12.0,#e0baa1,2. imp/dom,34.59407126178246
51,8,14.0,#a3cfad,2. imp/dom,14.242541364902905
52,8,16.0,#e6b6b4,2. imp/dom,3.546445322035651
53,8,18.0,#d7ccee,2. imp/dom,1.6214453770051809
54,8,20.0,#cdbcac,2. imp/dom,10.434067857934822
55,9,11.0,#a1c9f4,2. imp/dom,12.960517958259674
56,9,13.0,#ffb482,2. imp/dom,54.90736114111414
57,9,15.0,#8de5a1,2. imp/dom,15.978964712992866
58,9,17.0,#ff9f9b,2. imp/dom,5.593813564848421
59,9,19.0,#d0bbff,2. imp/dom,17.068453257105965
60,9,21.0,#debb9b,2. imp/dom,71.71596888401135
61,9,22.0,#cfcfcf,2. imp/dom,22.6793087731362
62,10,23.0,#b6cadf,3. primaire,8.47899474182151
63,10,24.0,#b6cadf,3. primaire,0.7573706974208488
64,11,23.0,#a1c9f4,3. primaire,12.69349935957495
65,11,24.0,#a1c9f4,3. primaire,0.26701859868471733
66,12,23.0,#e0baa1,3. primaire,28.861542268206
67,12,24.0,#e0baa1,3. primaire,5.7325289935764685
68,13,23.0,#ffb482,3. primaire,49.266924380801534
69,13,24.0,#ffb482,3. primaire,5.640436760312562
70,14,23.0,#a3cfad,3. primaire,9.55031015213637
71,14,24.0,#a3cfad,3. primaire,4.692231212766534
72,15,23.0,#8de5a1,3. primaire,8.076150795620874
73,15,24.0,#8de5a1,3. primaire,7.9028139173719865
74,16,23.0,#e6b6b4,3. primaire,2.19436436788457
75,16,24.0,#e6b6b4,3. primaire,1.3520809541510812
76,17,23.0,#ff9f9b,3. primaire,2.9197490845445384
77,17,24.0,#ff9f9b,3. primaire,2.6740644803038927
78,18,23.0,#d7ccee,3. primaire,1.212449326600983
79,18,24.0,#d7ccee,3. primaire,0.4089960504041988
80,19,23.0,#d0bbff,3. primaire,16.305274243941685
81,19,24.0,#d0bbff,3. primaire,0.7631790131642758
82,20,23.0,#cdbcac,3. primaire,9.493508205256202
83,20,24.0,#cdbcac,3. primaire,0.9405596526786315
84,21,23.0,#debb9b,3. primaire,69.52512481423459
85,21,24.0,#debb9b,3. primaire,2.1908440697767424
86,22,25.0,#cfcfcf,3. primaire,22.6793087731362
87,23,26.0,#8de5a1,4. cap/ci,0.6680550423467884
88,23,26.0,#a1c9f4,4. cap/ci,0.11538553112513017
89,23,26.0,#a3cfad,4. cap/ci,2.2371597832600414
90,23,26.0,#b6cadf,4. cap/ci,0.3479912301364801
91,23,26.0,#cdbcac,4. cap/ci,0.7641109787652446
92,23,26.0,#d0bbff,4. cap/ci,0.8978194480636914
93,23,26.0,#d7ccee,4. cap/ci,0.18959883152044119
94,23,26.0,#debb9b,4. cap/ci,3.4438090540061985
95,23,26.0,#e0baa1,4. cap/ci,1.4929769969675222
96,23,26.0,#e6b6b4,4. cap/ci,0.167053744703573
97,23,26.0,#ff9f9b,4. cap/ci,0.10369537624222913
98,23,26.0,#ffb482,4. cap/ci,2.419748602548573
99,23,27.0,#8de5a1,4. cap/ci,4.069674621573737
100,23,27.0,#a1c9f4,4. cap/ci,9.73533597553147
101,23,27.0,#a3cfad,4. cap/ci,5.972786110076573
102,23,27.0,#b6cadf,4. cap/ci,7.794341966572544
