,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.09470526259362758
1,0,8.0,#b6cadf,1. imp region,0.17529704005631047
2,0,8.0,#cdbcac,1. imp region,0.026653260994661965
3,0,8.0,#d7ccee,1. imp region,0.02908411739813166
4,0,8.0,#e0baa1,1. imp region,0.35403810012919307
5,0,8.0,#e6b6b4,1. imp region,0.022417253498928577
6,1,8.0,#a3cfad,1. imp region,0.7400672035235246
7,1,8.0,#b6cadf,1. imp region,0.3582091134231195
8,1,8.0,#cdbcac,1. imp region,0.41607190067847943
9,1,8.0,#d7ccee,1. imp region,0.07351607645238899
10,1,8.0,#e0baa1,1. imp region,6.226782869862902
11,1,8.0,#e6b6b4,1. imp region,0.1607026010664728
12,2,8.0,#a3cfad,1. imp region,1.7989500304270787
13,2,8.0,#b6cadf,1. imp region,0.8923629730689903
14,2,8.0,#cdbcac,1. imp region,0.41308987430694966
15,2,8.0,#d7ccee,1. imp region,0.19968650236549926
16,2,8.0,#e0baa1,1. imp region,1.6903703453417094
17,2,8.0,#e6b6b4,1. imp region,0.5087549302716499
18,3,9.0,#8de5a1,1. imp region,4.308976097782957
19,3,9.0,#a1c9f4,1. imp region,4.133549356822018
20,3,9.0,#cfcfcf,1. imp region,5.6065238330780005
21,3,9.0,#d0bbff,1. imp region,1.078593875329506
22,3,9.0,#debb9b,1. imp region,2.0588826595636927
23,3,9.0,#ff9f9b,1. imp region,1.3724990014734693
24,3,9.0,#ffb482,1. imp region,8.012622860171211
25,4,8.0,#a3cfad,1. imp region,0.1912264042098213
26,4,8.0,#b6cadf,1. imp region,0.047345000414564575
27,4,8.0,#cdbcac,1. imp region,0.10576367387199324
28,4,8.0,#d7ccee,1. imp region,0.029441881440851397
29,4,8.0,#e0baa1,1. imp region,0.48380645456323973
30,4,8.0,#e6b6b4,1. imp region,0.06705351186804825
31,5,8.0,#a3cfad,1. imp region,0.06051116930692823
32,5,8.0,#b6cadf,1. imp region,0.024904536589826904
33,5,8.0,#cdbcac,1. imp region,0.043559454200500426
34,5,8.0,#d7ccee,1. imp region,0.010284126832270328
35,5,8.0,#e0baa1,1. imp region,0.12023269392383286
36,5,8.0,#e6b6b4,1. imp region,0.023132253869917005
37,6,8.0,#a3cfad,1. imp region,0.03491921379879404
38,6,8.0,#b6cadf,1. imp region,0.051229905277266036
39,6,8.0,#cdbcac,1. imp region,0.011110202882882983
40,6,8.0,#d7ccee,1. imp region,0.0032743469811609438
41,6,8.0,#e0baa1,1. imp region,0.035907241352448695
42,6,8.0,#e6b6b4,1. imp region,0.001731658162232135
43,7,8.0,#a3cfad,1. imp region,0.09301498730889812
44,7,8.0,#b6cadf,1. imp region,0.12207208529628379
45,7,8.0,#cdbcac,1. imp region,0.034239011567137274
46,7,8.0,#d7ccee,1. imp region,0.008183400048370896
47,7,8.0,#e0baa1,1. imp region,0.07737823782962067
48,7,8.0,#e6b6b4,1. imp region,0.008748815446423714
49,8,10.0,#b6cadf,2. imp/dom,1.6714206541263616
50,8,12.0,#e0baa1,2. imp/dom,8.988515943002945
51,8,14.0,#a3cfad,2. imp/dom,3.013394271168671
