,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.12896907910419825
1,0,8.0,#b6cadf,1. imp region,0.26146772294219134
2,0,8.0,#cdbcac,1. imp region,0.07152759106764836
3,0,8.0,#d7ccee,1. imp region,0.05815704971109559
4,0,8.0,#e0baa1,1. imp region,0.3120381094742263
5,0,8.0,#e6b6b4,1. imp region,0.034155728224786235
6,1,8.0,#a3cfad,1. imp region,2.5012665268439824
7,1,8.0,#b6cadf,1. imp region,0.8802149827063647
8,1,8.0,#cdbcac,1. imp region,1.248381388745537
9,1,8.0,#d7ccee,1. imp region,0.41396013606214677
10,1,8.0,#e0baa1,1. imp region,14.174848618927076
11,1,8.0,#e6b6b4,1. imp region,0.44666361345498384
12,2,8.0,#a3cfad,1. imp region,2.3067014817699274
13,2,8.0,#b6cadf,1. imp region,1.8605370585983985
14,2,8.0,#cdbcac,1. imp region,0.9329444843378298
15,2,8.0,#d7ccee,1. imp region,0.5570881159169339
16,2,8.0,#e0baa1,1. imp region,3.5381730489990586
17,2,8.0,#e6b6b4,1. imp region,0.7571728699904068
18,3,9.0,#8de5a1,1. imp region,7.922661850772164
19,3,9.0,#a1c9f4,1. imp region,10.030847978070565
20,3,9.0,#cfcfcf,1. imp region,16.642771869974293
21,3,9.0,#d0bbff,1. imp region,5.184985756658448
22,3,9.0,#debb9b,1. imp region,1.2001664118997815
23,3,9.0,#ff9f9b,1. imp region,3.459905472026499
24,3,9.0,#ffb482,1. imp region,14.535739223385015
25,4,8.0,#a3cfad,1. imp region,0.40780614498820417
26,4,8.0,#b6cadf,1. imp region,0.12361331626961748
27,4,8.0,#cdbcac,1. imp region,0.34501834949642723
28,4,8.0,#d7ccee,1. imp region,0.10293478365226397
29,4,8.0,#e0baa1,1. imp region,0.7038560339042071
30,4,8.0,#e6b6b4,1. imp region,0.1907909806714743
31,5,8.0,#a3cfad,1. imp region,0.17971825476929737
32,5,8.0,#b6cadf,1. imp region,0.07125242788700853
33,5,8.0,#cdbcac,1. imp region,0.19047595289706917
34,5,8.0,#d7ccee,1. imp region,0.033094403084869745
35,5,8.0,#e0baa1,1. imp region,0.5439231210316061
36,5,8.0,#e6b6b4,1. imp region,0.04974882478505328
37,6,8.0,#a3cfad,1. imp region,0.02732284874656772
38,6,8.0,#b6cadf,1. imp region,0.04377500996820229
39,6,8.0,#cdbcac,1. imp region,0.027191907005342755
40,6,8.0,#d7ccee,1. imp region,0.015221550018237823
41,6,8.0,#e0baa1,1. imp region,0.0642760574387421
42,6,8.0,#e6b6b4,1. imp region,0.006522696764357016
43,7,8.0,#a3cfad,1. imp region,0.18192630242282418
44,7,8.0,#b6cadf,1. imp region,0.13862028114728533
45,7,8.0,#cdbcac,1. imp region,0.050863611638831484
46,7,8.0,#d7ccee,1. imp region,0.01766398956856842
47,7,8.0,#e0baa1,1. imp region,0.2691542251040094
48,7,8.0,#e6b6b4,1. imp region,0.02350104677089388
49,8,10.0,#b6cadf,2. imp/dom,3.3794807995190665
50,8,12.0,#e0baa1,2. imp/dom,19.606269214878935
51,8,14.0,#a3cfad,2. imp/dom,5.733710638644997
52,8,16.0,#e6b6b4,2. imp/dom,1.5085557606619566
53,8,18.0,#d7ccee,2. imp/dom,1.198120028014115
54,8,20.0,#cdbcac,2. imp/dom,2.866403285188688
55,9,11.0,#a1c9f4,2. imp/dom,10.030847978070565
56,9,13.0,#ffb482,2. imp/dom,14.535739223385015
57,9,15.0,#8de5a1,2. imp/dom,7.922661850772164
58,9,17.0,#ff9f9b,2. imp/dom,3.459905472026499
59,9,19.0,#d0bbff,2. imp/dom,5.184985756658448
60,9,21.0,#debb9b,2. imp/dom,1.2001664118997815
61,9,22.0,#cfcfcf,2. imp/dom,16.642771869974293
62,10,23.0,#b6cadf,3. primaire,3.062482122320508
63,10,24.0,#b6cadf,3. primaire,0.31699867719856006
64,11,23.0,#a1c9f4,3. primaire,9.295132399248601
65,11,24.0,#a1c9f4,3. primaire,0.7357155788219616
66,12,23.0,#e0baa1,3. primaire,16.437511459676827
67,12,24.0,#e0baa1,3. primaire,3.1687577552021096
68,13,23.0,#ffb482,3. primaire,13.099327304827934
69,13,24.0,#ffb482,3. primaire,1.4364119185570723
70,14,23.0,#a3cfad,3. primaire,3.763031260917894
71,14,24.0,#a3cfad,3. primaire,1.9706793777271085
72,15,23.0,#8de5a1,3. primaire,6.130634040425839
73,15,24.0,#8de5a1,3. primaire,1.7920278103463223
74,16,23.0,#e6b6b4,3. primaire,0.856500194917849
75,16,24.0,#e6b6b4,3. primaire,0.6520555657441058
76,17,23.0,#ff9f9b,3. primaire,1.7057435676943575
77,17,24.0,#ff9f9b,3. primaire,1.75416190433214
78,18,23.0,#d7ccee,3. primaire,0.9506892016974001
79,18,24.0,#d7ccee,3. primaire,0.24743082631671587
80,19,23.0,#d0bbff,3. primaire,4.515126070848188
81,19,24.0,#d0bbff,3. primaire,0.6698596858102629
82,20,23.0,#cdbcac,3. primaire,2.5057288429144777
83,20,24.0,#cdbcac,3. primaire,0.3606744422742084
84,21,23.0,#debb9b,3. primaire,1.1006419950868913
85,21,24.0,#debb9b,3. primaire,0.09952441681289025
86,22,25.0,#cfcfcf,3. primaire,16.642771869974293
87,23,26.0,#8de5a1,4. cap/ci,0.6206501491424418
88,23,26.0,#a1c9f4,4. cap/ci,0.10634755008827076
89,23,26.0,#a3cfad,4. cap/ci,0.680266627458153
90,23,26.0,#b6cadf,4. cap/ci,0.2355930303774655
91,23,26.0,#cdbcac,4. cap/ci,0.5090637718518429
92,23,26.0,#d0bbff,4. cap/ci,1.2558112458623134
93,23,26.0,#d7ccee,4. cap/ci,0.20066093022578188
94,23,26.0,#debb9b,4. cap/ci,0.07865037792941289
95,23,26.0,#e0baa1,4. cap/ci,3.807854195209183
96,23,26.0,#e6b6b4,4. cap/ci,0.09881607455323937
97,23,26.0,#ff9f9b,4. cap/ci,0.09795573246225425
98,23,26.0,#ffb482,4. cap/ci,1.1136409325863186
99,23,27.0,#8de5a1,4. cap/ci,2.7806268280825694
100,23,27.0,#a1c9f4,4. cap/ci,4.432610172307997
101,23,27.0,#a3cfad,4. cap/ci,2.4937251897536385
102,23,27.0,#b6cadf,4. cap/ci,2.724470606704726
103,23,27.0,#cdbcac,4. cap/ci,1.8521145600034532
104,23,27.0,#d0bbff,4. cap/ci,2.111760626339373
105,23,27.0,#d7ccee,4. cap/ci,0.6937700924192172
106,23,27.0,#debb9b,4. cap/ci,0.3568923860207605
107,23,27.0,#e0baa1,4. cap/ci,11.094916083780541
108,23,27.0,#e6b6b4,4. cap/ci,0.6824111279271442
109,23,27.0,#ff9f9b,4. cap/ci,0.6474722690784855
110,23,27.0,#ffb482,4. cap/ci,8.593005047670715
111,23,28.0,#8de5a1,4. cap/ci,0.3145828400096209
