,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.4713039715229382
1,0,8.0,#b6cadf,1. imp region,0.7380729052573113
2,0,8.0,#cdbcac,1. imp region,0.08387613860814286
3,0,8.0,#d7ccee,1. imp region,0.0829044980350698
4,0,8.0,#e0baa1,1. imp region,1.8191348010429074
5,0,8.0,#e6b6b4,1. imp region,0.09330011461244513
6,1,8.0,#a3cfad,1. imp region,22.2453852748257
7,1,8.0,#b6cadf,1. imp region,15.309589698299572
8,1,8.0,#cdbcac,1. imp region,2.094266118342234
9,1,8.0,#d7ccee,1. imp region,1.038758940502232
10,1,8.0,#e0baa1,1. imp region,35.81868078779451
11,1,8.0,#e6b6b4,1. imp region,3.516011185769116
12,2,8.0,#a3cfad,1. imp region,1.5543779813854004
13,2,8.0,#b6cadf,1. imp region,1.240377498396489
14,2,8.0,#cdbcac,1. imp region,1.6383809546174821
15,2,8.0,#d7ccee,1. imp region,0.548172511891879
16,2,8.0,#e0baa1,1. imp region,1.5833737100594139
17,2,8.0,#e6b6b4,1. imp region,0.4686117441849423
18,3,9.0,#8de5a1,1. imp region,126.42695668040645
19,3,9.0,#a1c9f4,1. imp region,200.7097034039217
20,3,9.0,#cfcfcf,1. imp region,81.24144393222039
21,3,9.0,#d0bbff,1. imp region,48.11417250408166
22,3,9.0,#debb9b,1. imp region,32.56998478074636
23,3,9.0,#ff9f9b,1. imp region,20.32713443097435
24,3,9.0,#ffb482,1. imp region,253.2456146275795
25,4,8.0,#a3cfad,1. imp region,2.8729830404900594
26,4,8.0,#b6cadf,1. imp region,0.5515431489125573
27,4,8.0,#cdbcac,1. imp region,1.0360806161847405
28,4,8.0,#d7ccee,1. imp region,0.21899650519714609
29,4,8.0,#e0baa1,1. imp region,8.87641528568571
30,4,8.0,#e6b6b4,1. imp region,0.5480993257213498
31,5,8.0,#a3cfad,1. imp region,0.6511173084772965
32,5,8.0,#b6cadf,1. imp region,1.295934099815478
33,5,8.0,#cdbcac,1. imp region,0.370771465456205
34,5,8.0,#d7ccee,1. imp region,0.09409194257990569
35,5,8.0,#e0baa1,1. imp region,1.130396682297996
36,5,8.0,#e6b6b4,1. imp region,0.21936533481559553
37,6,8.0,#a3cfad,1. imp region,0.3598249946142882
38,6,8.0,#b6cadf,1. imp region,7.760732667350155
39,6,8.0,#cdbcac,1. imp region,0.10783779416174752
40,6,8.0,#d7ccee,1. imp region,0.07503964004458522
41,6,8.0,#e0baa1,1. imp region,1.1315007487532975
42,6,8.0,#e6b6b4,1. imp region,0.0761675255852057
43,7,8.0,#a3cfad,1. imp region,0.6721370923099336
44,7,8.0,#b6cadf,1. imp region,1.6719662504216792
45,7,8.0,#cdbcac,1. imp region,0.11131081147166283
46,7,8.0,#d7ccee,1. imp region,0.04192394034592066
47,7,8.0,#e0baa1,1. imp region,0.7335844142737777
48,7,8.0,#e6b6b4,1. imp region,0.03691008817977921
49,8,10.0,#b6cadf,2. imp/dom,28.568216268453252
50,8,12.0,#e0baa1,2. imp/dom,51.09308642990757
51,8,14.0,#a3cfad,2. imp/dom,28.827129663625623
52,8,16.0,#e6b6b4,2. imp/dom,4.958465318868435
53,8,18.0,#d7ccee,2. imp/dom,2.0998879785967364
54,8,20.0,#cdbcac,2. imp/dom,5.442523898842215
55,9,11.0,#a1c9f4,2. imp/dom,200.7097034039217
56,9,13.0,#ffb482,2. imp/dom,253.2456146275795
57,9,15.0,#8de5a1,2. imp/dom,126.42695668040645
58,9,17.0,#ff9f9b,2. imp/dom,20.32713443097435
59,9,19.0,#d0bbff,2. imp/dom,48.11417250408166
60,9,21.0,#debb9b,2. imp/dom,32.56998478074636
61,9,22.0,#cfcfcf,2. imp/dom,81.24144393222039
62,10,23.0,#b6cadf,3. primaire,26.661861868961832
63,10,24.0,#b6cadf,3. primaire,1.906354399491412
64,11,23.0,#a1c9f4,3. primaire,198.5163738660381
65,11,24.0,#a1c9f4,3. primaire,2.1933295378837276
66,12,23.0,#e0baa1,3. primaire,39.200292991526226
67,12,24.0,#e0baa1,3. primaire,11.892793438381368
68,13,23.0,#ffb482,3. primaire,218.14167851782034
69,13,24.0,#ffb482,3. primaire,35.10393610975908
70,14,23.0,#a3cfad,3. primaire,17.72351216314937
71,14,24.0,#a3cfad,3. primaire,11.103617500476242
72,15,23.0,#8de5a1,3. primaire,97.32947848635939
73,15,24.0,#8de5a1,3. primaire,29.097478194046953
74,16,23.0,#e6b6b4,3. primaire,2.658540829661163
75,16,24.0,#e6b6b4,3. primaire,2.299924489207269
76,17,23.0,#ff9f9b,3. primaire,18.66821754347774
77,17,24.0,#ff9f9b,3. primaire,1.6589168874966291
78,18,23.0,#d7ccee,3. primaire,1.5215168836513226
79,18,24.0,#d7ccee,3. primaire,0.5783710949454137
80,19,23.0,#d0bbff,3. primaire,43.51954070031995
81,19,24.0,#d0bbff,3. primaire,4.5946318037616924
82,20,23.0,#cdbcac,3. primaire,4.147864057293231
83,20,24.0,#cdbcac,3. primaire,1.2946598415489834
84,21,23.0,#debb9b,3. primaire,27.800503966810677
85,21,24.0,#debb9b,3. primaire,4.769480813935689
86,22,25.0,#cfcfcf,3. primaire,81.24144393222039
87,23,26.0,#8de5a1,4. cap/ci,38.18326444499932
88,23,26.0,#a1c9f4,4. cap/ci,8.705947753528244
89,23,26.0,#a3cfad,4. cap/ci,1.8880239965366723
90,23,26.0,#b6cadf,4. cap/ci,1.279471385474741
91,23,26.0,#cdbcac,4. cap/ci,1.086830242782407
92,23,26.0,#d0bbff,4. cap/ci,3.412366809544085
93,23,26.0,#d7ccee,4. cap/ci,0.2148105592959988
94,23,26.0,#debb9b,4. cap/ci,6.329036771945121
95,23,26.0,#e0baa1,4. cap/ci,3.3701296998981394
96,23,26.0,#e6b6b4,4. cap/ci,0.23016462572424182
97,23,26.0,#ff9f9b,4. cap/ci,0.46738041082548276
98,23,26.0,#ffb482,4. cap/ci,9.15928591202315
99,23,27.0,#8de5a1,4. cap/ci,39.22127945573433
100,23,27.0,#a1c9f4,4. cap/ci,163.24415662792086
101,23,27.0,#a3cfad,4. cap/ci,13.778854767121189
102,23,27.0,#b6cadf,4. cap/ci,24.426942802830368
103,23,27.0,#cdbcac,4. cap/ci,2.7869295347917933
104,23,27.0,#d0bbff,4. cap/ci,33.63255299189616
105,23,27.0,#d7ccee,4. cap/ci,1.212609465104101
106,23,27.0,#debb9b,4. cap/ci,16.546009328713758
107,23,27.0,#e0baa1,4. cap/ci,31.725180352561427
108,23,27.0,#e6b6b4,4. cap/ci,1.9216575045322404
109,23,27.0,#ff9f9b,4. cap/ci,7.911675846157983
110,23,27.0,#ffb482,4. cap/ci,98.43680484988317
111,23,28.0,#8de5a1,4. cap/ci,2.204210972501159
112,23,28.0,#a1c9f4,4. cap/ci,7.574709061779881
113,23,28.0,#a3cfad,4. cap/ci,2.056633399491512
114,23,28.0,#b6cadf,4. cap/ci,0.9554476806567175
115,23,28.0,#cdbcac,4. cap/ci,0.27410427971903073
116,23,28.0,#d0bbff,4. cap/ci,0.7032799056281824
117,23,28.0,#d7ccee,4. cap/ci,0.0940968592512239
118,23,28.0,#debb9b,4. cap/ci,0.711614985278858
119,23,28.0,#e0baa1,4. cap/ci,4.104982939066673
120,23,28.0,#e6b6b4,4. cap/ci,0.5067186994046812
121,23,28.0,#ff9f9b,4. cap/ci,2.0285209994304743
122,23,28.0,#ffb482,4. cap/ci,29.798245118560594
123,23,29.0,#8de5a1,4. cap/ci,17.720723613124512
124,23,29.0,#a1c9f4,4. cap/ci,18.991560422809002
125,23,29.0,#d0bbff,4. cap/ci,5.771340993251522
126,23,29.0,#debb9b,4. cap/ci,4.2138428808729325
127,23,29.0,#ff9f9b,4. cap/ci,8.260640287063799
128,23,29.0,#ffb482,4. cap/ci,80.74734263735333
129,24,26.0,#8de5a1,4. cap/ci,3.599888979046045
130,24,26.0,#a1c9f4,4. cap/ci,0.13163971957335774
131,24,26.0,#a3cfad,4. cap/ci,1.5978226945709146
132,24,26.0,#b6cadf,4. cap/ci,0.24644025876759434
133,24,26.0,#cdbcac,4. cap/ci,0.18870794690843964
134,24,26.0,#d0bbff,4. cap/ci,0.5142133309317585
135,24,26.0,#d7ccee,4. cap/ci,0.07612911637866229
136,24,26.0,#debb9b,4. cap/ci,0.557696744365623
137,24,26.0,#e0baa1,4. cap/ci,1.696770278124043
138,24,26.0,#e6b6b4,4. cap/ci,0.2822041829882086
139,24,26.0,#ff9f9b,4. cap/ci,0.12200008071928956
140,24,26.0,#ffb482,4. cap/ci,1.8396105556088331
141,24,27.0,#8de5a1,4. cap/ci,16.229964246284126
142,24,27.0,#a1c9f4,4. cap/ci,0.622588543343837
143,24,27.0,#a3cfad,4. cap/ci,8.921945978470548
144,24,27.0,#b6cadf,4. cap/ci,1.556704777842412
145,24,27.0,#cdbcac,4. cap/ci,1.042068885618661
146,24,27.0,#d0bbff,4. cap/ci,2.398709748227285
147,24,27.0,#d7ccee,4. cap/ci,0.4692052868308348
148,24,27.0,#debb9b,4. cap/ci,2.608318642127019
149,24,27.0,#e0baa1,4. cap/ci,9.583032954584176
150,24,27.0,#e6b6b4,4. cap/ci,1.8764868792074016
151,24,27.0,#ff9f9b,4. cap/ci,0.6687534517600486
152,24,27.0,#ffb482,4. cap/ci,8.585111639762504
153,24,28.0,#8de5a1,4. cap/ci,0.5844037031080593
154,24,28.0,#a1c9f4,4. cap/ci,0.02296117412243345
155,24,28.0,#a3cfad,4. cap/ci,0.5838488274347822
156,24,28.0,#b6cadf,4. cap/ci,0.10320936288140557
