,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.29128277435895217
1,0,8.0,#b6cadf,1. imp region,0.4301773992684906
2,0,8.0,#cdbcac,1. imp region,0.04860833696793657
3,0,8.0,#d7ccee,1. imp region,0.07203677379293062
4,0,8.0,#e0baa1,1. imp region,0.5401180821272045
5,0,8.0,#e6b6b4,1. imp region,0.05091447524430302
6,1,8.0,#a3cfad,1. imp region,2.5930871009704184
7,1,8.0,#b6cadf,1. imp region,1.1256527006410941
8,1,8.0,#cdbcac,1. imp region,1.5883966773362719
9,1,8.0,#d7ccee,1. imp region,0.4368303430328376
10,1,8.0,#e0baa1,1. imp region,10.1341203086128
11,1,8.0,#e6b6b4,1. imp region,0.6027304682564786
12,2,8.0,#a3cfad,1. imp region,2.1792352802071893
13,2,8.0,#b6cadf,1. imp region,2.2813461893652147
14,2,8.0,#cdbcac,1. imp region,0.9509563160674065
15,2,8.0,#d7ccee,1. imp region,0.5407459737102563
16,2,8.0,#e0baa1,1. imp region,3.6491719964987377
17,2,8.0,#e6b6b4,1. imp region,0.8286390005255605
18,3,9.0,#8de5a1,1. imp region,4.268131636803804
19,3,9.0,#a1c9f4,1. imp region,25.621589682657756
20,3,9.0,#cfcfcf,1. imp region,11.391017653362535
21,3,9.0,#d0bbff,1. imp region,2.8321319946878316
22,3,9.0,#debb9b,1. imp region,3.412312924383292
23,3,9.0,#ff9f9b,1. imp region,1.1236756718623144
24,3,9.0,#ffb482,1. imp region,14.35682581041793
25,4,8.0,#a3cfad,1. imp region,0.5146920138337397
26,4,8.0,#b6cadf,1. imp region,0.19896789769512957
27,4,8.0,#cdbcac,1. imp region,0.35687450808896876
28,4,8.0,#d7ccee,1. imp region,0.07830897465181183
29,4,8.0,#e0baa1,1. imp region,0.5431546003713899
30,4,8.0,#e6b6b4,1. imp region,0.20087559408698027
31,5,8.0,#a3cfad,1. imp region,0.6322115748416159
32,5,8.0,#b6cadf,1. imp region,0.28385939114140607
33,5,8.0,#cdbcac,1. imp region,0.23415396377025954
34,5,8.0,#d7ccee,1. imp region,0.12311476670928945
35,5,8.0,#e0baa1,1. imp region,1.394360486873922
36,5,8.0,#e6b6b4,1. imp region,0.1952977921734011
37,6,8.0,#a3cfad,1. imp region,0.0651324917965414
38,6,8.0,#b6cadf,1. imp region,0.11913259597430988
39,6,8.0,#cdbcac,1. imp region,0.0281591522153612
40,6,8.0,#d7ccee,1. imp region,0.00788529361758028
41,6,8.0,#e0baa1,1. imp region,0.13467178148438502
42,6,8.0,#e6b6b4,1. imp region,0.009694658063916424
43,7,8.0,#a3cfad,1. imp region,0.28491398424961545
44,7,8.0,#b6cadf,1. imp region,0.21621989677874484
45,7,8.0,#cdbcac,1. imp region,0.09004599438292017
46,7,8.0,#d7ccee,1. imp region,0.01836843041394001
47,7,8.0,#e0baa1,1. imp region,0.31296774540170813
48,7,8.0,#e6b6b4,1. imp region,0.02748514399563847
49,8,10.0,#b6cadf,2. imp/dom,4.655356070864389
50,8,12.0,#e0baa1,2. imp/dom,16.70856500137015
51,8,14.0,#a3cfad,2. imp/dom,6.560555220258076
52,8,16.0,#e6b6b4,2. imp/dom,1.915637132346277
53,8,18.0,#d7ccee,2. imp/dom,1.2772905559286454
54,8,20.0,#cdbcac,2. imp/dom,3.2971949488291274
55,9,11.0,#a1c9f4,2. imp/dom,25.621589682657756
56,9,13.0,#ffb482,2. imp/dom,14.35682581041793
57,9,15.0,#8de5a1,2. imp/dom,4.268131636803804
58,9,17.0,#ff9f9b,2. imp/dom,1.1236756718623144
59,9,19.0,#d0bbff,2. imp/dom,2.8321319946878316
60,9,21.0,#debb9b,2. imp/dom,3.412312924383292
61,9,22.0,#cfcfcf,2. imp/dom,11.391017653362535
62,10,23.0,#b6cadf,3. primaire,4.3881824158271945
63,10,24.0,#b6cadf,3. primaire,0.2671736550371956
64,11,23.0,#a1c9f4,3. primaire,25.284673046584338
65,11,24.0,#a1c9f4,3. primaire,0.33691663607341493
66,12,23.0,#e0baa1,3. primaire,14.755584373439762
67,12,24.0,#e0baa1,3. primaire,1.9529806279303925
68,13,23.0,#ffb482,3. primaire,13.300773207138242
69,13,24.0,#ffb482,3. primaire,1.0560526032796942
70,14,23.0,#a3cfad,3. primaire,4.9916993207916605
71,14,24.0,#a3cfad,3. primaire,1.568855899466412
72,15,23.0,#8de5a1,3. primaire,3.4387561288781936
73,15,24.0,#8de5a1,3. primaire,0.8293755079256111
74,16,23.0,#e6b6b4,3. primaire,1.1360088507584798
75,16,24.0,#e6b6b4,3. primaire,0.7796282815877978
76,17,23.0,#ff9f9b,3. primaire,0.758880519029853
77,17,24.0,#ff9f9b,3. primaire,0.3647951528324613
78,18,23.0,#d7ccee,3. primaire,1.1099513553298346
79,18,24.0,#d7ccee,3. primaire,0.16733920059881124
80,19,23.0,#d0bbff,3. primaire,2.7120180790099404
81,19,24.0,#d0bbff,3. primaire,0.12011391567789122
82,20,23.0,#cdbcac,3. primaire,3.0507755958065106
83,20,24.0,#cdbcac,3. primaire,0.2464193530226146
