,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,1.5410426152064471
1,0,8.0,#b6cadf,1. imp region,2.450135955374386
2,0,8.0,#cdbcac,1. imp region,0.2766377154833282
3,0,8.0,#d7ccee,1. imp region,0.1803547112663934
4,0,8.0,#e0baa1,1. imp region,4.28170045307046
5,0,8.0,#e6b6b4,1. imp region,0.17767623832891627
6,1,8.0,#a3cfad,1. imp region,23.810367340217766
7,1,8.0,#b6cadf,1. imp region,11.481982498347831
8,1,8.0,#cdbcac,1. imp region,3.5988437180686823
9,1,8.0,#d7ccee,1. imp region,1.33464243591786
10,1,8.0,#e0baa1,1. imp region,32.21593414797051
11,1,8.0,#e6b6b4,1. imp region,3.5635890270628434
12,2,8.0,#a3cfad,1. imp region,4.226434308153998
13,2,8.0,#b6cadf,1. imp region,1.3552817921528726
14,2,8.0,#cdbcac,1. imp region,2.329020324317857
15,2,8.0,#d7ccee,1. imp region,0.9167386188747959
16,2,8.0,#e0baa1,1. imp region,3.344329022681523
17,2,8.0,#e6b6b4,1. imp region,0.7410901954869902
18,3,9.0,#8de5a1,1. imp region,254.32701062292642
19,3,9.0,#a1c9f4,1. imp region,689.3690226158546
20,3,9.0,#cfcfcf,1. imp region,188.35799296429997
21,3,9.0,#d0bbff,1. imp region,22.631215647513038
22,3,9.0,#debb9b,1. imp region,27.037894539050736
23,3,9.0,#ff9f9b,1. imp region,36.048004132381706
24,3,9.0,#ffb482,1. imp region,498.2328172646282
25,4,8.0,#a3cfad,1. imp region,5.871366517429803
26,4,8.0,#b6cadf,1. imp region,1.6068019904126356
27,4,8.0,#cdbcac,1. imp region,1.3944755583934445
28,4,8.0,#d7ccee,1. imp region,0.6716003685810027
29,4,8.0,#e0baa1,1. imp region,7.697608606127742
30,4,8.0,#e6b6b4,1. imp region,1.5049417096294369
31,5,8.0,#a3cfad,1. imp region,1.4283149202582244
32,5,8.0,#b6cadf,1. imp region,0.7549928133229707
33,5,8.0,#cdbcac,1. imp region,0.5773637100892551
34,5,8.0,#d7ccee,1. imp region,0.16720626098896096
35,5,8.0,#e0baa1,1. imp region,3.3704356711459544
36,5,8.0,#e6b6b4,1. imp region,0.2946518327188068
37,6,8.0,#a3cfad,1. imp region,0.6237991436495574
38,6,8.0,#b6cadf,1. imp region,1.3194033769335067
39,6,8.0,#cdbcac,1. imp region,0.20926492495251472
40,6,8.0,#d7ccee,1. imp region,0.06588721323525096
41,6,8.0,#e0baa1,1. imp region,2.883782768855433
42,6,8.0,#e6b6b4,1. imp region,0.09095796063683843
43,7,8.0,#a3cfad,1. imp region,1.2519118100041222
44,7,8.0,#b6cadf,1. imp region,2.1386455957514148
45,7,8.0,#cdbcac,1. imp region,0.35885647722258807
46,7,8.0,#d7ccee,1. imp region,0.09562412806037804
47,7,8.0,#e0baa1,1. imp region,1.36341429891978
48,7,8.0,#e6b6b4,1. imp region,0.10043195747028563
49,8,10.0,#b6cadf,2. imp/dom,21.107244022295628
50,8,12.0,#e0baa1,2. imp/dom,55.157204968771445
51,8,14.0,#a3cfad,2. imp/dom,38.75323665491991
52,8,16.0,#e6b6b4,2. imp/dom,6.473338921334122
53,8,18.0,#d7ccee,2. imp/dom,3.4320537369246416
54,8,20.0,#cdbcac,2. imp/dom,8.744462428527669
55,9,11.0,#a1c9f4,2. imp/dom,689.3690226158546
56,9,13.0,#ffb482,2. imp/dom,498.2328172646282
57,9,15.0,#8de5a1,2. imp/dom,254.32701062292642
58,9,17.0,#ff9f9b,2. imp/dom,36.048004132381706
59,9,19.0,#d0bbff,2. imp/dom,22.631215647513038
60,9,21.0,#debb9b,2. imp/dom,27.037894539050736
61,9,22.0,#cfcfcf,2. imp/dom,188.35799296429997
62,10,23.0,#b6cadf,3. primaire,19.524918755983407
63,10,24.0,#b6cadf,3. primaire,1.5823252663122245
64,11,23.0,#a1c9f4,3. primaire,683.2882598838129
65,11,24.0,#a1c9f4,3. primaire,6.080762732041698
66,12,23.0,#e0baa1,3. primaire,43.52740211036764
67,12,24.0,#e0baa1,3. primaire,11.62980285840377
68,13,23.0,#ffb482,3. primaire,425.9705473758486
69,13,24.0,#ffb482,3. primaire,72.26226988877971
70,14,23.0,#a3cfad,3. primaire,28.900102013668437
71,14,24.0,#a3cfad,3. primaire,9.853134641251463
72,15,23.0,#8de5a1,3. primaire,202.05970591876903
73,15,24.0,#8de5a1,3. primaire,52.267304704157375
74,16,23.0,#e6b6b4,3. primaire,3.9635567064408024
75,16,24.0,#e6b6b4,3. primaire,2.5097822148933173
