,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,2.3906133353510683
1,0,8.0,#b6cadf,1. imp region,6.614891606979333
2,0,8.0,#cdbcac,1. imp region,0.3533742847555002
3,0,8.0,#d7ccee,1. imp region,0.4979302285399391
4,0,8.0,#e0baa1,1. imp region,31.708534965764674
5,0,8.0,#e6b6b4,1. imp region,1.198393302742833
6,1,8.0,#a3cfad,1. imp region,17.077645698215242
7,1,8.0,#b6cadf,1. imp region,11.216213916782692
8,1,8.0,#cdbcac,1. imp region,13.433682622864913
9,1,8.0,#d7ccee,1. imp region,2.1863790287984832
10,1,8.0,#e0baa1,1. imp region,77.8876467814898
11,1,8.0,#e6b6b4,1. imp region,4.784328854209052
12,2,8.0,#a3cfad,1. imp region,19.756811571227324
13,2,8.0,#b6cadf,1. imp region,28.109212536872327
14,2,8.0,#cdbcac,1. imp region,8.837007467953152
15,2,8.0,#d7ccee,1. imp region,2.9963719363406978
16,2,8.0,#e0baa1,1. imp region,22.24280291777071
17,2,8.0,#e6b6b4,1. imp region,6.572838055036977
18,3,9.0,#8de5a1,1. imp region,79.88817230942873
19,3,9.0,#a1c9f4,1. imp region,55.30965835776712
20,3,9.0,#cfcfcf,1. imp region,115.55434936827001
21,3,9.0,#d0bbff,1. imp region,42.89965290354365
22,3,9.0,#debb9b,1. imp region,25.923805338604208
23,3,9.0,#ff9f9b,1. imp region,29.829461549392732
24,3,9.0,#ffb482,1. imp region,143.26724125299285
25,4,8.0,#a3cfad,1. imp region,3.7475245141336573
26,4,8.0,#b6cadf,1. imp region,1.5638837468716287
27,4,8.0,#cdbcac,1. imp region,2.400792773455759
28,4,8.0,#d7ccee,1. imp region,0.41851187630447884
29,4,8.0,#e0baa1,1. imp region,12.848650493364389
30,4,8.0,#e6b6b4,1. imp region,3.1398193589421917
31,5,8.0,#a3cfad,1. imp region,3.250506437051187
32,5,8.0,#b6cadf,1. imp region,1.3095266756932495
33,5,8.0,#cdbcac,1. imp region,3.07087830393901
34,5,8.0,#d7ccee,1. imp region,0.5622209558598289
35,5,8.0,#e0baa1,1. imp region,7.433194103845713
36,5,8.0,#e6b6b4,1. imp region,0.8344433800930623
37,6,8.0,#a3cfad,1. imp region,0.39240635396779794
38,6,8.0,#b6cadf,1. imp region,1.6459229014807493
39,6,8.0,#cdbcac,1. imp region,0.20927234561297184
40,6,8.0,#d7ccee,1. imp region,0.04557469212186345
41,6,8.0,#e0baa1,1. imp region,1.2434091904507425
42,6,8.0,#e6b6b4,1. imp region,0.06870616588602123
43,7,8.0,#a3cfad,1. imp region,2.358783384209377
44,7,8.0,#b6cadf,1. imp region,4.806322210554391
45,7,8.0,#cdbcac,1. imp region,0.8484074010824719
46,7,8.0,#d7ccee,1. imp region,0.12023538090028162
47,7,8.0,#e0baa1,1. imp region,2.5625297895227015
48,7,8.0,#e6b6b4,1. imp region,0.42055261813574235
49,8,10.0,#b6cadf,2. imp/dom,55.26597359523435
50,8,12.0,#e0baa1,2. imp/dom,155.92676824220865
51,8,14.0,#a3cfad,2. imp/dom,48.97429129415559
