,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,1.8007613360974175
1,0,8.0,#b6cadf,1. imp region,4.451484297376513
2,0,8.0,#cdbcac,1. imp region,0.3767615831363429
3,0,8.0,#d7ccee,1. imp region,0.47950563944357183
4,0,8.0,#e0baa1,1. imp region,10.482135149253248
5,0,8.0,#e6b6b4,1. imp region,0.37835948183514934
6,1,8.0,#a3cfad,1. imp region,60.72180293537583
7,1,8.0,#b6cadf,1. imp region,62.28180283796351
8,1,8.0,#cdbcac,1. imp region,14.259805079578154
9,1,8.0,#d7ccee,1. imp region,6.566819811816758
10,1,8.0,#e0baa1,1. imp region,126.50223538464934
11,1,8.0,#e6b6b4,1. imp region,17.086529427377762
12,2,8.0,#a3cfad,1. imp region,8.771169751142878
13,2,8.0,#b6cadf,1. imp region,5.451325630967419
14,2,8.0,#cdbcac,1. imp region,10.54987166170041
15,2,8.0,#d7ccee,1. imp region,2.9767952166608906
16,2,8.0,#e0baa1,1. imp region,10.756457005176461
17,2,8.0,#e6b6b4,1. imp region,3.331208650093924
18,3,9.0,#8de5a1,1. imp region,205.97890695184387
19,3,9.0,#a1c9f4,1. imp region,57.49023158302784
20,3,9.0,#cfcfcf,1. imp region,204.67675078665
21,3,9.0,#d0bbff,1. imp region,80.37172131291939
22,3,9.0,#debb9b,1. imp region,102.26634206385864
23,3,9.0,#ff9f9b,1. imp region,37.085079397661936
24,3,9.0,#ffb482,1. imp region,464.07714348986684
25,4,8.0,#a3cfad,1. imp region,5.2216594302536
26,4,8.0,#b6cadf,1. imp region,1.4394258433796285
27,4,8.0,#cdbcac,1. imp region,2.2773220402727445
28,4,8.0,#d7ccee,1. imp region,0.9629806247467176
29,4,8.0,#e0baa1,1. imp region,72.27314160225546
30,4,8.0,#e6b6b4,1. imp region,2.348637460004639
31,5,8.0,#a3cfad,1. imp region,8.2765426879532
32,5,8.0,#b6cadf,1. imp region,19.72204151623067
33,5,8.0,#cdbcac,1. imp region,10.807483934076908
34,5,8.0,#d7ccee,1. imp region,1.6228184968509147
35,5,8.0,#e0baa1,1. imp region,23.554024846053817
36,5,8.0,#e6b6b4,1. imp region,3.020844383280195
37,6,8.0,#a3cfad,1. imp region,2.434311664437095
38,6,8.0,#b6cadf,1. imp region,16.956614374110288
39,6,8.0,#cdbcac,1. imp region,0.5042772245050864
40,6,8.0,#d7ccee,1. imp region,0.18557276471727396
41,6,8.0,#e0baa1,1. imp region,12.521916505382281
42,6,8.0,#e6b6b4,1. imp region,0.28881896356833897
43,7,8.0,#a3cfad,1. imp region,3.5285361940616706
44,7,8.0,#b6cadf,1. imp region,7.383091569346369
45,7,8.0,#cdbcac,1. imp region,0.8988542958211216
46,7,8.0,#d7ccee,1. imp region,0.20136097684342183
47,7,8.0,#e0baa1,1. imp region,3.2359114266180478
48,7,8.0,#e6b6b4,1. imp region,0.298689412747196
49,8,10.0,#b6cadf,2. imp/dom,117.6857860693744
50,8,12.0,#e0baa1,2. imp/dom,259.32582191938883
51,8,14.0,#a3cfad,2. imp/dom,90.75478399932162
52,8,16.0,#e6b6b4,2. imp/dom,26.753087778907197
53,8,18.0,#d7ccee,2. imp/dom,12.995853531079536
54,8,20.0,#cdbcac,2. imp/dom,39.67437581909074
55,9,11.0,#a1c9f4,2. imp/dom,57.49023158302784
56,9,13.0,#ffb482,2. imp/dom,464.07714348986684
57,9,15.0,#8de5a1,2. imp/dom,205.97890695184387
58,9,17.0,#ff9f9b,2. imp/dom,37.085079397661936
59,9,19.0,#d0bbff,2. imp/dom,80.37172131291939
60,9,21.0,#debb9b,2. imp/dom,102.26634206385864
61,9,22.0,#cfcfcf,2. imp/dom,204.67675078665
62,10,23.0,#b6cadf,3. primaire,108.02871279543103
63,10,24.0,#b6cadf,3. primaire,9.65707327394331
64,11,23.0,#a1c9f4,3. primaire,56.58975938783223
65,11,24.0,#a1c9f4,3. primaire,0.9004721951956107
66,12,23.0,#e0baa1,3. primaire,190.08783570738638
67,12,24.0,#e0baa1,3. primaire,69.23798621200243
68,13,23.0,#ffb482,3. primaire,378.193104296508
69,13,24.0,#ffb482,3. primaire,85.88403919335894
70,14,23.0,#a3cfad,3. primaire,48.09806845504659
71,14,24.0,#a3cfad,3. primaire,42.65671554427506
72,15,23.0,#8de5a1,3. primaire,116.35204149724827
73,15,24.0,#8de5a1,3. primaire,89.62686545459553
74,16,23.0,#e6b6b4,3. primaire,13.614531805653481
75,16,24.0,#e6b6b4,3. primaire,13.138555973253718
76,17,23.0,#ff9f9b,3. primaire,18.884405345574216
77,17,24.0,#ff9f9b,3. primaire,18.200674052087727
78,18,23.0,#d7ccee,3. primaire,9.554747165006969
79,18,24.0,#d7ccee,3. primaire,3.4411063660725856
80,19,23.0,#d0bbff,3. primaire,74.6563634668478
81,19,24.0,#d0bbff,3. primaire,5.715357846071586
82,20,23.0,#cdbcac,3. primaire,31.54063473601046
83,20,24.0,#cdbcac,3. primaire,8.133741083080322
84,21,23.0,#debb9b,3. primaire,90.52437067126758
85,21,24.0,#debb9b,3. primaire,11.74197139259099
86,22,25.0,#cfcfcf,3. primaire,204.67675078665
87,23,26.0,#8de5a1,4. cap/ci,20.29208235356874
88,23,26.0,#a1c9f4,4. cap/ci,2.7780248852669307
89,23,26.0,#a3cfad,4. cap/ci,5.976181725629678
90,23,26.0,#b6cadf,4. cap/ci,6.201203616861576
91,23,26.0,#cdbcac,4. cap/ci,2.542955920287432
92,23,26.0,#d0bbff,4. cap/ci,36.02690108521253
93,23,26.0,#d7ccee,4. cap/ci,0.5545244635381871
94,23,26.0,#debb9b,4. cap/ci,5.115423287044559
95,23,26.0,#e0baa1,4. cap/ci,18.9152458865076
96,23,26.0,#e6b6b4,4. cap/ci,1.0377110025137029
97,23,26.0,#ff9f9b,4. cap/ci,1.5147001341467807
98,23,26.0,#ffb482,4. cap/ci,54.726427970030066
99,23,27.0,#8de5a1,4. cap/ci,61.125877968366034
100,23,27.0,#a1c9f4,4. cap/ci,52.6862360991529
101,23,27.0,#a3cfad,4. cap/ci,41.56946918380258
102,23,27.0,#b6cadf,4. cap/ci,100.98329588363038
103,23,27.0,#cdbcac,4. cap/ci,28.600186584850572
104,23,27.0,#d0bbff,4. cap/ci,36.879136854323356
105,23,27.0,#d7ccee,4. cap/ci,8.69233525758728
106,23,27.0,#debb9b,4. cap/ci,56.165997250066326
107,23,27.0,#e0baa1,4. cap/ci,169.4981465656962
108,23,27.0,#e6b6b4,4. cap/ci,12.462253722620234
109,23,27.0,#ff9f9b,4. cap/ci,11.117060534295405
110,23,27.0,#ffb482,4. cap/ci,292.2567002148631
111,23,28.0,#8de5a1,4. cap/ci,0.973816974747362
112,23,28.0,#a1c9f4,4. cap/ci,0.37363632095896493
113,23,28.0,#a3cfad,4. cap/ci,0.5524175456143499
