,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.8483230439920312
1,0,8.0,#b6cadf,1. imp region,1.227054183167459
2,0,8.0,#cdbcac,1. imp region,0.03852553056649081
3,0,8.0,#d7ccee,1. imp region,0.07737122220756155
4,0,8.0,#e0baa1,1. imp region,6.701983928109987
5,0,8.0,#e6b6b4,1. imp region,0.17061466428919775
6,1,8.0,#a3cfad,1. imp region,42.05985998761785
7,1,8.0,#b6cadf,1. imp region,17.791829105471372
8,1,8.0,#cdbcac,1. imp region,7.495748341452022
9,1,8.0,#d7ccee,1. imp region,2.4443527611004776
10,1,8.0,#e0baa1,1. imp region,80.70981599133819
11,1,8.0,#e6b6b4,1. imp region,7.2604890824977195
12,2,8.0,#a3cfad,1. imp region,3.1378207493023065
13,2,8.0,#b6cadf,1. imp region,2.3834376185493804
14,2,8.0,#cdbcac,1. imp region,3.8177240867128575
15,2,8.0,#d7ccee,1. imp region,0.7808570399413032
16,2,8.0,#e0baa1,1. imp region,3.4989067032364023
17,2,8.0,#e6b6b4,1. imp region,1.2916170558901559
18,3,9.0,#8de5a1,1. imp region,97.27387232378882
19,3,9.0,#a1c9f4,1. imp region,27.594379212115836
20,3,9.0,#cfcfcf,1. imp region,67.13977430289
21,3,9.0,#d0bbff,1. imp region,33.48111524488375
22,3,9.0,#debb9b,1. imp region,42.1679981704466
23,3,9.0,#ff9f9b,1. imp region,15.921546699278048
24,3,9.0,#ffb482,1. imp region,321.02504792553106
25,4,8.0,#a3cfad,1. imp region,4.05916922007349
26,4,8.0,#b6cadf,1. imp region,0.6791374280467127
27,4,8.0,#cdbcac,1. imp region,1.02261731701978
28,4,8.0,#d7ccee,1. imp region,0.4624043993253352
29,4,8.0,#e0baa1,1. imp region,41.866141809435
30,4,8.0,#e6b6b4,1. imp region,1.2599843042140126
31,5,8.0,#a3cfad,1. imp region,2.8831232659801205
32,5,8.0,#b6cadf,1. imp region,9.92067779924594
33,5,8.0,#cdbcac,1. imp region,0.7304714214790847
34,5,8.0,#d7ccee,1. imp region,0.2707860207688635
35,5,8.0,#e0baa1,1. imp region,12.164849706578021
36,5,8.0,#e6b6b4,1. imp region,1.1730863833443181
37,6,8.0,#a3cfad,1. imp region,0.6553275899121096
38,6,8.0,#b6cadf,1. imp region,6.147714673043396
39,6,8.0,#cdbcac,1. imp region,0.12031616589475333
40,6,8.0,#d7ccee,1. imp region,0.11775224789545957
41,6,8.0,#e0baa1,1. imp region,3.7906874664226997
42,6,8.0,#e6b6b4,1. imp region,0.1964999466338541
43,7,8.0,#a3cfad,1. imp region,2.558157560925876
44,7,8.0,#b6cadf,1. imp region,2.989722682760859
45,7,8.0,#cdbcac,1. imp region,0.16405543319076962
46,7,8.0,#d7ccee,1. imp region,0.07345935696391531
