,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.016238239930260485
1,0,8.0,#b6cadf,1. imp region,0.07671449073742914
2,0,8.0,#cdbcac,1. imp region,0.009952904423490208
3,0,8.0,#d7ccee,1. imp region,0.007758685570721934
4,0,8.0,#e0baa1,1. imp region,0.05605860975971018
5,0,8.0,#e6b6b4,1. imp region,0.005720407925736427
6,1,8.0,#a3cfad,1. imp region,0.6643190997326949
7,1,8.0,#b6cadf,1. imp region,0.24162840195768318
8,1,8.0,#cdbcac,1. imp region,0.19964222447899324
9,1,8.0,#d7ccee,1. imp region,0.030335158863898013
10,1,8.0,#e0baa1,1. imp region,5.588572787058872
11,1,8.0,#e6b6b4,1. imp region,0.16060433307091043
12,2,8.0,#a3cfad,1. imp region,0.9075534207661645
13,2,8.0,#b6cadf,1. imp region,0.5002744369796286
14,2,8.0,#cdbcac,1. imp region,0.15039722398722627
15,2,8.0,#d7ccee,1. imp region,0.11009114161285748
16,2,8.0,#e0baa1,1. imp region,0.9673205036172452
17,2,8.0,#e6b6b4,1. imp region,0.2919593250965162
18,3,9.0,#8de5a1,1. imp region,1.820662268612517
19,3,9.0,#a1c9f4,1. imp region,5.192300616833087
20,3,9.0,#cfcfcf,1. imp region,5.458764629775431
21,3,9.0,#d0bbff,1. imp region,1.2357486114616993
22,3,9.0,#debb9b,1. imp region,1.468892927119422
23,3,9.0,#ff9f9b,1. imp region,0.7008380296120557
24,3,9.0,#ffb482,1. imp region,5.986513697423837
25,4,8.0,#a3cfad,1. imp region,0.05269144901574106
26,4,8.0,#b6cadf,1. imp region,0.02657911671619581
27,4,8.0,#cdbcac,1. imp region,0.04366639798360062
28,4,8.0,#d7ccee,1. imp region,0.009240677761026285
29,4,8.0,#e0baa1,1. imp region,0.08781737678859015
30,4,8.0,#e6b6b4,1. imp region,0.027672117940480693
31,5,8.0,#a3cfad,1. imp region,0.027200404780444044
32,5,8.0,#b6cadf,1. imp region,0.014232114314050562
33,5,8.0,#cdbcac,1. imp region,0.021633917878176017
34,5,8.0,#d7ccee,1. imp region,0.003980861255707271
35,5,8.0,#e0baa1,1. imp region,0.061288800299266505
36,5,8.0,#e6b6b4,1. imp region,0.013023828607467829
37,6,8.0,#a3cfad,1. imp region,0.00396441045987924
38,6,8.0,#b6cadf,1. imp region,0.005058002383444671
39,6,8.0,#cdbcac,1. imp region,0.002842443992740964
40,6,8.0,#d7ccee,1. imp region,0.0013895138213893786
41,6,8.0,#e0baa1,1. imp region,0.013800034297592714
42,6,8.0,#e6b6b4,1. imp region,0.000782887020668007
43,7,8.0,#a3cfad,1. imp region,0.0314325994904026
44,7,8.0,#b6cadf,1. imp region,0.06705824609740563
45,7,8.0,#cdbcac,1. imp region,0.008907633265579994
46,7,8.0,#d7ccee,1. imp region,0.002441860140520396
47,7,8.0,#e0baa1,1. imp region,0.034123731167962475
48,7,8.0,#e6b6b4,1. imp region,0.0031200137351119514
