,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.16819681342328
1,0,8.0,#b6cadf,1. imp region,0.5659003556542126
2,0,8.0,#cdbcac,1. imp region,0.007473023991049928
3,0,8.0,#d7ccee,1. imp region,0.020638504289446403
4,0,8.0,#e0baa1,1. imp region,0.7048709512525391
5,0,8.0,#e6b6b4,1. imp region,0.05159162523237036
6,1,8.0,#a3cfad,1. imp region,1.5223545851934719
7,1,8.0,#b6cadf,1. imp region,1.046826689987165
8,1,8.0,#cdbcac,1. imp region,0.18064503447670496
9,1,8.0,#d7ccee,1. imp region,0.09022836910828223
10,1,8.0,#e0baa1,1. imp region,2.022990624303056
11,1,8.0,#e6b6b4,1. imp region,0.31712357477738895
12,2,8.0,#a3cfad,1. imp region,0.6574155394854305
13,2,8.0,#b6cadf,1. imp region,1.354712984833378
14,2,8.0,#cdbcac,1. imp region,0.36545493708404697
15,2,8.0,#d7ccee,1. imp region,0.21960289135135244
16,2,8.0,#e0baa1,1. imp region,1.415400354395869
17,2,8.0,#e6b6b4,1. imp region,0.25841618050734405
18,3,9.0,#8de5a1,1. imp region,1.043155847813118
19,3,9.0,#a1c9f4,1. imp region,1.1955220736339038
20,3,9.0,#cfcfcf,1. imp region,1.4317037231483998
21,3,9.0,#d0bbff,1. imp region,0.683610088489996
22,3,9.0,#debb9b,1. imp region,4.555151997600025
23,3,9.0,#ff9f9b,1. imp region,0.2235378305926705
24,3,9.0,#ffb482,1. imp region,0.21504762180565407
25,4,8.0,#a3cfad,1. imp region,0.6071909783580266
26,4,8.0,#b6cadf,1. imp region,0.18611492131586124
27,4,8.0,#cdbcac,1. imp region,0.10359359810536732
28,4,8.0,#d7ccee,1. imp region,0.030270573384991315
29,4,8.0,#e0baa1,1. imp region,0.6878707043506145
30,4,8.0,#e6b6b4,1. imp region,0.3151837513353237
31,5,8.0,#a3cfad,1. imp region,0.25421676417714356
32,5,8.0,#b6cadf,1. imp region,0.11722313949469552
33,5,8.0,#cdbcac,1. imp region,0.0449673252879952
34,5,8.0,#d7ccee,1. imp region,0.016809180707657547
35,5,8.0,#e0baa1,1. imp region,0.46534200652764274
36,5,8.0,#e6b6b4,1. imp region,0.07302512184805607
37,6,8.0,#a3cfad,1. imp region,0.019397201461036406
38,6,8.0,#b6cadf,1. imp region,0.06872300115875178
39,6,8.0,#cdbcac,1. imp region,0.0034804640386482625
40,6,8.0,#d7ccee,1. imp region,0.0026383177762206588
41,6,8.0,#e0baa1,1. imp region,0.039870452813589696
42,6,8.0,#e6b6b4,1. imp region,0.00347571079299595
43,7,8.0,#a3cfad,1. imp region,0.13952395495279962
44,7,8.0,#b6cadf,1. imp region,0.27232998194964736
45,7,8.0,#cdbcac,1. imp region,0.009162082205812692
46,7,8.0,#d7ccee,1. imp region,0.007410956527667757
47,7,8.0,#e0baa1,1. imp region,0.15526113996792223
48,7,8.0,#e6b6b4,1. imp region,0.010040555243179644
49,8,10.0,#b6cadf,2. imp/dom,3.6118310743937116
50,8,12.0,#e0baa1,2. imp/dom,5.491606233611232
51,8,14.0,#a3cfad,2. imp/dom,3.368295837051187
52,8,16.0,#e6b6b4,2. imp/dom,1.0288565197366595
53,8,18.0,#d7ccee,2. imp/dom,0.3875987931456185
54,8,20.0,#cdbcac,2. imp/dom,0.7147764651896251
55,9,11.0,#a1c9f4,2. imp/dom,1.1955220736339038
56,9,13.0,#ffb482,2. imp/dom,0.21504762180565407
57,9,15.0,#8de5a1,2. imp/dom,1.043155847813118
58,9,17.0,#ff9f9b,2. imp/dom,0.2235378305926705
59,9,19.0,#d0bbff,2. imp/dom,0.683610088489996
60,9,21.0,#debb9b,2. imp/dom,4.555151997600025
61,9,22.0,#cfcfcf,2. imp/dom,1.4317037231483998
62,10,23.0,#b6cadf,3. primaire,3.4483477947803713
