,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.013874017961707188
1,0,8.0,#b6cadf,1. imp region,0.026319727267278912
2,0,8.0,#cdbcac,1. imp region,0.00240192937913908
3,0,8.0,#d7ccee,1. imp region,0.005937792932817249
4,0,8.0,#e0baa1,1. imp region,0.04032937534202987
5,0,8.0,#e6b6b4,1. imp region,0.0038105692249427838
6,1,8.0,#a3cfad,1. imp region,0.6168542540970476
7,1,8.0,#b6cadf,1. imp region,0.5295427892825924
8,1,8.0,#cdbcac,1. imp region,0.15226185859504357
9,1,8.0,#d7ccee,1. imp region,0.027374603654628286
10,1,8.0,#e0baa1,1. imp region,3.8887885947826635
11,1,8.0,#e6b6b4,1. imp region,0.1410759075433423
12,2,8.0,#a3cfad,1. imp region,0.7841864472454521
13,2,8.0,#b6cadf,1. imp region,0.49028513415184366
14,2,8.0,#cdbcac,1. imp region,0.10639536851593455
15,2,8.0,#d7ccee,1. imp region,0.09472023146598581
16,2,8.0,#e0baa1,1. imp region,1.4649373418515952
17,2,8.0,#e6b6b4,1. imp region,0.19873507111631813
18,3,9.0,#8de5a1,1. imp region,1.4167630527518364
19,3,9.0,#a1c9f4,1. imp region,2.9984029240095342
20,3,9.0,#cfcfcf,1. imp region,1.922515493859
21,3,9.0,#d0bbff,1. imp region,1.3495672943914774
22,3,9.0,#debb9b,1. imp region,2.4157686916939887
23,3,9.0,#ff9f9b,1. imp region,1.2238818438808647
24,3,9.0,#ffb482,1. imp region,2.33046391611651
25,4,8.0,#a3cfad,1. imp region,0.04025744193594187
26,4,8.0,#b6cadf,1. imp region,0.021145511732745235
27,4,8.0,#cdbcac,1. imp region,0.01782235759447267
28,4,8.0,#d7ccee,1. imp region,0.006665795163051365
29,4,8.0,#e0baa1,1. imp region,0.05569873390425465
30,4,8.0,#e6b6b4,1. imp region,0.017985640805542585
31,5,8.0,#a3cfad,1. imp region,0.015245905095521348
32,5,8.0,#b6cadf,1. imp region,0.01226545666237044
33,5,8.0,#cdbcac,1. imp region,0.008037625215547677
34,5,8.0,#d7ccee,1. imp region,0.002376958113141135
35,5,8.0,#e0baa1,1. imp region,0.033684212206849355
36,5,8.0,#e6b6b4,1. imp region,0.005286903753086895
37,6,8.0,#a3cfad,1. imp region,0.004596818194484717
38,6,8.0,#b6cadf,1. imp region,0.005360542266123993
39,6,8.0,#cdbcac,1. imp region,0.0010635543297202407
40,6,8.0,#d7ccee,1. imp region,0.0007472090931938964
41,6,8.0,#e0baa1,1. imp region,0.010110727187031932
42,6,8.0,#e6b6b4,1. imp region,0.0004928107229928188
43,7,8.0,#a3cfad,1. imp region,0.016864494220421737
44,7,8.0,#b6cadf,1. imp region,0.03473926391216114
45,7,8.0,#cdbcac,1. imp region,0.0028315708267122896
46,7,8.0,#d7ccee,1. imp region,0.0014996330497176497
47,7,8.0,#e0baa1,1. imp region,0.015514414521339458
48,7,8.0,#e6b6b4,1. imp region,0.0017578199764666973
49,8,10.0,#b6cadf,2. imp/dom,1.1196584252751158
50,8,12.0,#e0baa1,2. imp/dom,5.509063399795762
51,8,14.0,#a3cfad,2. imp/dom,1.4918793787505766
52,8,16.0,#e6b6b4,2. imp/dom,0.369144723142692
53,8,18.0,#d7ccee,2. imp/dom,0.13932222347253545
54,8,20.0,#cdbcac,2. imp/dom,0.2908142644565701
55,9,11.0,#a1c9f4,2. imp/dom,2.9984029240095342
56,9,13.0,#ffb482,2. imp/dom,2.33046391611651
57,9,15.0,#8de5a1,2. imp/dom,1.4167630527518364
