,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.023632155976224353
1,0,8.0,#b6cadf,1. imp region,0.04194747825205977
2,0,8.0,#cdbcac,1. imp region,0.0041048126493218205
3,0,8.0,#d7ccee,1. imp region,0.009106426436955611
4,0,8.0,#e0baa1,1. imp region,0.15345639715343362
5,0,8.0,#e6b6b4,1. imp region,0.008913212288769455
6,1,8.0,#a3cfad,1. imp region,0.4112698481875076
7,1,8.0,#b6cadf,1. imp region,0.09432771303750044
8,1,8.0,#cdbcac,1. imp region,0.0720025447178192
9,1,8.0,#d7ccee,1. imp region,0.04650291796140587
10,1,8.0,#e0baa1,1. imp region,1.2422692220640816
11,1,8.0,#e6b6b4,1. imp region,0.08113971959385029
12,2,8.0,#a3cfad,1. imp region,0.1426931168507417
13,2,8.0,#b6cadf,1. imp region,0.1102030815150888
14,2,8.0,#cdbcac,1. imp region,0.07184868819898993
15,2,8.0,#d7ccee,1. imp region,0.05373522589753068
16,2,8.0,#e0baa1,1. imp region,0.3697868020567361
17,2,8.0,#e6b6b4,1. imp region,0.06488470622904449
18,3,9.0,#8de5a1,1. imp region,0.17907667699270058
19,3,9.0,#a1c9f4,1. imp region,0.11398612940001172
20,3,9.0,#cfcfcf,1. imp region,0.129327488969
21,3,9.0,#d0bbff,1. imp region,0.09312897009152232
22,3,9.0,#debb9b,1. imp region,0.28461642032167866
23,3,9.0,#ff9f9b,1. imp region,0.0336188100061265
24,3,9.0,#ffb482,1. imp region,0.8643091339310515
25,4,8.0,#a3cfad,1. imp region,0.2838841376472814
26,4,8.0,#b6cadf,1. imp region,0.052596530561457
27,4,8.0,#cdbcac,1. imp region,0.06390062846804753
28,4,8.0,#d7ccee,1. imp region,0.01998277240716961
29,4,8.0,#e0baa1,1. imp region,0.4705463054996602
30,4,8.0,#e6b6b4,1. imp region,0.03498797556995232
31,5,8.0,#a3cfad,1. imp region,0.031015305961992416
32,5,8.0,#b6cadf,1. imp region,0.00872496865528513
33,5,8.0,#cdbcac,1. imp region,0.014571533810445214
34,5,8.0,#d7ccee,1. imp region,0.0065653108768887036
35,5,8.0,#e0baa1,1. imp region,0.11590825990999931
36,5,8.0,#e6b6b4,1. imp region,0.02154783278574382
37,6,8.0,#a3cfad,1. imp region,0.005693734993888525
38,6,8.0,#b6cadf,1. imp region,0.006385014792576436
39,6,8.0,#cdbcac,1. imp region,0.0028261706860519993
40,6,8.0,#d7ccee,1. imp region,0.0017172455142268723
41,6,8.0,#e0baa1,1. imp region,0.010042249774815435
42,6,8.0,#e6b6b4,1. imp region,0.0012362355179540176
43,7,8.0,#a3cfad,1. imp region,0.04447260649811659
44,7,8.0,#b6cadf,1. imp region,0.05703038502658987
45,7,8.0,#cdbcac,1. imp region,0.0063517450531360466
46,7,8.0,#d7ccee,1. imp region,0.005174133617012852
47,7,8.0,#e0baa1,1. imp region,0.07940989698771575
48,7,8.0,#e6b6b4,1. imp region,0.021168199215278825
49,8,10.0,#b6cadf,2. imp/dom,0.37121517184055747
50,8,12.0,#e0baa1,2. imp/dom,2.4414191334464435
51,8,14.0,#a3cfad,2. imp/dom,0.9426609061157523
52,8,16.0,#e6b6b4,2. imp/dom,0.23387788120059327
53,8,18.0,#d7ccee,2. imp/dom,0.1427840327111901
54,8,20.0,#cdbcac,2. imp/dom,0.23560612358381164
55,9,11.0,#a1c9f4,2. imp/dom,0.11398612940001172
56,9,13.0,#ffb482,2. imp/dom,0.8643091339310515
57,9,15.0,#8de5a1,2. imp/dom,0.17907667699270058
