,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.5633218595692218
1,0,8.0,#b6cadf,1. imp region,0.8893300043724228
2,0,8.0,#cdbcac,1. imp region,0.023994078872589593
3,0,8.0,#d7ccee,1. imp region,0.04296074064130351
4,0,8.0,#e0baa1,1. imp region,1.8418042842461815
5,0,8.0,#e6b6b4,1. imp region,0.12007949489355633
6,1,8.0,#a3cfad,1. imp region,15.15739190716666
7,1,8.0,#b6cadf,1. imp region,4.279815390458752
8,1,8.0,#cdbcac,1. imp region,1.5139869471868004
9,1,8.0,#d7ccee,1. imp region,0.6512773204846151
10,1,8.0,#e0baa1,1. imp region,21.57311793309438
11,1,8.0,#e6b6b4,1. imp region,3.556476281885106
12,2,8.0,#a3cfad,1. imp region,2.5282196335699743
13,2,8.0,#b6cadf,1. imp region,1.107978505284784
14,2,8.0,#cdbcac,1. imp region,2.163532006372641
15,2,8.0,#d7ccee,1. imp region,0.5763439327819923
16,2,8.0,#e0baa1,1. imp region,2.631170169645314
17,2,8.0,#e6b6b4,1. imp region,0.9456570108041877
18,3,9.0,#8de5a1,1. imp region,95.335104831743
19,3,9.0,#a1c9f4,1. imp region,113.3640546688045
20,3,9.0,#cfcfcf,1. imp region,55.577411806589
21,3,9.0,#d0bbff,1. imp region,5.921369016525149
22,3,9.0,#debb9b,1. imp region,4.936919207127513
23,3,9.0,#ff9f9b,1. imp region,19.268407013472935
24,3,9.0,#ffb482,1. imp region,342.82168631502293
25,4,8.0,#a3cfad,1. imp region,1.4886416530143087
26,4,8.0,#b6cadf,1. imp region,0.2413508606829362
27,4,8.0,#cdbcac,1. imp region,0.289898083407798
28,4,8.0,#d7ccee,1. imp region,0.12359610867372503
29,4,8.0,#e0baa1,1. imp region,4.638350808763199
30,4,8.0,#e6b6b4,1. imp region,0.884963420099771
31,5,8.0,#a3cfad,1. imp region,9.40070063365997
32,5,8.0,#b6cadf,1. imp region,13.685634252085546
33,5,8.0,#cdbcac,1. imp region,2.72454955303243
34,5,8.0,#d7ccee,1. imp region,0.9295522575469203
35,5,8.0,#e0baa1,1. imp region,40.368373331649494
36,5,8.0,#e6b6b4,1. imp region,4.018605421941521
37,6,8.0,#a3cfad,1. imp region,0.14829371329372928
38,6,8.0,#b6cadf,1. imp region,0.1650283919375612
39,6,8.0,#cdbcac,1. imp region,0.019220905261619865
40,6,8.0,#d7ccee,1. imp region,0.016430271180143726
41,6,8.0,#e0baa1,1. imp region,0.4261195131374126
42,6,8.0,#e6b6b4,1. imp region,0.028316933505218255
43,7,8.0,#a3cfad,1. imp region,2.6883965518948334
44,7,8.0,#b6cadf,1. imp region,3.173633288729729
45,7,8.0,#cdbcac,1. imp region,0.20211382139489742
46,7,8.0,#d7ccee,1. imp region,0.11477875428705527
47,7,8.0,#e0baa1,1. imp region,5.271889376187746
48,7,8.0,#e6b6b4,1. imp region,0.33190914531842475
49,8,10.0,#b6cadf,2. imp/dom,23.54277069355174
50,8,12.0,#e0baa1,2. imp/dom,76.75082541672364
51,8,14.0,#a3cfad,2. imp/dom,31.974965952168702
52,8,16.0,#e6b6b4,2. imp/dom,9.88600770844779
53,8,18.0,#d7ccee,2. imp/dom,2.4549393855957558
54,8,20.0,#cdbcac,2. imp/dom,6.937295395528776
55,9,11.0,#a1c9f4,2. imp/dom,113.3640546688045
56,9,13.0,#ffb482,2. imp/dom,342.82168631502293
57,9,15.0,#8de5a1,2. imp/dom,95.335104831743
58,9,17.0,#ff9f9b,2. imp/dom,19.268407013472935
59,9,19.0,#d0bbff,2. imp/dom,5.921369016525149
60,9,21.0,#debb9b,2. imp/dom,4.936919207127513
61,9,22.0,#cfcfcf,2. imp/dom,55.577411806589
62,10,23.0,#b6cadf,3. primaire,22.173550717174034
63,10,24.0,#b6cadf,3. primaire,1.3692199763777053
64,11,23.0,#a1c9f4,3. primaire,112.51818615015578
65,11,24.0,#a1c9f4,3. primaire,0.8458685186486783
66,12,23.0,#e0baa1,3. primaire,65.01593791290493
67,12,24.0,#e0baa1,3. primaire,11.734887503818788
68,13,23.0,#ffb482,3. primaire,314.8807486331302
69,13,24.0,#ffb482,3. primaire,27.940937681892745
70,14,23.0,#a3cfad,3. primaire,22.62464535373811
71,14,24.0,#a3cfad,3. primaire,9.350320598430592
72,15,23.0,#8de5a1,3. primaire,65.31326143314854
73,15,24.0,#8de5a1,3. primaire,30.021843398594466
74,16,23.0,#e6b6b4,3. primaire,6.8772703723813535
75,16,24.0,#e6b6b4,3. primaire,3.0087373360664302
76,17,23.0,#ff9f9b,3. primaire,11.607300769014152
77,17,24.0,#ff9f9b,3. primaire,7.661106244458778
78,18,23.0,#d7ccee,3. primaire,1.8302808707018223
79,18,24.0,#d7ccee,3. primaire,0.624658514893934
80,19,23.0,#d0bbff,3. primaire,5.552508559334987
81,19,24.0,#d0bbff,3. primaire,0.3688604571901625
82,20,23.0,#cdbcac,3. primaire,5.409345217741376
83,20,24.0,#cdbcac,3. primaire,1.5279501777874016
84,21,23.0,#debb9b,3. primaire,4.672445195155977
85,21,24.0,#debb9b,3. primaire,0.2644740119715352
86,22,25.0,#cfcfcf,3. primaire,55.577411806589
87,23,26.0,#8de5a1,4. cap/ci,2.5912998283359197
88,23,26.0,#a1c9f4,4. cap/ci,0.8654888889336027
89,23,26.0,#a3cfad,4. cap/ci,2.5886953693369525
90,23,26.0,#b6cadf,4. cap/ci,1.1744406115551873
91,23,26.0,#cdbcac,4. cap/ci,0.41980876934732136
92,23,26.0,#d0bbff,4. cap/ci,1.9824267287656634
93,23,26.0,#d7ccee,4. cap/ci,0.14921867861849042
94,23,26.0,#debb9b,4. cap/ci,0.12263483341976562
95,23,26.0,#e0baa1,4. cap/ci,4.418869980388045
96,23,26.0,#e6b6b4,4. cap/ci,0.29290198991681493
97,23,26.0,#ff9f9b,4. cap/ci,0.45628408384829
98,23,26.0,#ffb482,4. cap/ci,28.00337889837252
99,23,27.0,#8de5a1,4. cap/ci,39.29167831825545
100,23,27.0,#a1c9f4,4. cap/ci,61.42107496283425
101,23,27.0,#a3cfad,4. cap/ci,17.68743799079485
102,23,27.0,#b6cadf,4. cap/ci,17.02743530063289
103,23,27.0,#cdbcac,4. cap/ci,4.536961155089172
104,23,27.0,#d0bbff,4. cap/ci,2.7986854941609782
105,23,27.0,#d7ccee,4. cap/ci,1.5152982989748989
106,23,27.0,#debb9b,4. cap/ci,3.2325266186271167
107,23,27.0,#e0baa1,4. cap/ci,50.0044446415986
108,23,27.0,#e6b6b4,4. cap/ci,6.283663017847927
109,23,27.0,#ff9f9b,4. cap/ci,2.8726141700674956
110,23,27.0,#ffb482,4. cap/ci,149.0941985624965
111,23,28.0,#8de5a1,4. cap/ci,5.141937066707292
112,23,28.0,#a1c9f4,4. cap/ci,15.054467833715401
113,23,28.0,#a3cfad,4. cap/ci,2.348511993606302
114,23,28.0,#b6cadf,4. cap/ci,3.9716748049859474
115,23,28.0,#cdbcac,4. cap/ci,0.4525752933048828
116,23,28.0,#d0bbff,4. cap/ci,0.03601757749688674
117,23,28.0,#d7ccee,4. cap/ci,0.16576389310843256
118,23,28.0,#debb9b,4. cap/ci,0.029172852041892926
119,23,28.0,#e0baa1,4. cap/ci,10.59262329091829
120,23,28.0,#e6b6b4,4. cap/ci,0.3007053646166116
121,23,28.0,#ff9f9b,4. cap/ci,0.1416685330536121
122,23,28.0,#ffb482,4. cap/ci,59.91164164367863
123,23,29.0,#8de5a1,4. cap/ci,18.288346219849902
124,23,29.0,#a1c9f4,4. cap/ci,35.17715446467261
125,23,29.0,#d0bbff,4. cap/ci,0.7353787589114565
126,23,29.0,#debb9b,4. cap/ci,1.288110891067201
127,23,29.0,#ff9f9b,4. cap/ci,8.136733982044754
128,23,29.0,#ffb482,4. cap/ci,77.87152952858263
129,24,26.0,#8de5a1,4. cap/ci,1.23637970314307
130,24,26.0,#a1c9f4,4. cap/ci,0.02163727769977799
131,24,26.0,#a3cfad,4. cap/ci,0.6753374050786575
132,24,26.0,#b6cadf,4. cap/ci,0.09495763812388006
133,24,26.0,#cdbcac,4. cap/ci,0.11251657526694267
134,24,26.0,#d0bbff,4. cap/ci,0.008308262914977105
135,24,26.0,#d7ccee,4. cap/ci,0.04568495662264667
136,24,26.0,#debb9b,4. cap/ci,0.0039425014006708
137,24,26.0,#e0baa1,4. cap/ci,0.850972816291336
138,24,26.0,#e6b6b4,4. cap/ci,0.22222119876213647
139,24,26.0,#ff9f9b,4. cap/ci,0.29841979633497584
140,24,26.0,#ffb482,4. cap/ci,0.810590648417513
141,24,27.0,#8de5a1,4. cap/ci,15.734938680753396
142,24,27.0,#a1c9f4,4. cap/ci,0.27554306856304445
143,24,27.0,#a3cfad,4. cap/ci,8.062126622561344
144,24,27.0,#b6cadf,4. cap/ci,1.1786987595067104
