,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,1.1522767957508635
1,0,8.0,#b6cadf,1. imp region,4.067653075759622
2,0,8.0,#cdbcac,1. imp region,0.10994704281592585
3,0,8.0,#d7ccee,1. imp region,0.1144544182647506
4,0,8.0,#e0baa1,1. imp region,4.339662642316761
5,0,8.0,#e6b6b4,1. imp region,0.24445350945531563
6,1,8.0,#a3cfad,1. imp region,13.289763004467806
7,1,8.0,#b6cadf,1. imp region,7.014716407887813
8,1,8.0,#cdbcac,1. imp region,3.183272764988413
9,1,8.0,#d7ccee,1. imp region,0.9815256692152711
10,1,8.0,#e0baa1,1. imp region,24.02298924300034
11,1,8.0,#e6b6b4,1. imp region,2.262513561539603
12,2,8.0,#a3cfad,1. imp region,7.034753473154455
13,2,8.0,#b6cadf,1. imp region,8.867293124631358
14,2,8.0,#cdbcac,1. imp region,4.087778308683247
15,2,8.0,#d7ccee,1. imp region,1.7343884644256042
16,2,8.0,#e0baa1,1. imp region,10.3570843027514
17,2,8.0,#e6b6b4,1. imp region,2.045506181018323
18,3,8.0,#a3cfad,1. imp region,4.807016197237692
19,3,8.0,#b6cadf,1. imp region,1.365189615439534
20,3,8.0,#cdbcac,1. imp region,1.3193569207725475
21,3,8.0,#d7ccee,1. imp region,0.3544828543420037
22,3,8.0,#e0baa1,1. imp region,7.1358755206247535
23,3,8.0,#e6b6b4,1. imp region,1.8076125453039409
24,4,9.0,#8de5a1,1. imp region,29.224565057114525
25,4,9.0,#a1c9f4,1. imp region,30.539932728429896
26,4,9.0,#cfcfcf,1. imp region,30.39770758231
27,4,9.0,#d0bbff,1. imp region,17.474609318153405
28,4,9.0,#debb9b,1. imp region,23.561998066315645
29,4,9.0,#ff9f9b,1. imp region,20.64290485965388
30,4,9.0,#ffb482,1. imp region,48.951163734280414
31,5,8.0,#a3cfad,1. imp region,1.3429261468930584
32,5,8.0,#b6cadf,1. imp region,0.7161722514117426
33,5,8.0,#cdbcac,1. imp region,0.3926335798353242
34,5,8.0,#d7ccee,1. imp region,0.14103820257508223
35,5,8.0,#e0baa1,1. imp region,3.443773650334019
36,5,8.0,#e6b6b4,1. imp region,0.4133350043780778
37,6,8.0,#a3cfad,1. imp region,0.16103085884537657
38,6,8.0,#b6cadf,1. imp region,0.6555974300412525
39,6,8.0,#cdbcac,1. imp region,0.05299988881555231
40,6,8.0,#d7ccee,1. imp region,0.033850198317602234
41,6,8.0,#e0baa1,1. imp region,0.33991149056302056
42,6,8.0,#e6b6b4,1. imp region,0.03830940951762574
43,7,8.0,#a3cfad,1. imp region,1.4532226419191465
44,7,8.0,#b6cadf,1. imp region,4.590994461871233
