,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.4419745231987221
1,0,8.0,#b6cadf,1. imp region,0.9202225494749109
2,0,8.0,#cdbcac,1. imp region,0.17455915323548152
3,0,8.0,#d7ccee,1. imp region,0.1603141956888717
4,0,8.0,#e0baa1,1. imp region,0.9723872060993718
5,0,8.0,#e6b6b4,1. imp region,0.1048534642910482
6,1,8.0,#a3cfad,1. imp region,2.972885965436026
7,1,8.0,#b6cadf,1. imp region,1.982771897430686
8,1,8.0,#cdbcac,1. imp region,5.713148882205753
9,1,8.0,#d7ccee,1. imp region,0.38572834589935506
10,1,8.0,#e0baa1,1. imp region,5.611454283023502
11,1,8.0,#e6b6b4,1. imp region,0.8305699723779257
12,2,8.0,#a3cfad,1. imp region,3.9900560544853767
13,2,8.0,#b6cadf,1. imp region,1.3893114885638997
14,2,8.0,#cdbcac,1. imp region,3.1813734892132906
15,2,8.0,#d7ccee,1. imp region,0.6910204663308932
16,2,8.0,#e0baa1,1. imp region,3.957773837977967
17,2,8.0,#e6b6b4,1. imp region,1.1750800264225751
18,3,8.0,#a3cfad,1. imp region,0.6352797580919299
19,3,8.0,#b6cadf,1. imp region,0.19046333993645823
20,3,8.0,#cdbcac,1. imp region,1.1848028954605005
21,3,8.0,#d7ccee,1. imp region,0.14069757247280054
22,3,8.0,#e0baa1,1. imp region,0.8710400444625006
23,3,8.0,#e6b6b4,1. imp region,0.2585736659010706
24,4,9.0,#8de5a1,1. imp region,6.507230369147486
25,4,9.0,#a1c9f4,1. imp region,6.78064584872478
26,4,9.0,#cfcfcf,1. imp region,5.24842354006038
27,4,9.0,#d0bbff,1. imp region,4.703757372148455
28,4,9.0,#debb9b,1. imp region,27.8323699731525
29,4,9.0,#ff9f9b,1. imp region,2.1627516744680286
30,4,9.0,#ffb482,1. imp region,24.21363527439913
31,5,8.0,#a3cfad,1. imp region,0.41696165439761135
32,5,8.0,#b6cadf,1. imp region,0.1596510978391774
33,5,8.0,#cdbcac,1. imp region,0.6578645608673444
