,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.4351299836408993
1,0,8.0,#b6cadf,1. imp region,1.403869932186373
2,0,8.0,#cdbcac,1. imp region,0.13609634983325378
3,0,8.0,#d7ccee,1. imp region,0.1606261477240299
4,0,8.0,#e0baa1,1. imp region,1.010701192665541
5,0,8.0,#e6b6b4,1. imp region,0.21052857795174
6,1,8.0,#a3cfad,1. imp region,6.718051426176726
7,1,8.0,#b6cadf,1. imp region,3.4515757394791904
8,1,8.0,#cdbcac,1. imp region,3.742962679447569
9,1,8.0,#d7ccee,1. imp region,1.0413634242312535
10,1,8.0,#e0baa1,1. imp region,24.970695362379928
11,1,8.0,#e6b6b4,1. imp region,1.6431614596627888
12,2,8.0,#a3cfad,1. imp region,5.49284142315083
13,2,8.0,#b6cadf,1. imp region,4.002502099027476
14,2,8.0,#cdbcac,1. imp region,2.0870176846476625
15,2,8.0,#d7ccee,1. imp region,1.2937687478180355
16,2,8.0,#e0baa1,1. imp region,7.5816645184025
17,2,8.0,#e6b6b4,1. imp region,1.9378547044625825
18,3,8.0,#a3cfad,1. imp region,0.987185855768676
19,3,8.0,#b6cadf,1. imp region,0.4089860980935623
20,3,8.0,#cdbcac,1. imp region,0.5026165029210067
21,3,8.0,#d7ccee,1. imp region,0.18334029505546812
22,3,8.0,#e0baa1,1. imp region,1.5439820377798161
23,3,8.0,#e6b6b4,1. imp region,0.46305311414061756
24,4,8.0,#a3cfad,1. imp region,0.4947316754686535
25,4,8.0,#b6cadf,1. imp region,0.2554170442665113
26,4,8.0,#cdbcac,1. imp region,0.36889579994042954
27,4,8.0,#d7ccee,1. imp region,0.08562251608124241
28,4,8.0,#e0baa1,1. imp region,1.3755683078532328
29,4,8.0,#e6b6b4,1. imp region,0.16343800655839805
30,5,8.0,#a3cfad,1. imp region,0.0712727561148629
31,5,8.0,#b6cadf,1. imp region,0.08616876700238726
32,5,8.0,#cdbcac,1. imp region,0.03942803075696907
33,5,8.0,#d7ccee,1. imp region,0.045075703017524664
34,5,8.0,#e0baa1,1. imp region,0.20255670865095204
35,5,8.0,#e6b6b4,1. imp region,0.01447638282368478
36,6,9.0,#8de5a1,1. imp region,61.393510121687335
37,6,9.0,#a1c9f4,1. imp region,50.628176040504606
38,6,9.0,#cfcfcf,1. imp region,56.47436955362
39,6,9.0,#d0bbff,1. imp region,34.35989771614986
40,6,9.0,#debb9b,1. imp region,3.5816967733633644
41,6,9.0,#ff9f9b,1. imp region,11.259050065783146
42,6,9.0,#ffb482,1. imp region,163.73222231099135
43,7,8.0,#a3cfad,1. imp region,0.5648254608436868
44,7,8.0,#b6cadf,1. imp region,0.852321772600389
45,7,8.0,#cdbcac,1. imp region,0.11403889652183043
46,7,8.0,#d7ccee,1. imp region,0.0589832077311854
47,7,8.0,#e0baa1,1. imp region,0.6357150372932733
48,7,8.0,#e6b6b4,1. imp region,0.08306763258506397
49,8,10.0,#b6cadf,2. imp/dom,10.460841452655885
50,8,12.0,#e0baa1,2. imp/dom,37.32088316502524
51,8,14.0,#a3cfad,2. imp/dom,14.76403858116433
52,8,16.0,#e6b6b4,2. imp/dom,4.515579878184879
53,8,18.0,#d7ccee,2. imp/dom,2.8687800416587357
54,8,20.0,#cdbcac,2. imp/dom,6.991055944068721
55,9,11.0,#a1c9f4,2. imp/dom,50.628176040504606
56,9,13.0,#ffb482,2. imp/dom,163.73222231099135
57,9,15.0,#8de5a1,2. imp/dom,61.393510121687335
58,9,17.0,#ff9f9b,2. imp/dom,11.259050065783146
59,9,19.0,#d0bbff,2. imp/dom,34.35989771614986
60,9,21.0,#debb9b,2. imp/dom,3.5816967733633644
61,9,22.0,#cfcfcf,2. imp/dom,56.47436955362
62,10,23.0,#b6cadf,3. primaire,9.686062820882396
63,10,24.0,#b6cadf,3. primaire,0.7747786317734843
