,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.35047866116132803
1,0,8.0,#b6cadf,1. imp region,0.9292716954980145
2,0,8.0,#cdbcac,1. imp region,0.14079441475757168
3,0,8.0,#d7ccee,1. imp region,0.08844851416433372
4,0,8.0,#e0baa1,1. imp region,3.2177964799239325
5,0,8.0,#e6b6b4,1. imp region,0.09462442568978159
6,1,8.0,#a3cfad,1. imp region,2.286284812069519
7,1,8.0,#b6cadf,1. imp region,1.3560106535107002
8,1,8.0,#cdbcac,1. imp region,1.4367113255612265
9,1,8.0,#d7ccee,1. imp region,0.34649695291550625
10,1,8.0,#e0baa1,1. imp region,4.892011440853788
11,1,8.0,#e6b6b4,1. imp region,0.5010706981438309
12,2,8.0,#a3cfad,1. imp region,3.007068807709288
13,2,8.0,#b6cadf,1. imp region,3.8579539707957085
14,2,8.0,#cdbcac,1. imp region,1.550279329634809
15,2,8.0,#d7ccee,1. imp region,0.5692876555188825
16,2,8.0,#e0baa1,1. imp region,4.1262914981350285
17,2,8.0,#e6b6b4,1. imp region,1.2506761945216303
18,3,8.0,#a3cfad,1. imp region,0.6514944216841174
19,3,8.0,#b6cadf,1. imp region,0.16747987395551217
20,3,8.0,#cdbcac,1. imp region,0.7865963230634484
21,3,8.0,#d7ccee,1. imp region,0.11453867447895608
22,3,8.0,#e0baa1,1. imp region,1.8275054406183542
23,3,8.0,#e6b6b4,1. imp region,0.36968034823259793
24,4,8.0,#a3cfad,1. imp region,0.21864792103235967
25,4,8.0,#b6cadf,1. imp region,0.15671803807411264
26,4,8.0,#cdbcac,1. imp region,0.28963386341033426
27,4,8.0,#d7ccee,1. imp region,0.04260003134652811
28,4,8.0,#e0baa1,1. imp region,0.6980261787162478
29,4,8.0,#e6b6b4,1. imp region,0.08637549949479133
30,5,8.0,#a3cfad,1. imp region,0.04098673238580988
31,5,8.0,#b6cadf,1. imp region,0.04499366350215919
32,5,8.0,#cdbcac,1. imp region,0.05353434059834178
33,5,8.0,#d7ccee,1. imp region,0.02069129156920569
34,5,8.0,#e0baa1,1. imp region,0.0885457876385617
35,5,8.0,#e6b6b4,1. imp region,0.00742839911352314
36,6,9.0,#8de5a1,1. imp region,16.71690872390378
37,6,9.0,#a1c9f4,1. imp region,8.858015574446624
38,6,9.0,#cfcfcf,1. imp region,12.660707873522899
39,6,9.0,#d0bbff,1. imp region,3.3321440883880693
40,6,9.0,#debb9b,1. imp region,4.202219754156513
41,6,9.0,#ff9f9b,1. imp region,2.108920485596321
42,6,9.0,#ffb482,1. imp region,20.33995521293813
43,7,8.0,#a3cfad,1. imp region,0.46771823002053625
44,7,8.0,#b6cadf,1. imp region,0.9386358018272724
45,7,8.0,#cdbcac,1. imp region,0.17082906060167502
46,7,8.0,#d7ccee,1. imp region,0.03390544977397003
47,7,8.0,#e0baa1,1. imp region,0.9414391292691203
48,7,8.0,#e6b6b4,1. imp region,0.03094968753645035
49,8,10.0,#b6cadf,2. imp/dom,7.451063697163487
50,8,12.0,#e0baa1,2. imp/dom,15.791615955155047
51,8,14.0,#a3cfad,2. imp/dom,7.022679586062956
52,8,16.0,#e6b6b4,2. imp/dom,2.3408052527326064
53,8,18.0,#d7ccee,2. imp/dom,1.2159685697673817
54,8,20.0,#cdbcac,2. imp/dom,4.428378657627408
55,9,11.0,#a1c9f4,2. imp/dom,8.858015574446624
56,9,13.0,#ffb482,2. imp/dom,20.33995521293813
57,9,15.0,#8de5a1,2. imp/dom,16.71690872390378
58,9,17.0,#ff9f9b,2. imp/dom,2.108920485596321
59,9,19.0,#d0bbff,2. imp/dom,3.3321440883880693
60,9,21.0,#debb9b,2. imp/dom,4.202219754156513
61,9,22.0,#cfcfcf,2. imp/dom,12.660707873522899
62,10,23.0,#b6cadf,3. primaire,6.864149375213485
63,10,24.0,#b6cadf,3. primaire,0.5869143219499959
64,11,23.0,#a1c9f4,3. primaire,6.789992662745181
65,11,24.0,#a1c9f4,3. primaire,2.0680229117014424
66,12,23.0,#e0baa1,3. primaire,12.556376966545539
67,12,24.0,#e0baa1,3. primaire,3.2352389886095003
68,13,23.0,#ffb482,3. primaire,18.34024311596958
69,13,24.0,#ffb482,3. primaire,1.9997120969685434
70,14,23.0,#a3cfad,3. primaire,4.208385118536506
71,14,24.0,#a3cfad,3. primaire,2.8142944675264556
72,15,23.0,#8de5a1,3. primaire,10.459734895811371
73,15,24.0,#8de5a1,3. primaire,6.257173828092402
74,16,23.0,#e6b6b4,3. primaire,1.5528818334877326
75,16,24.0,#e6b6b4,3. primaire,0.7879234192448736
76,17,23.0,#ff9f9b,3. primaire,1.0019068074446957
77,17,24.0,#ff9f9b,3. primaire,1.1070136781516213
78,18,23.0,#d7ccee,3. primaire,0.979927613419742
79,18,24.0,#d7ccee,3. primaire,0.23604095634764075
80,19,23.0,#d0bbff,3. primaire,3.11329219701349
81,19,24.0,#d0bbff,3. primaire,0.21885189137457875
82,20,23.0,#cdbcac,3. primaire,4.035815057729721
83,20,24.0,#cdbcac,3. primaire,0.3925635998976862
84,21,23.0,#debb9b,3. primaire,3.9823304547399805
85,21,24.0,#debb9b,3. primaire,0.21988929941653232
86,22,25.0,#cfcfcf,3. primaire,12.660707873522899
87,23,26.0,#8de5a1,4. cap/ci,3.0947766138512955
88,23,26.0,#a1c9f4,4. cap/ci,0.15629462954099207
89,23,26.0,#a3cfad,4. cap/ci,0.5375290084318965
90,23,26.0,#b6cadf,4. cap/ci,0.33540601012219806
91,23,26.0,#cdbcac,4. cap/ci,0.7965366653213857
92,23,26.0,#d0bbff,4. cap/ci,0.6648784928261662
93,23,26.0,#d7ccee,4. cap/ci,0.11136087049103201
94,23,26.0,#debb9b,4. cap/ci,0.3973978643132237
95,23,26.0,#e0baa1,4. cap/ci,1.3755247357608589
96,23,26.0,#e6b6b4,4. cap/ci,0.138155045986787
97,23,26.0,#ff9f9b,4. cap/ci,0.053520545548074935
98,23,26.0,#ffb482,4. cap/ci,1.556310084154374
99,23,27.0,#8de5a1,4. cap/ci,4.217764735688495
100,23,27.0,#a1c9f4,4. cap/ci,4.7995726609950395
101,23,27.0,#a3cfad,4. cap/ci,3.6108205648475993
102,23,27.0,#b6cadf,4. cap/ci,6.507920492914484
103,23,27.0,#cdbcac,4. cap/ci,3.2291344401361215
104,23,27.0,#d0bbff,4. cap/ci,2.1487386310704295
105,23,27.0,#d7ccee,4. cap/ci,0.8641276532471381
106,23,27.0,#debb9b,4. cap/ci,2.0259297290903713
107,23,27.0,#e0baa1,4. cap/ci,11.007349876807412
108,23,27.0,#e6b6b4,4. cap/ci,1.4067188030501487
109,23,27.0,#ff9f9b,4. cap/ci,0.556430330203272
110,23,27.0,#ffb482,4. cap/ci,13.964950792192074
111,23,28.0,#8de5a1,4. cap/ci,0.28328610445762853
112,23,28.0,#a1c9f4,4. cap/ci,0.04127145933913067
113,23,28.0,#a3cfad,4. cap/ci,0.06003554525700872
114,23,28.0,#b6cadf,4. cap/ci,0.020822872176799692
115,23,28.0,#cdbcac,4. cap/ci,0.010143952272212505
116,23,28.0,#d0bbff,4. cap/ci,0.0037253901110628875
117,23,28.0,#d7ccee,4. cap/ci,0.004439089681571219
118,23,28.0,#debb9b,4. cap/ci,0.001611479153221813
119,23,28.0,#e0baa1,4. cap/ci,0.17350235397726343
120,23,28.0,#e6b6b4,4. cap/ci,0.008007984450796195
121,23,28.0,#ff9f9b,4. cap/ci,0.008472907553941924
122,23,28.0,#ffb482,4. cap/ci,0.07167237154132876
123,23,29.0,#8de5a1,4. cap/ci,2.8639074418139567
124,23,29.0,#a1c9f4,4. cap/ci,1.7928539128700165
125,23,29.0,#d0bbff,4. cap/ci,0.29594968300583113
126,23,29.0,#debb9b,4. cap/ci,1.5573913821831626
127,23,29.0,#ff9f9b,4. cap/ci,0.3834830241394084
128,23,29.0,#ffb482,4. cap/ci,2.747309868081792
129,24,26.0,#8de5a1,4. cap/ci,0.9420116426115207
130,24,26.0,#a1c9f4,4. cap/ci,0.06540101643696096
131,24,26.0,#a3cfad,4. cap/ci,0.4807196940621186
132,24,26.0,#b6cadf,4. cap/ci,0.07314875687815393
133,24,26.0,#cdbcac,4. cap/ci,0.06771309687144042
134,24,26.0,#d0bbff,4. cap/ci,0.031295120616989296
135,24,26.0,#d7ccee,4. cap/ci,0.03805353021286217
136,24,26.0,#debb9b,4. cap/ci,0.015691795026652012
137,24,26.0,#e0baa1,4. cap/ci,0.5689335895910259
138,24,26.0,#e6b6b4,4. cap/ci,0.11573725880029986
139,24,26.0,#ff9f9b,4. cap/ci,0.18877153201364466
140,24,26.0,#ffb482,4. cap/ci,0.2700362102074067
141,24,27.0,#8de5a1,4. cap/ci,3.327597447285315
142,24,27.0,#a1c9f4,4. cap/ci,1.4050147819912855
