,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.26303867288865473
1,0,8.0,#b6cadf,1. imp region,0.3089075199219555
2,0,8.0,#cdbcac,1. imp region,0.03015903653744409
3,0,8.0,#d7ccee,1. imp region,0.03718324522593835
4,0,8.0,#e0baa1,1. imp region,0.40553690737054376
5,0,8.0,#e6b6b4,1. imp region,0.05891324582054425
6,1,8.0,#a3cfad,1. imp region,2.219251715595364
7,1,8.0,#b6cadf,1. imp region,0.8925324514479738
8,1,8.0,#cdbcac,1. imp region,0.5957386245382286
9,1,8.0,#d7ccee,1. imp region,0.24973917241973947
10,1,8.0,#e0baa1,1. imp region,8.864671085110825
11,1,8.0,#e6b6b4,1. imp region,0.33717433499012106
12,2,8.0,#a3cfad,1. imp region,2.7257399017508663
13,2,8.0,#b6cadf,1. imp region,2.083208997022268
14,2,8.0,#cdbcac,1. imp region,0.631946060267955
15,2,8.0,#d7ccee,1. imp region,0.5268962570582036
16,2,8.0,#e0baa1,1. imp region,3.160029140254066
17,2,8.0,#e6b6b4,1. imp region,0.842307934174843
18,3,8.0,#a3cfad,1. imp region,0.7812438889480496
19,3,8.0,#b6cadf,1. imp region,0.22071610366280348
20,3,8.0,#cdbcac,1. imp region,0.225913385815028
21,3,8.0,#d7ccee,1. imp region,0.08643347587721628
22,3,8.0,#e0baa1,1. imp region,0.7276194700669423
23,3,8.0,#e6b6b4,1. imp region,0.24765976833954617
24,4,8.0,#a3cfad,1. imp region,0.16770156209581236
25,4,8.0,#b6cadf,1. imp region,0.06892309759592492
26,4,8.0,#cdbcac,1. imp region,0.11589969920390386
27,4,8.0,#d7ccee,1. imp region,0.025474305421780728
28,4,8.0,#e0baa1,1. imp region,0.39107877876487734
29,4,8.0,#e6b6b4,1. imp region,0.04875691991790529
30,5,8.0,#a3cfad,1. imp region,0.028845356193192832
31,5,8.0,#b6cadf,1. imp region,0.027091642495309147
32,5,8.0,#cdbcac,1. imp region,0.016374111706277027
33,5,8.0,#d7ccee,1. imp region,0.011741205802323384
34,5,8.0,#e0baa1,1. imp region,0.04665895106859511
35,5,8.0,#e6b6b4,1. imp region,0.008818100866457974
36,6,9.0,#8de5a1,1. imp region,16.30263488012771
37,6,9.0,#a1c9f4,1. imp region,18.436317356313292
38,6,9.0,#cfcfcf,1. imp region,19.765932627951
39,6,9.0,#d0bbff,1. imp region,1.6379259107716937
40,6,9.0,#debb9b,1. imp region,1.5953741156853825
41,6,9.0,#ff9f9b,1. imp region,1.7394421444460892
42,6,9.0,#ffb482,1. imp region,32.23828867682437
43,7,8.0,#a3cfad,1. imp region,0.16066569499265743
44,7,8.0,#b6cadf,1. imp region,0.22826736722708832
45,7,8.0,#cdbcac,1. imp region,0.02725303960443972
46,7,8.0,#d7ccee,1. imp region,0.01347729083485603
47,7,8.0,#e0baa1,1. imp region,0.15483907352106616
48,7,8.0,#e6b6b4,1. imp region,0.010968051236635464
49,8,10.0,#b6cadf,2. imp/dom,3.8296471793733233
50,8,12.0,#e0baa1,2. imp/dom,13.750433406156931
51,8,14.0,#a3cfad,2. imp/dom,6.346486792464601
52,8,16.0,#e6b6b4,2. imp/dom,1.5545983553460545
53,8,18.0,#d7ccee,2. imp/dom,0.950944952640058
54,8,20.0,#cdbcac,2. imp/dom,1.6432839576732752
55,9,11.0,#a1c9f4,2. imp/dom,18.436317356313292
56,9,13.0,#ffb482,2. imp/dom,32.23828867682437
