,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,1.0958173375888125
1,0,8.0,#b6cadf,1. imp region,2.777912818461055
2,0,8.0,#cdbcac,1. imp region,0.3023773575954905
3,0,8.0,#d7ccee,1. imp region,0.23220500214151785
4,0,8.0,#e0baa1,1. imp region,2.1275046570935086
5,0,8.0,#e6b6b4,1. imp region,0.20871692470870665
6,1,8.0,#a3cfad,1. imp region,21.127329393971028
7,1,8.0,#b6cadf,1. imp region,14.121417876856531
8,1,8.0,#cdbcac,1. imp region,4.199705144480861
9,1,8.0,#d7ccee,1. imp region,1.6142465619327728
10,1,8.0,#e0baa1,1. imp region,39.29561969035605
11,1,8.0,#e6b6b4,1. imp region,5.226854334487899
12,2,8.0,#a3cfad,1. imp region,21.50845528985603
13,2,8.0,#b6cadf,1. imp region,18.815256913650938
14,2,8.0,#cdbcac,1. imp region,5.1293075478049
15,2,8.0,#d7ccee,1. imp region,2.811726071584058
16,2,8.0,#e0baa1,1. imp region,21.448621091372708
17,2,8.0,#e6b6b4,1. imp region,4.665514454882138
18,3,8.0,#a3cfad,1. imp region,2.797315640382763
19,3,8.0,#b6cadf,1. imp region,2.1080083591086667
20,3,8.0,#cdbcac,1. imp region,1.4091811883723393
21,3,8.0,#d7ccee,1. imp region,0.29672698307334083
22,3,8.0,#e0baa1,1. imp region,4.052328744475029
23,3,8.0,#e6b6b4,1. imp region,1.191742325854808
24,4,8.0,#a3cfad,1. imp region,2.707809624489325
25,4,8.0,#b6cadf,1. imp region,1.953921088761255
26,4,8.0,#cdbcac,1. imp region,1.316087399574453
27,4,8.0,#d7ccee,1. imp region,0.2455573841317699
28,4,8.0,#e0baa1,1. imp region,2.8633724233902127
29,4,8.0,#e6b6b4,1. imp region,0.39208649423819036
30,5,8.0,#a3cfad,1. imp region,0.35498327797018453
31,5,8.0,#b6cadf,1. imp region,1.5006308849809094
32,5,8.0,#cdbcac,1. imp region,0.1094575685433366
33,5,8.0,#d7ccee,1. imp region,0.13244481677549202
34,5,8.0,#e0baa1,1. imp region,0.64703133194388
35,5,8.0,#e6b6b4,1. imp region,0.043031819426713136
36,6,9.0,#8de5a1,1. imp region,216.00639245120325
37,6,9.0,#a1c9f4,1. imp region,108.69693968441656
38,6,9.0,#cfcfcf,1. imp region,210.68657931382
39,6,9.0,#d0bbff,1. imp region,145.7932047976597
40,6,9.0,#debb9b,1. imp region,114.82343042419524
41,6,9.0,#ff9f9b,1. imp region,37.58096520592417
42,6,9.0,#ffb482,1. imp region,1014.6112380798553
43,7,8.0,#a3cfad,1. imp region,8.045834217210425
44,7,8.0,#b6cadf,1. imp region,25.216089921372777
45,7,8.0,#cdbcac,1. imp region,0.3931296262550507
46,7,8.0,#d7ccee,1. imp region,0.15339391789932347
47,7,8.0,#e0baa1,1. imp region,1.6754160615629254
48,7,8.0,#e6b6b4,1. imp region,0.17294190271263593
49,8,10.0,#b6cadf,2. imp/dom,66.49323786319215
50,8,12.0,#e0baa1,2. imp/dom,72.10989400019434
51,8,14.0,#a3cfad,2. imp/dom,57.637544781468584
52,8,16.0,#e6b6b4,2. imp/dom,11.900888256311093
53,8,18.0,#d7ccee,2. imp/dom,5.486300737538279
54,8,20.0,#cdbcac,2. imp/dom,12.859245832626431
55,9,11.0,#a1c9f4,2. imp/dom,108.69693968441656
56,9,13.0,#ffb482,2. imp/dom,1014.6112380798553
57,9,15.0,#8de5a1,2. imp/dom,216.00639245120325
58,9,17.0,#ff9f9b,2. imp/dom,37.58096520592417
