,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.20285916106261556
1,0,8.0,#b6cadf,1. imp region,1.0162870504793624
2,0,8.0,#cdbcac,1. imp region,0.13788901202877923
3,0,8.0,#d7ccee,1. imp region,0.15355267100583023
4,0,8.0,#e0baa1,1. imp region,1.1181445361171354
5,0,8.0,#e6b6b4,1. imp region,0.08289821762087869
6,1,8.0,#a3cfad,1. imp region,3.6131128125074645
7,1,8.0,#b6cadf,1. imp region,3.3484407925489057
8,1,8.0,#cdbcac,1. imp region,3.2220459579807037
9,1,8.0,#d7ccee,1. imp region,0.748561312301016
10,1,8.0,#e0baa1,1. imp region,17.37221557631363
11,1,8.0,#e6b6b4,1. imp region,1.030986883155321
12,2,8.0,#a3cfad,1. imp region,4.807582066407912
13,2,8.0,#b6cadf,1. imp region,3.3475634976387205
14,2,8.0,#cdbcac,1. imp region,1.941826286322595
15,2,8.0,#d7ccee,1. imp region,1.0528339377240372
16,2,8.0,#e0baa1,1. imp region,6.80354905130282
17,2,8.0,#e6b6b4,1. imp region,1.8367445005087748
18,3,8.0,#a3cfad,1. imp region,0.46717227870470945
19,3,8.0,#b6cadf,1. imp region,0.24738889824563198
20,3,8.0,#cdbcac,1. imp region,0.5862793783076085
21,3,8.0,#d7ccee,1. imp region,0.13822944103815468
22,3,8.0,#e0baa1,1. imp region,1.4159302325909287
23,3,8.0,#e6b6b4,1. imp region,0.3809322238992174
24,4,8.0,#a3cfad,1. imp region,0.6943609319406816
25,4,8.0,#b6cadf,1. imp region,0.26550020695964477
26,4,8.0,#cdbcac,1. imp region,0.3977098765743539
27,4,8.0,#d7ccee,1. imp region,0.17786739812598532
28,4,8.0,#e0baa1,1. imp region,1.7491533914836486
29,4,8.0,#e6b6b4,1. imp region,0.2589428209052216
30,5,8.0,#a3cfad,1. imp region,0.08991595229894894
31,5,8.0,#b6cadf,1. imp region,0.19789321199508164
32,5,8.0,#cdbcac,1. imp region,0.04653756436579579
33,5,8.0,#d7ccee,1. imp region,0.033393769689139756
34,5,8.0,#e0baa1,1. imp region,0.37291979215155246
35,5,8.0,#e6b6b4,1. imp region,0.01838074431325574
36,6,9.0,#8de5a1,1. imp region,19.35317451571449
37,6,9.0,#a1c9f4,1. imp region,10.671751827394106
38,6,9.0,#cfcfcf,1. imp region,19.6049644610516
39,6,9.0,#d0bbff,1. imp region,5.202554056851726
40,6,9.0,#debb9b,1. imp region,7.464616260095893
41,6,9.0,#ff9f9b,1. imp region,3.3070074971245544
42,6,9.0,#ffb482,1. imp region,12.368853221222103
43,7,8.0,#a3cfad,1. imp region,0.3346888116563605
44,7,8.0,#b6cadf,1. imp region,0.8634439295444288
45,7,8.0,#cdbcac,1. imp region,0.1591837386750243
46,7,8.0,#d7ccee,1. imp region,0.033190661801859866
47,7,8.0,#e0baa1,1. imp region,0.44774796053067684
48,7,8.0,#e6b6b4,1. imp region,0.04308704379333414
49,8,10.0,#b6cadf,2. imp/dom,9.28651758741177
50,8,12.0,#e0baa1,2. imp/dom,29.279660540490415
51,8,14.0,#a3cfad,2. imp/dom,10.2096920145787
52,8,16.0,#e6b6b4,2. imp/dom,3.6519724341960047
53,8,18.0,#d7ccee,2. imp/dom,2.337629191686023
54,8,20.0,#cdbcac,2. imp/dom,6.491471814254861
55,9,11.0,#a1c9f4,2. imp/dom,10.671751827394106
56,9,13.0,#ffb482,2. imp/dom,12.368853221222103
57,9,15.0,#8de5a1,2. imp/dom,19.35317451571449
58,9,17.0,#ff9f9b,2. imp/dom,3.3070074971245544
59,9,19.0,#d0bbff,2. imp/dom,5.202554056851726
60,9,21.0,#debb9b,2. imp/dom,7.464616260095893
61,9,22.0,#cfcfcf,2. imp/dom,19.6049644610516
62,10,23.0,#b6cadf,3. primaire,8.686548053663019
63,10,24.0,#b6cadf,3. primaire,0.5999695337487547
64,11,23.0,#a1c9f4,3. primaire,10.20402075480259
65,11,24.0,#a1c9f4,3. primaire,0.4677310725915152
66,12,23.0,#e0baa1,3. primaire,23.19469244502216
67,12,24.0,#e0baa1,3. primaire,6.084968095468243
68,13,23.0,#ffb482,3. primaire,11.775650230004272
69,13,24.0,#ffb482,3. primaire,0.5932029912178429
70,14,23.0,#a3cfad,3. primaire,6.036944812058231
71,14,24.0,#a3cfad,3. primaire,4.172747202520463
72,15,23.0,#8de5a1,3. primaire,15.030811466500582
73,15,24.0,#8de5a1,3. primaire,4.322363049213908
74,16,23.0,#e6b6b4,3. primaire,2.0702734163034355
75,16,24.0,#e6b6b4,3. primaire,1.5816990178925703
76,17,23.0,#ff9f9b,3. primaire,1.639909630327656
77,17,24.0,#ff9f9b,3. primaire,1.6670978667968948
78,18,23.0,#d7ccee,3. primaire,1.8989838541932695
79,18,24.0,#d7ccee,3. primaire,0.43864533749275403
80,19,23.0,#d0bbff,3. primaire,4.665745748305361
81,19,24.0,#d0bbff,3. primaire,0.5368083085463643
82,20,23.0,#cdbcac,3. primaire,5.564087702489078
83,20,24.0,#cdbcac,3. primaire,0.9273841117657795
84,21,23.0,#debb9b,3. primaire,6.794686090996714
85,21,24.0,#debb9b,3. primaire,0.6699301690991808
86,22,25.0,#cfcfcf,3. primaire,19.6049644610516
87,23,26.0,#8de5a1,4. cap/ci,3.3589073948358377
88,23,26.0,#a1c9f4,4. cap/ci,0.48675238438600443
89,23,26.0,#a3cfad,4. cap/ci,1.212288858655248
90,23,26.0,#b6cadf,4. cap/ci,0.4978703212020135
91,23,26.0,#cdbcac,4. cap/ci,0.8480195914914284
92,23,26.0,#d0bbff,4. cap/ci,1.2350368453734215
93,23,26.0,#d7ccee,4. cap/ci,0.3742273987339282
94,23,26.0,#debb9b,4. cap/ci,0.6990871711278973
95,23,26.0,#e0baa1,4. cap/ci,2.8285317381085453
96,23,26.0,#e6b6b4,4. cap/ci,0.3325264027194928
97,23,26.0,#ff9f9b,4. cap/ci,0.2093321458359826
98,23,26.0,#ffb482,4. cap/ci,0.7751592755693258
99,23,27.0,#8de5a1,4. cap/ci,5.263542639623903
