,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.05253882389868289
1,0,8.0,#b6cadf,1. imp region,0.14938282569260167
2,0,8.0,#cdbcac,1. imp region,0.01820620432440217
3,0,8.0,#d7ccee,1. imp region,0.02745405856709921
4,0,8.0,#e0baa1,1. imp region,0.3312685889704366
5,0,8.0,#e6b6b4,1. imp region,0.017322266411061542
6,1,8.0,#a3cfad,1. imp region,0.7022408586150992
7,1,8.0,#b6cadf,1. imp region,0.3974165982374502
8,1,8.0,#cdbcac,1. imp region,0.22738973515676927
9,1,8.0,#d7ccee,1. imp region,0.11689902428854308
10,1,8.0,#e0baa1,1. imp region,4.518998525128709
11,1,8.0,#e6b6b4,1. imp region,0.15720422043888033
12,2,8.0,#a3cfad,1. imp region,1.077516088187523
13,2,8.0,#b6cadf,1. imp region,0.5509849050846266
14,2,8.0,#cdbcac,1. imp region,0.2854119897568204
15,2,8.0,#d7ccee,1. imp region,0.198818803073453
16,2,8.0,#e0baa1,1. imp region,1.7795446479295456
17,2,8.0,#e6b6b4,1. imp region,0.31192464147852916
18,3,8.0,#a3cfad,1. imp region,0.1634662246137531
19,3,8.0,#b6cadf,1. imp region,0.06291714238177389
20,3,8.0,#cdbcac,1. imp region,0.1084241920961808
21,3,8.0,#d7ccee,1. imp region,0.03959385230050104
22,3,8.0,#e0baa1,1. imp region,0.38062681921050473
23,3,8.0,#e6b6b4,1. imp region,0.06580733290268653
24,4,8.0,#a3cfad,1. imp region,0.054562778353303025
25,4,8.0,#b6cadf,1. imp region,0.024115975071948677
26,4,8.0,#cdbcac,1. imp region,0.039063845960889874
27,4,8.0,#d7ccee,1. imp region,0.009854849537605967
28,4,8.0,#e0baa1,1. imp region,0.15545709273807728
29,4,8.0,#e6b6b4,1. imp region,0.018892802358623242
30,5,8.0,#a3cfad,1. imp region,0.011378685101779138
31,5,8.0,#b6cadf,1. imp region,0.013123001154749497
32,5,8.0,#cdbcac,1. imp region,0.006043353703908966
33,5,8.0,#d7ccee,1. imp region,0.004628356811121172
34,5,8.0,#e0baa1,1. imp region,0.024157434462667594
35,5,8.0,#e6b6b4,1. imp region,0.001622766468873377
36,6,9.0,#8de5a1,1. imp region,2.551920722384835
37,6,9.0,#a1c9f4,1. imp region,2.0808223718038743
38,6,9.0,#cfcfcf,1. imp region,4.4733809235087
39,6,9.0,#d0bbff,1. imp region,1.7589686786891772
40,6,9.0,#debb9b,1. imp region,0.7413544347778448
41,6,9.0,#ff9f9b,1. imp region,1.8830138179300124
42,6,9.0,#ffb482,1. imp region,5.470999976882644
43,7,8.0,#a3cfad,1. imp region,0.14221735747717476
44,7,8.0,#b6cadf,1. imp region,0.15966752697412573
45,7,8.0,#cdbcac,1. imp region,0.019317067030107476
46,7,8.0,#d7ccee,1. imp region,0.009260811931090775
47,7,8.0,#e0baa1,1. imp region,0.10964734041217875
48,7,8.0,#e6b6b4,1. imp region,0.008762428088516742
49,8,10.0,#b6cadf,2. imp/dom,1.357607974597277
50,8,12.0,#e0baa1,2. imp/dom,7.299700448852114
51,8,14.0,#a3cfad,2. imp/dom,2.203920816247317
52,8,16.0,#e6b6b4,2. imp/dom,0.5815364581471708
53,8,18.0,#d7ccee,2. imp/dom,0.4065097565094143
54,8,20.0,#cdbcac,2. imp/dom,0.7038563880290788
55,9,11.0,#a1c9f4,2. imp/dom,2.0808223718038743
56,9,13.0,#ffb482,2. imp/dom,5.470999976882644
57,9,15.0,#8de5a1,2. imp/dom,2.551920722384835
58,9,17.0,#ff9f9b,2. imp/dom,1.8830138179300124
59,9,19.0,#d0bbff,2. imp/dom,1.7589686786891772
60,9,21.0,#debb9b,2. imp/dom,0.7413544347778448
61,9,22.0,#cfcfcf,2. imp/dom,4.4733809235087
62,10,23.0,#b6cadf,3. primaire,1.2273086456572726
63,10,24.0,#b6cadf,3. primaire,0.1302993289400046
64,11,23.0,#a1c9f4,3. primaire,2.002744937067137
65,11,24.0,#a1c9f4,3. primaire,0.07807743473673806
66,12,23.0,#e0baa1,3. primaire,6.415207182423088
67,12,24.0,#e0baa1,3. primaire,0.8844932664290258
68,13,23.0,#ffb482,3. primaire,4.7543338564909385
69,13,24.0,#ffb482,3. primaire,0.7166661203917026
70,14,23.0,#a3cfad,3. primaire,1.489467995817136
71,14,24.0,#a3cfad,3. primaire,0.7144528204301792
72,15,23.0,#8de5a1,3. primaire,1.7042752591762498
73,15,24.0,#8de5a1,3. primaire,0.847645463208584
74,16,23.0,#e6b6b4,3. primaire,0.3324775730150844
75,16,24.0,#e6b6b4,3. primaire,0.24905888513208638
76,17,23.0,#ff9f9b,3. primaire,0.74658981425735
77,17,24.0,#ff9f9b,3. primaire,1.1364240036726623
78,18,23.0,#d7ccee,3. primaire,0.3248297568975488
79,18,24.0,#d7ccee,3. primaire,0.08167999961186552
80,19,23.0,#d0bbff,3. primaire,1.631495629195073
81,19,24.0,#d0bbff,3. primaire,0.12747304949410437
82,20,23.0,#cdbcac,3. primaire,0.5901783861972575
83,20,24.0,#cdbcac,3. primaire,0.11367800183182139
84,21,23.0,#debb9b,3. primaire,0.6626839746467091
85,21,24.0,#debb9b,3. primaire,0.07867046013113557
86,22,25.0,#cfcfcf,3. primaire,4.4733809235087
87,23,26.0,#8de5a1,4. cap/ci,0.11935627835935286
88,23,26.0,#a1c9f4,4. cap/ci,0.03359910172435252
89,23,26.0,#a3cfad,4. cap/ci,0.3517077802707962
90,23,26.0,#b6cadf,4. cap/ci,0.11538688684463555
91,23,26.0,#cdbcac,4. cap/ci,0.059848455573687016
92,23,26.0,#d0bbff,4. cap/ci,0.3233282044090664
93,23,26.0,#d7ccee,4. cap/ci,0.04887687673206435
94,23,26.0,#debb9b,4. cap/ci,0.014140314441932604
95,23,26.0,#e0baa1,4. cap/ci,0.5185629041612327
96,23,26.0,#e6b6b4,4. cap/ci,0.031207454988955333
97,23,26.0,#ff9f9b,4. cap/ci,0.053432684830057565
98,23,26.0,#ffb482,4. cap/ci,0.41225298554204237
99,23,27.0,#8de5a1,4. cap/ci,0.5653770815250416
100,23,27.0,#a1c9f4,4. cap/ci,1.4904708371800395
101,23,27.0,#a3cfad,4. cap/ci,0.9917993087113668
102,23,27.0,#b6cadf,4. cap/ci,1.0234874711373443
103,23,27.0,#cdbcac,4. cap/ci,0.4855657132762731
104,23,27.0,#d0bbff,4. cap/ci,1.0059156687891075
105,23,27.0,#d7ccee,4. cap/ci,0.2522108262191725
106,23,27.0,#debb9b,4. cap/ci,0.14672055609279538
107,23,27.0,#e0baa1,4. cap/ci,2.7891528122367197
108,23,27.0,#e6b6b4,4. cap/ci,0.27183122587875697
109,23,27.0,#ff9f9b,4. cap/ci,0.2016695817688729
110,23,27.0,#ffb482,4. cap/ci,2.682237357116492
111,23,28.0,#8de5a1,4. cap/ci,0.11304864198948919
112,23,28.0,#a1c9f4,4. cap/ci,0.169833135492099
113,23,28.0,#a3cfad,4. cap/ci,0.14596090683497323
114,23,28.0,#b6cadf,4. cap/ci,0.08843428767529161
115,23,28.0,#cdbcac,4. cap/ci,0.044764217347297304
116,23,28.0,#d0bbff,4. cap/ci,0.012894629577215919
117,23,28.0,#d7ccee,4. cap/ci,0.023742053946311847
118,23,28.0,#debb9b,4. cap/ci,0.0039997133708531765
119,23,28.0,#e0baa1,4. cap/ci,3.107491466025141
120,23,28.0,#e6b6b4,4. cap/ci,0.029438892147372102
121,23,28.0,#ff9f9b,4. cap/ci,0.10889318134350565
122,23,28.0,#ffb482,4. cap/ci,0.19773063051805995
123,23,29.0,#8de5a1,4. cap/ci,0.9064932573023662
124,23,29.0,#a1c9f4,4. cap/ci,0.30884186267064545
125,23,29.0,#d0bbff,4. cap/ci,0.2893571264196829
126,23,29.0,#debb9b,4. cap/ci,0.497823390741128
127,23,29.0,#ff9f9b,4. cap/ci,0.38259436631491406
128,23,29.0,#ffb482,4. cap/ci,1.462112883314348
