,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.06696364680848235
1,0,8.0,#b6cadf,1. imp region,0.21644591868086255
2,0,8.0,#cdbcac,1. imp region,0.03394944639280679
3,0,8.0,#d7ccee,1. imp region,0.03360698673523301
4,0,8.0,#e0baa1,1. imp region,0.21746084092813361
5,0,8.0,#e6b6b4,1. imp region,0.030146795002761066
6,1,8.0,#a3cfad,1. imp region,1.4346322676857342
7,1,8.0,#b6cadf,1. imp region,0.6345439433943693
8,1,8.0,#cdbcac,1. imp region,0.7404928836480729
9,1,8.0,#d7ccee,1. imp region,0.196655563226371
10,1,8.0,#e0baa1,1. imp region,24.352960047879307
11,1,8.0,#e6b6b4,1. imp region,0.32324088844572163
12,2,8.0,#a3cfad,1. imp region,1.8612301789891121
13,2,8.0,#b6cadf,1. imp region,1.0407908729655428
14,2,8.0,#cdbcac,1. imp region,0.6526944996364107
15,2,8.0,#d7ccee,1. imp region,0.38945999060247405
16,2,8.0,#e0baa1,1. imp region,2.682581439345914
17,2,8.0,#e6b6b4,1. imp region,0.5212491121525648
18,3,8.0,#a3cfad,1. imp region,0.16220873501972802
19,3,8.0,#b6cadf,1. imp region,0.07113129459667741
20,3,8.0,#cdbcac,1. imp region,0.245965618244827
21,3,8.0,#d7ccee,1. imp region,0.05857163275365521
22,3,8.0,#e0baa1,1. imp region,0.3549364368348345
23,3,8.0,#e6b6b4,1. imp region,0.09541761836996475
24,4,8.0,#a3cfad,1. imp region,0.0883829299974454
25,4,8.0,#b6cadf,1. imp region,0.032309470577533576
26,4,8.0,#cdbcac,1. imp region,0.12321887471109547
27,4,8.0,#d7ccee,1. imp region,0.017760300991531107
28,4,8.0,#e0baa1,1. imp region,0.2441241004722507
29,4,8.0,#e6b6b4,1. imp region,0.0473441591537039
30,5,8.0,#a3cfad,1. imp region,0.016169116875016404
31,5,8.0,#b6cadf,1. imp region,0.02346370505191479
32,5,8.0,#cdbcac,1. imp region,0.01344804101146502
33,5,8.0,#d7ccee,1. imp region,0.008322485147868612
34,5,8.0,#e0baa1,1. imp region,0.03933019650400284
35,5,8.0,#e6b6b4,1. imp region,0.0028232787590574382
36,6,9.0,#8de5a1,1. imp region,9.823632600661115
37,6,9.0,#a1c9f4,1. imp region,3.6097822838093316
38,6,9.0,#cfcfcf,1. imp region,5.043911184861
39,6,9.0,#d0bbff,1. imp region,5.686191017869425
40,6,9.0,#debb9b,1. imp region,2.049311653739728
41,6,9.0,#ff9f9b,1. imp region,2.169984014151008
42,6,9.0,#ffb482,1. imp region,12.702948693579646
43,7,8.0,#a3cfad,1. imp region,0.10580543052238345
44,7,8.0,#b6cadf,1. imp region,0.13270776652027155
45,7,8.0,#cdbcac,1. imp region,0.03215422049700832
46,7,8.0,#d7ccee,1. imp region,0.010745904291857213
47,7,8.0,#e0baa1,1. imp region,0.0995605425329073
48,7,8.0,#e6b6b4,1. imp region,0.00984354779482568
49,8,10.0,#b6cadf,2. imp/dom,2.1513929717871725
50,8,12.0,#e0baa1,2. imp/dom,27.990953604497346
51,8,14.0,#a3cfad,2. imp/dom,3.735392305897903
52,8,16.0,#e6b6b4,2. imp/dom,1.0300653996785993
53,8,18.0,#d7ccee,2. imp/dom,0.7151228637489905
54,8,20.0,#cdbcac,2. imp/dom,1.8419235841416877
55,9,11.0,#a1c9f4,2. imp/dom,3.6097822838093316
56,9,13.0,#ffb482,2. imp/dom,12.702948693579646
57,9,15.0,#8de5a1,2. imp/dom,9.823632600661115
58,9,17.0,#ff9f9b,2. imp/dom,2.169984014151008
59,9,19.0,#d0bbff,2. imp/dom,5.686191017869425
60,9,21.0,#debb9b,2. imp/dom,2.049311653739728
61,9,22.0,#cfcfcf,2. imp/dom,5.043911184861
62,10,23.0,#b6cadf,3. primaire,1.9443482847982612
63,10,24.0,#b6cadf,3. primaire,0.20704468698891143
64,11,23.0,#a1c9f4,3. primaire,2.964659328290823
65,11,24.0,#a1c9f4,3. primaire,0.6451229555185105
66,12,23.0,#e0baa1,3. primaire,26.21771956864209
67,12,24.0,#e0baa1,3. primaire,1.773234035855252
68,13,23.0,#ffb482,3. primaire,11.629410815976145
69,13,24.0,#ffb482,3. primaire,1.073537877603487
70,14,23.0,#a3cfad,3. primaire,2.3953862641735095
71,14,24.0,#a3cfad,3. primaire,1.340006041724392
72,15,23.0,#8de5a1,3. primaire,6.5754802901073575
73,15,24.0,#8de5a1,3. primaire,3.248152310553766
74,16,23.0,#e6b6b4,3. primaire,0.6018826914680815
75,16,24.0,#e6b6b4,3. primaire,0.4281827082105181
76,17,23.0,#ff9f9b,3. primaire,0.9451216405705134
77,17,24.0,#ff9f9b,3. primaire,1.2248623735804944
78,18,23.0,#d7ccee,3. primaire,0.5532652835493738
79,18,24.0,#d7ccee,3. primaire,0.16185758019961644
80,19,23.0,#d0bbff,3. primaire,5.2122401642468
81,19,24.0,#d0bbff,3. primaire,0.47395085362262473
82,20,23.0,#cdbcac,3. primaire,1.6047540027701828
83,20,24.0,#cdbcac,3. primaire,0.23716958137150393
84,21,23.0,#debb9b,3. primaire,1.841425685046723
85,21,24.0,#debb9b,3. primaire,0.20788596869300668
86,22,25.0,#cfcfcf,3. primaire,5.043911184861
87,23,26.0,#8de5a1,4. cap/ci,1.301083393349442
88,23,26.0,#a1c9f4,4. cap/ci,0.147153815297634
89,23,26.0,#a3cfad,4. cap/ci,0.43653512136189826
90,23,26.0,#b6cadf,4. cap/ci,0.1653757878226095
91,23,26.0,#cdbcac,4. cap/ci,0.15925498360897586
92,23,26.0,#d0bbff,4. cap/ci,0.9152302328866153
93,23,26.0,#d7ccee,4. cap/ci,0.05920161013298938
94,23,26.0,#debb9b,4. cap/ci,0.1223350712935815
95,23,26.0,#e0baa1,4. cap/ci,0.9915264799701369
96,23,26.0,#e6b6b4,4. cap/ci,0.04022654589093566
97,23,26.0,#ff9f9b,4. cap/ci,0.055108993769380284
98,23,26.0,#ffb482,4. cap/ci,0.6249364046834204
99,23,27.0,#8de5a1,4. cap/ci,2.185133713356185
100,23,27.0,#a1c9f4,4. cap/ci,1.7766546175810318
101,23,27.0,#a3cfad,4. cap/ci,1.7840418584931101
102,23,27.0,#b6cadf,4. cap/ci,1.7181997329920484
103,23,27.0,#cdbcac,4. cap/ci,1.3341348359220637
104,23,27.0,#d0bbff,4. cap/ci,3.3324273188094815
105,23,27.0,#d7ccee,4. cap/ci,0.4438697431211299
106,23,27.0,#debb9b,4. cap/ci,0.6341382770218275
107,23,27.0,#e0baa1,4. cap/ci,6.029597156887242
108,23,27.0,#e6b6b4,4. cap/ci,0.5276581587667919
109,23,27.0,#ff9f9b,4. cap/ci,0.24061537341473802
110,23,27.0,#ffb482,4. cap/ci,7.428275281104652
111,23,28.0,#8de5a1,4. cap/ci,0.06350523967827099
112,23,28.0,#a1c9f4,4. cap/ci,0.030467041635929802
113,23,28.0,#a3cfad,4. cap/ci,0.1748092843185009
114,23,28.0,#b6cadf,4. cap/ci,0.06077276398360277
115,23,28.0,#cdbcac,4. cap/ci,0.11136418323914321
116,23,28.0,#d0bbff,4. cap/ci,0.012288303171643894
117,23,28.0,#d7ccee,4. cap/ci,0.050193930295254444
118,23,28.0,#debb9b,4. cap/ci,0.005320654426785318
119,23,28.0,#e0baa1,4. cap/ci,19.19659593178472
120,23,28.0,#e6b6b4,4. cap/ci,0.033997986810353514
121,23,28.0,#ff9f9b,4. cap/ci,0.008415124689642924
122,23,28.0,#ffb482,4. cap/ci,1.0082607872203517
123,23,29.0,#8de5a1,4. cap/ci,3.025757943723458
124,23,29.0,#a1c9f4,4. cap/ci,1.0103838537762262
125,23,29.0,#d0bbff,4. cap/ci,0.9522943093790583
126,23,29.0,#debb9b,4. cap/ci,1.0796316823045289
127,23,29.0,#ff9f9b,4. cap/ci,0.6409821486967522
128,23,29.0,#ffb482,4. cap/ci,2.56793834296772
129,24,26.0,#8de5a1,4. cap/ci,0.3721287214678583
130,24,26.0,#a1c9f4,4. cap/ci,0.0741385999771998
131,24,26.0,#a3cfad,4. cap/ci,0.25030893350687244
132,24,26.0,#b6cadf,4. cap/ci,0.03385161139602776
133,24,26.0,#cdbcac,4. cap/ci,0.046969265006545524
