,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.798889377886175
1,0,8.0,#b6cadf,1. imp region,1.8553420321704164
2,0,8.0,#cdbcac,1. imp region,0.11969281268028896
3,0,8.0,#d7ccee,1. imp region,0.1179800923090737
4,0,8.0,#e0baa1,1. imp region,3.6849812544788443
5,0,8.0,#e6b6b4,1. imp region,0.19438191781470163
6,1,8.0,#a3cfad,1. imp region,13.805633438684014
7,1,8.0,#b6cadf,1. imp region,6.6039130397043815
8,1,8.0,#cdbcac,1. imp region,3.5078195417014086
9,1,8.0,#d7ccee,1. imp region,0.9538624423021159
10,1,8.0,#e0baa1,1. imp region,35.12065129948682
11,1,8.0,#e6b6b4,1. imp region,2.5108353896992757
12,2,8.0,#a3cfad,1. imp region,5.422462737275229
13,2,8.0,#b6cadf,1. imp region,3.9852776039604536
14,2,8.0,#cdbcac,1. imp region,3.435416048989504
15,2,8.0,#d7ccee,1. imp region,0.9515802264427098
16,2,8.0,#e0baa1,1. imp region,7.127882461995432
17,2,8.0,#e6b6b4,1. imp region,1.4516304672987996
18,3,8.0,#a3cfad,1. imp region,4.95898026487062
19,3,8.0,#b6cadf,1. imp region,1.1532893922514955
20,3,8.0,#cdbcac,1. imp region,1.8285271101656562
21,3,8.0,#d7ccee,1. imp region,0.2672842913205533
22,3,8.0,#e0baa1,1. imp region,8.173444971014392
23,3,8.0,#e6b6b4,1. imp region,5.126244445470051
24,4,8.0,#a3cfad,1. imp region,0.931378263465095
25,4,8.0,#b6cadf,1. imp region,1.0104656930785576
26,4,8.0,#cdbcac,1. imp region,0.6333042697487208
27,4,8.0,#d7ccee,1. imp region,0.12976818526662656
28,4,8.0,#e0baa1,1. imp region,1.9724962528446561
29,4,8.0,#e6b6b4,1. imp region,0.5197137803419656
30,5,8.0,#a3cfad,1. imp region,0.13225703817040466
31,5,8.0,#b6cadf,1. imp region,0.49796459143158833
32,5,8.0,#cdbcac,1. imp region,0.13199544781209085
33,5,8.0,#d7ccee,1. imp region,0.03731969676608342
34,5,8.0,#e0baa1,1. imp region,0.3677032838416829
35,5,8.0,#e6b6b4,1. imp region,0.03901292237446427
36,6,8.0,#a3cfad,1. imp region,0.899760275430575
37,6,8.0,#b6cadf,1. imp region,6.361902770388204
38,6,8.0,#cdbcac,1. imp region,0.19084250333291836
39,6,8.0,#d7ccee,1. imp region,0.04925224267228756
40,6,8.0,#e0baa1,1. imp region,3.0135520795895223
41,6,8.0,#e6b6b4,1. imp region,0.05595408069474579
42,7,9.0,#8de5a1,1. imp region,105.41151011208483
43,7,9.0,#a1c9f4,1. imp region,89.4445542048008
44,7,9.0,#cfcfcf,1. imp region,50.43800226647
45,7,9.0,#d0bbff,1. imp region,32.71599095527015
46,7,9.0,#debb9b,1. imp region,22.07428212542157
47,7,9.0,#ff9f9b,1. imp region,20.126362074948574
48,7,9.0,#ffb482,1. imp region,132.8671750657249
49,8,10.0,#b6cadf,2. imp/dom,21.468155122985113
50,8,12.0,#e0baa1,2. imp/dom,59.46071160325135
51,8,14.0,#a3cfad,2. imp/dom,26.94936139578213
52,8,16.0,#e6b6b4,2. imp/dom,9.897773003694004
53,8,18.0,#d7ccee,2. imp/dom,2.5070471770794494
54,8,20.0,#cdbcac,2. imp/dom,9.847597734430583
55,9,11.0,#a1c9f4,2. imp/dom,89.4445542048008
56,9,13.0,#ffb482,2. imp/dom,132.8671750657249
57,9,15.0,#8de5a1,2. imp/dom,105.41151011208483
58,9,17.0,#ff9f9b,2. imp/dom,20.126362074948574
59,9,19.0,#d0bbff,2. imp/dom,32.71599095527015
60,9,21.0,#debb9b,2. imp/dom,22.07428212542157
61,9,22.0,#cfcfcf,2. imp/dom,50.43800226647
62,10,23.0,#b6cadf,3. primaire,18.419659521612356
63,10,24.0,#b6cadf,3. primaire,3.0484956013727387
64,11,23.0,#a1c9f4,3. primaire,88.11241272888196
65,11,24.0,#a1c9f4,3. primaire,1.3321414759187709
66,12,23.0,#e0baa1,3. primaire,50.285169869778045
67,12,24.0,#e0baa1,3. primaire,9.1755417334733
68,13,23.0,#ffb482,3. primaire,125.72208750054291
69,13,24.0,#ffb482,3. primaire,7.145087565181979
70,14,23.0,#a3cfad,3. primaire,18.73067677717055
71,14,24.0,#a3cfad,3. primaire,8.218684618611563
72,15,23.0,#8de5a1,3. primaire,81.19811135571626
73,15,24.0,#8de5a1,3. primaire,24.213398756368598
74,16,23.0,#e6b6b4,3. primaire,7.597547435102667
75,16,24.0,#e6b6b4,3. primaire,2.300225568591333
76,17,23.0,#ff9f9b,3. primaire,14.058613097257094
77,17,24.0,#ff9f9b,3. primaire,6.067748977691487
78,18,23.0,#d7ccee,3. primaire,1.877486976117581
79,18,24.0,#d7ccee,3. primaire,0.6295602009618695
80,19,23.0,#d0bbff,3. primaire,31.847591547796924
81,19,24.0,#d0bbff,3. primaire,0.8683994074732349
82,20,23.0,#cdbcac,3. primaire,8.692948780664647
83,20,24.0,#cdbcac,3. primaire,1.1546489537659395
84,21,23.0,#debb9b,3. primaire,20.54580886409444
85,21,24.0,#debb9b,3. primaire,1.5284732613271268
86,22,25.0,#cfcfcf,3. primaire,50.43800226647
87,23,26.0,#8de5a1,4. cap/ci,14.852392513833271
88,23,26.0,#a1c9f4,4. cap/ci,7.283676101819251
89,23,26.0,#a3cfad,4. cap/ci,4.188630410433781
90,23,26.0,#b6cadf,4. cap/ci,2.039097565388652
91,23,26.0,#cdbcac,4. cap/ci,2.114058495611288
92,23,26.0,#d0bbff,4. cap/ci,10.086168669999193
93,23,26.0,#d7ccee,4. cap/ci,0.4556409313793824
94,23,26.0,#debb9b,4. cap/ci,4.3533038257040895
95,23,26.0,#e0baa1,4. cap/ci,9.043020200996594
96,23,26.0,#e6b6b4,4. cap/ci,1.0140645897077862
97,23,26.0,#ff9f9b,4. cap/ci,0.7921074388039314
98,23,26.0,#ffb482,4. cap/ci,24.67162229174417
99,23,27.0,#8de5a1,4. cap/ci,48.106452252701324
