,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.28266207782057357
1,0,8.0,#b6cadf,1. imp region,0.41772978188660037
2,0,8.0,#cdbcac,1. imp region,0.09181704107356378
3,0,8.0,#d7ccee,1. imp region,0.053313660054920026
4,0,8.0,#e0baa1,1. imp region,2.0181386698300137
5,0,8.0,#e6b6b4,1. imp region,0.04396694379758369
6,1,8.0,#a3cfad,1. imp region,15.564219881592743
7,1,8.0,#b6cadf,1. imp region,18.787417238950948
8,1,8.0,#cdbcac,1. imp region,1.9724666639964634
9,1,8.0,#d7ccee,1. imp region,0.6614862522022068
10,1,8.0,#e0baa1,1. imp region,34.60457289999497
11,1,8.0,#e6b6b4,1. imp region,2.950296738105083
12,2,8.0,#a3cfad,1. imp region,3.3141216332684857
13,2,8.0,#b6cadf,1. imp region,1.4376705955949731
14,2,8.0,#cdbcac,1. imp region,1.0675578353737287
15,2,8.0,#d7ccee,1. imp region,0.4103246941783084
16,2,8.0,#e0baa1,1. imp region,2.6269544692370492
17,2,8.0,#e6b6b4,1. imp region,0.4944312479494474
18,3,8.0,#a3cfad,1. imp region,0.8914990284752966
19,3,8.0,#b6cadf,1. imp region,0.16409173587198303
20,3,8.0,#cdbcac,1. imp region,0.34502888682746347
21,3,8.0,#d7ccee,1. imp region,0.08418213189911482
22,3,8.0,#e0baa1,1. imp region,3.43111620777185
23,3,8.0,#e6b6b4,1. imp region,0.15610952941684356
24,4,8.0,#a3cfad,1. imp region,2.1294452509129487
25,4,8.0,#b6cadf,1. imp region,1.3326320957522073
26,4,8.0,#cdbcac,1. imp region,0.3793469024505736
27,4,8.0,#d7ccee,1. imp region,0.14238013429982546
28,4,8.0,#e0baa1,1. imp region,3.880349376639173
29,4,8.0,#e6b6b4,1. imp region,0.3378843170098242
30,5,8.0,#a3cfad,1. imp region,0.4026150573731847
31,5,8.0,#b6cadf,1. imp region,11.185991247511566
32,5,8.0,#cdbcac,1. imp region,0.06045848198731372
33,5,8.0,#d7ccee,1. imp region,0.014370864915382192
34,5,8.0,#e0baa1,1. imp region,0.86804168261998
35,5,8.0,#e6b6b4,1. imp region,0.0748903166345522
36,6,8.0,#a3cfad,1. imp region,0.8651869936595927
37,6,8.0,#b6cadf,1. imp region,1.9221626833095389
38,6,8.0,#cdbcac,1. imp region,0.1838494816818965
39,6,8.0,#d7ccee,1. imp region,0.03559202584981832
40,6,8.0,#e0baa1,1. imp region,0.7581530425785793
41,6,8.0,#e6b6b4,1. imp region,0.10688075851681542
42,7,9.0,#8de5a1,1. imp region,36.40597890617942
