,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,7.486916794652879
1,0,8.0,#b6cadf,1. imp region,12.90547197756326
2,0,8.0,#cdbcac,1. imp region,1.3363935033955743
3,0,8.0,#d7ccee,1. imp region,2.1588378113461415
4,0,8.0,#e0baa1,1. imp region,81.33531978776806
5,0,8.0,#e6b6b4,1. imp region,2.6957051743754366
6,1,8.0,#a3cfad,1. imp region,263.65240812097727
7,1,8.0,#b6cadf,1. imp region,106.9907146888489
8,1,8.0,#cdbcac,1. imp region,72.06820107981972
9,1,8.0,#d7ccee,1. imp region,12.345719850949763
10,1,8.0,#e0baa1,1. imp region,411.88129442865426
11,1,8.0,#e6b6b4,1. imp region,67.12861181385281
12,2,8.0,#a3cfad,1. imp region,44.66057922925292
13,2,8.0,#b6cadf,1. imp region,14.560160702548837
14,2,8.0,#cdbcac,1. imp region,49.04522614332253
15,2,8.0,#d7ccee,1. imp region,13.581821624124862
16,2,8.0,#e0baa1,1. imp region,62.83281753419117
17,2,8.0,#e6b6b4,1. imp region,14.863818960711432
18,3,8.0,#a3cfad,1. imp region,27.8820123319953
19,3,8.0,#b6cadf,1. imp region,7.434783048677718
20,3,8.0,#cdbcac,1. imp region,12.307649967756433
21,3,8.0,#d7ccee,1. imp region,5.566753483846726
22,3,8.0,#e0baa1,1. imp region,77.58265430584933
23,3,8.0,#e6b6b4,1. imp region,27.44610672963673
24,4,8.0,#a3cfad,1. imp region,27.907168937489555
25,4,8.0,#b6cadf,1. imp region,20.109725920474897
26,4,8.0,#cdbcac,1. imp region,4.126842793954133
27,4,8.0,#d7ccee,1. imp region,3.7360360767060357
28,4,8.0,#e0baa1,1. imp region,72.31491962820628
29,4,8.0,#e6b6b4,1. imp region,6.087371908302521
30,5,8.0,#a3cfad,1. imp region,3.210088476198637
31,5,8.0,#b6cadf,1. imp region,11.854258970582716
32,5,8.0,#cdbcac,1. imp region,0.9334544016075694
33,5,8.0,#d7ccee,1. imp region,0.3982493124618178
34,5,8.0,#e0baa1,1. imp region,5.490032748036136
35,5,8.0,#e6b6b4,1. imp region,0.3865760243567519
36,6,8.0,#a3cfad,1. imp region,54.0575824472654
37,6,8.0,#b6cadf,1. imp region,54.94157138838116
38,6,8.0,#cdbcac,1. imp region,4.680680043818187
39,6,8.0,#d7ccee,1. imp region,2.764432111324477
40,6,8.0,#e0baa1,1. imp region,136.33183227948462
41,6,8.0,#e6b6b4,1. imp region,14.269561644731114
42,7,9.0,#8de5a1,1. imp region,564.4554280780045
43,7,9.0,#a1c9f4,1. imp region,629.6397645403621
44,7,9.0,#cfcfcf,1. imp region,1527.1385137
45,7,9.0,#d0bbff,1. imp region,214.36275836582612
46,7,9.0,#debb9b,1. imp region,425.2741814469613
47,7,9.0,#ff9f9b,1. imp region,184.8758312931324
48,7,9.0,#ffb482,1. imp region,2696.501885331896
49,8,10.0,#b6cadf,2. imp/dom,228.7966866970775
50,8,12.0,#e0baa1,2. imp/dom,847.768870712189
51,8,14.0,#a3cfad,2. imp/dom,428.8567563378319
52,8,16.0,#e6b6b4,2. imp/dom,132.87775225596673
53,8,18.0,#d7ccee,2. imp/dom,40.551850270759815
54,8,20.0,#cdbcac,2. imp/dom,144.49844793367404
55,9,11.0,#a1c9f4,2. imp/dom,629.6397645403621
56,9,13.0,#ffb482,2. imp/dom,2696.501885331896
57,9,15.0,#8de5a1,2. imp/dom,564.4554280780045
58,9,17.0,#ff9f9b,2. imp/dom,184.8758312931324
59,9,19.0,#d0bbff,2. imp/dom,214.36275836582612
60,9,21.0,#debb9b,2. imp/dom,425.2741814469613
61,9,22.0,#cfcfcf,2. imp/dom,1527.1385137
62,10,23.0,#b6cadf,3. primaire,203.9106681977019
63,10,24.0,#b6cadf,3. primaire,24.88601849937562
64,11,23.0,#a1c9f4,3. primaire,619.6273698648267
65,11,24.0,#a1c9f4,3. primaire,10.012394675535429
66,12,23.0,#e0baa1,3. primaire,654.1769760267233
67,12,24.0,#e0baa1,3. primaire,193.59189468546666
68,13,23.0,#ffb482,3. primaire,2415.014721001326
69,13,24.0,#ffb482,3. primaire,281.48716433057075
70,14,23.0,#a3cfad,3. primaire,266.3315934901305
71,14,24.0,#a3cfad,3. primaire,162.5251628477014
72,15,23.0,#8de5a1,3. primaire,426.5926679488962
73,15,24.0,#8de5a1,3. primaire,137.86276012910835
74,16,23.0,#e6b6b4,3. primaire,94.53712879825747
75,16,24.0,#e6b6b4,3. primaire,38.3406234577093
76,17,23.0,#ff9f9b,3. primaire,108.01592312148532
77,17,24.0,#ff9f9b,3. primaire,76.85990817164712
78,18,23.0,#d7ccee,3. primaire,30.55044881210514
79,18,24.0,#d7ccee,3. primaire,10.001401458654687
80,19,23.0,#d0bbff,3. primaire,202.6378467744729
81,19,24.0,#d0bbff,3. primaire,11.724911591353289
82,20,23.0,#cdbcac,3. primaire,126.79755590190449
83,20,24.0,#cdbcac,3. primaire,17.700892031769676
84,21,23.0,#debb9b,3. primaire,400.196743388819
85,21,24.0,#debb9b,3. primaire,25.07743805814211
86,22,25.0,#cfcfcf,3. primaire,1527.1385137
87,23,26.0,#8de5a1,4. cap/ci,65.73418399049652
88,23,26.0,#a1c9f4,4. cap/ci,26.273832764403373
89,23,26.0,#a3cfad,4. cap/ci,30.129061547304318
90,23,26.0,#b6cadf,4. cap/ci,12.745221587752846
91,23,26.0,#cdbcac,4. cap/ci,13.847356673222329
92,23,26.0,#d0bbff,4. cap/ci,60.54740407977227
93,23,26.0,#d7ccee,4. cap/ci,5.3836974045481565
94,23,26.0,#debb9b,4. cap/ci,40.19907252102559
95,23,26.0,#e0baa1,4. cap/ci,70.83430486112444
96,23,26.0,#e6b6b4,4. cap/ci,5.3174373852769765
97,23,26.0,#ff9f9b,4. cap/ci,10.349115623348096
98,23,26.0,#ffb482,4. cap/ci,239.8292691124949
99,23,27.0,#8de5a1,4. cap/ci,297.0771656734667
100,23,27.0,#a1c9f4,4. cap/ci,510.28924415079666
101,23,27.0,#a3cfad,4. cap/ci,231.50456722702307
102,23,27.0,#b6cadf,4. cap/ci,189.87332721428237
103,23,27.0,#cdbcac,4. cap/ci,109.26826578859833
104,23,27.0,#d0bbff,4. cap/ci,133.89163553417924
105,23,27.0,#d7ccee,4. cap/ci,24.76361820408587
106,23,27.0,#debb9b,4. cap/ci,270.439366080272
107,23,27.0,#e0baa1,4. cap/ci,571.6361690072682
108,23,27.0,#e6b6b4,4. cap/ci,88.30865870787596
109,23,27.0,#ff9f9b,4. cap/ci,73.05197603753673
110,23,27.0,#ffb482,4. cap/ci,1996.1946937201221
111,23,28.0,#8de5a1,4. cap/ci,5.817061436947488
112,23,28.0,#a1c9f4,4. cap/ci,8.848446670757836
113,23,28.0,#a3cfad,4. cap/ci,4.697964715803122
114,23,28.0,#b6cadf,4. cap/ci,1.2921193956666426
115,23,28.0,#cdbcac,4. cap/ci,3.6819334400838053
116,23,28.0,#d0bbff,4. cap/ci,1.2414457898655373
117,23,28.0,#d7ccee,4. cap/ci,0.40313320347110915
118,23,28.0,#debb9b,4. cap/ci,42.306377933741736
119,23,28.0,#e0baa1,4. cap/ci,11.706502158330535
120,23,28.0,#e6b6b4,4. cap/ci,0.9110327051045457
121,23,28.0,#ff9f9b,4. cap/ci,2.413504669526562
122,23,28.0,#ffb482,4. cap/ci,21.61003688095715
123,23,29.0,#8de5a1,4. cap/ci,57.964256847985496
124,23,29.0,#a1c9f4,4. cap/ci,74.21584627886884
125,23,29.0,#d0bbff,4. cap/ci,6.957361370655807
126,23,29.0,#debb9b,4. cap/ci,47.251926853779494
127,23,29.0,#ff9f9b,4. cap/ci,22.20132679107387
128,23,29.0,#ffb482,4. cap/ci,157.3807212877504
129,24,26.0,#8de5a1,4. cap/ci,19.37077542942374
130,24,26.0,#a1c9f4,4. cap/ci,1.1992937907581669
131,24,26.0,#a3cfad,4. cap/ci,23.765595756881385
132,24,26.0,#b6cadf,4. cap/ci,3.200317013015068
133,24,26.0,#cdbcac,4. cap/ci,2.5632470192927532
134,24,26.0,#d0bbff,4. cap/ci,1.6288751451343457
135,24,26.0,#d7ccee,4. cap/ci,1.474679579346397
136,24,26.0,#debb9b,4. cap/ci,3.0355027575442532
137,24,26.0,#e0baa1,4. cap/ci,28.395685590615095
138,24,26.0,#e6b6b4,4. cap/ci,5.593723089348187
139,24,26.0,#ff9f9b,4. cap/ci,10.00766803307654
140,24,26.0,#ffb482,4. cap/ci,37.99370351166958
141,24,27.0,#8de5a1,4. cap/ci,96.09191177037798
142,24,27.0,#a1c9f4,4. cap/ci,5.952893406341291
143,24,27.0,#a3cfad,4. cap/ci,136.80422313544955
144,24,27.0,#b6cadf,4. cap/ci,21.38857328677535
145,24,27.0,#cdbcac,4. cap/ci,14.91223729479444
146,24,27.0,#d0bbff,4. cap/ci,7.915056144482719
147,24,27.0,#d7ccee,4. cap/ci,8.391395626455532
148,24,27.0,#debb9b,4. cap/ci,15.474648326451362
149,24,27.0,#e0baa1,4. cap/ci,162.86628852758088
150,24,27.0,#e6b6b4,4. cap/ci,32.235021469990514
151,24,27.0,#ff9f9b,4. cap/ci,52.701552205205914
152,24,27.0,#ffb482,4. cap/ci,191.72767727353119
153,24,28.0,#8de5a1,4. cap/ci,1.0878633603329664
154,24,28.0,#a1c9f4,4. cap/ci,0.06798451246348226
155,24,28.0,#a3cfad,4. cap/ci,1.9553439553704877
156,24,28.0,#b6cadf,4. cap/ci,0.2971281995851899
157,24,28.0,#cdbcac,4. cap/ci,0.22540771768247542
158,24,28.0,#d0bbff,4. cap/ci,0.0997575986872722
159,24,28.0,#d7ccee,4. cap/ci,0.13532625285275812
160,24,28.0,#debb9b,4. cap/ci,0.1959186083872258
161,24,28.0,#e0baa1,4. cap/ci,2.329920567270694
162,24,28.0,#e6b6b4,4. cap/ci,0.5118788983705835
163,24,28.0,#ff9f9b,4. cap/ci,0.7147475366510251
164,24,28.0,#ffb482,4. cap/ci,2.3121970134587118
165,24,29.0,#8de5a1,4. cap/ci,21.312209568973778
166,24,29.0,#a1c9f4,4. cap/ci,2.7922229659724906
167,24,29.0,#d0bbff,4. cap/ci,2.0812227030489456
168,24,29.0,#debb9b,4. cap/ci,6.371368365759265
169,24,29.0,#ff9f9b,4. cap/ci,13.435940396713683
170,24,29.0,#ffb482,4. cap/ci,49.453586531911164
171,25,30.0,#cfcfcf,4. cap/ci,1527.1385137
172,26,31.0,#8de5a1,5. depenses,0.0
173,26,31.0,#a1c9f4,5. depenses,0.0
174,26,31.0,#a3cfad,5. depenses,0.0
175,26,31.0,#b6cadf,5. depenses,0.0
176,26,31.0,#cdbcac,5. depenses,0.0
177,26,31.0,#d0bbff,5. depenses,0.0
178,26,31.0,#d7ccee,5. depenses,0.0
179,26,31.0,#debb9b,5. depenses,0.0
180,26,31.0,#e0baa1,5. depenses,0.0
181,26,31.0,#e6b6b4,5. depenses,0.0
182,26,31.0,#ff9f9b,5. depenses,0.0
183,26,31.0,#ffb482,5. depenses,0.0
184,26,39.0,#8de5a1,5. depenses,0.0
185,26,39.0,#a1c9f4,5. depenses,0.0
186,26,39.0,#a3cfad,5. depenses,0.0
187,26,39.0,#b6cadf,5. depenses,0.0
188,26,39.0,#cdbcac,5. depenses,0.0
189,26,39.0,#d0bbff,5. depenses,0.0
190,26,39.0,#d7ccee,5. depenses,0.0
191,26,39.0,#debb9b,5. depenses,0.0
192,26,39.0,#e0baa1,5. depenses,0.0
193,26,39.0,#e6b6b4,5. depenses,0.0
194,26,39.0,#ff9f9b,5. depenses,0.0
195,26,39.0,#ffb482,5. depenses,0.0
196,26,40.0,#8de5a1,5. depenses,1.3275327782592e-12
197,26,40.0,#a1c9f4,5. depenses,1.160303427147e-13
198,26,40.0,#a3cfad,5. depenses,1.999209810510365e-10
199,26,40.0,#b6cadf,5. depenses,1.3321102808609549e-11
200,26,40.0,#cdbcac,5. depenses,5.923595386700049e-12
201,26,40.0,#d0bbff,5. depenses,4.925284983929546e-14
202,26,40.0,#d7ccee,5. depenses,4.993456377338352e-12
203,26,40.0,#debb9b,5. depenses,1.592620255919e-13
204,26,40.0,#e0baa1,5. depenses,3.957907152061072e-11
205,26,40.0,#e6b6b4,5. depenses,6.712345997301992e-12
206,26,40.0,#ff9f9b,5. depenses,1.81730337309e-13
207,26,40.0,#ffb482,5. depenses,1.1554572266016002e-12
208,26,41.0,#8de5a1,5. depenses,0.8510495941991894
209,26,41.0,#a1c9f4,5. depenses,0.2747312655516142
210,26,41.0,#a3cfad,5. depenses,0.5389465730398574
211,26,41.0,#b6cadf,5. depenses,0.15945538600754572
