,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,3.3341575087310593
1,0,8.0,#b6cadf,1. imp region,6.690098269246929
2,0,8.0,#cdbcac,1. imp region,0.30858339990695316
3,0,8.0,#d7ccee,1. imp region,0.40491292452252614
4,0,8.0,#e0baa1,1. imp region,15.919361781430316
5,0,8.0,#e6b6b4,1. imp region,0.9308496483781684
6,1,8.0,#a3cfad,1. imp region,144.435238531766
7,1,8.0,#b6cadf,1. imp region,55.17583592355531
8,1,8.0,#cdbcac,1. imp region,12.940129216264468
9,1,8.0,#d7ccee,1. imp region,5.061077500859282
10,1,8.0,#e0baa1,1. imp region,277.1722922797755
11,1,8.0,#e6b6b4,1. imp region,30.79800421208604
12,2,8.0,#a3cfad,1. imp region,13.457389836419159
13,2,8.0,#b6cadf,1. imp region,9.396566356557797
14,2,8.0,#cdbcac,1. imp region,6.272568258130316
15,2,8.0,#d7ccee,1. imp region,3.1541642241856302
16,2,8.0,#e0baa1,1. imp region,15.714075404684243
17,2,8.0,#e6b6b4,1. imp region,4.77873101638781
18,3,8.0,#a3cfad,1. imp region,24.374765567605593
19,3,8.0,#b6cadf,1. imp region,7.362619887351334
20,3,8.0,#cdbcac,1. imp region,4.141393309234662
21,3,8.0,#d7ccee,1. imp region,1.6454002695623606
22,3,8.0,#e0baa1,1. imp region,53.07343132965129
23,3,8.0,#e6b6b4,1. imp region,7.843268443348846
24,4,8.0,#a3cfad,1. imp region,11.045017099365777
25,4,8.0,#b6cadf,1. imp region,11.147454094088575
26,4,8.0,#cdbcac,1. imp region,2.450531601440213
27,4,8.0,#d7ccee,1. imp region,0.976759695184246
28,4,8.0,#e0baa1,1. imp region,19.490963486607576
29,4,8.0,#e6b6b4,1. imp region,3.341009738978245
30,5,8.0,#a3cfad,1. imp region,2.7914500956976993
31,5,8.0,#b6cadf,1. imp region,10.560177408349917
32,5,8.0,#cdbcac,1. imp region,0.4422960366414896
33,5,8.0,#d7ccee,1. imp region,0.4058839783748828
34,5,8.0,#e0baa1,1. imp region,5.875167529954129
35,5,8.0,#e6b6b4,1. imp region,0.6393918172585358
36,6,8.0,#a3cfad,1. imp region,5.897375815128869
37,6,8.0,#b6cadf,1. imp region,13.312357640771557
38,6,8.0,#cdbcac,1. imp region,0.6184560070788994
39,6,8.0,#d7ccee,1. imp region,0.297514422415696
40,6,8.0,#e0baa1,1. imp region,10.65249099052834
41,6,8.0,#e6b6b4,1. imp region,0.6563587917874578
42,7,9.0,#8de5a1,1. imp region,418.7850121995322
43,7,9.0,#a1c9f4,1. imp region,802.7456547867146
44,7,9.0,#cfcfcf,1. imp region,245.40007384410998
45,7,9.0,#d0bbff,1. imp region,136.90050192759273
46,7,9.0,#debb9b,1. imp region,113.86499064260977
47,7,9.0,#ff9f9b,1. imp region,125.82280687447741
48,7,9.0,#ffb482,1. imp region,692.3633160322262
49,8,10.0,#b6cadf,2. imp/dom,113.64510957992142
50,8,12.0,#e0baa1,2. imp/dom,397.8977828026316
51,8,14.0,#a3cfad,2. imp/dom,205.33539445471408
52,8,16.0,#e6b6b4,2. imp/dom,48.98761366822512
53,8,18.0,#d7ccee,2. imp/dom,11.94571301510462
54,8,20.0,#cdbcac,2. imp/dom,27.17395782869701
55,9,11.0,#a1c9f4,2. imp/dom,802.7456547867146
56,9,13.0,#ffb482,2. imp/dom,692.3633160322262
57,9,15.0,#8de5a1,2. imp/dom,418.7850121995322
58,9,17.0,#ff9f9b,2. imp/dom,125.82280687447741
59,9,19.0,#d0bbff,2. imp/dom,136.90050192759273
60,9,21.0,#debb9b,2. imp/dom,113.86499064260977
61,9,22.0,#cfcfcf,2. imp/dom,245.40007384410998
62,10,23.0,#b6cadf,3. primaire,103.70993386259543
63,10,24.0,#b6cadf,3. primaire,9.935175717325949
64,11,23.0,#a1c9f4,3. primaire,770.5811003008381
65,11,24.0,#a1c9f4,3. primaire,32.16455448587697
66,12,23.0,#e0baa1,3. primaire,317.7960592967623
67,12,24.0,#e0baa1,3. primaire,80.10172350586923
68,13,23.0,#ffb482,3. primaire,603.8839173867406
69,13,24.0,#ffb482,3. primaire,88.4793986454858
70,14,23.0,#a3cfad,3. primaire,140.76985670305405
71,14,24.0,#a3cfad,3. primaire,64.56553775166003
72,15,23.0,#8de5a1,3. primaire,278.88976702597466
73,15,24.0,#8de5a1,3. primaire,139.89524517355767
74,16,23.0,#e6b6b4,3. primaire,36.43640498977737
75,16,24.0,#e6b6b4,3. primaire,12.551208678447713
76,17,23.0,#ff9f9b,3. primaire,75.94068119920088
77,17,24.0,#ff9f9b,3. primaire,49.8821256752765
78,18,23.0,#d7ccee,3. primaire,8.812256233883378
79,18,24.0,#d7ccee,3. primaire,3.133456781221245
80,19,23.0,#d0bbff,3. primaire,120.0790568648458
81,19,24.0,#d0bbff,3. primaire,16.82144506274693
82,20,23.0,#cdbcac,3. primaire,20.618533542865652
83,20,24.0,#cdbcac,3. primaire,6.555424285831347
84,21,23.0,#debb9b,3. primaire,99.77572225116015
85,21,24.0,#debb9b,3. primaire,14.089268391449565
86,22,25.0,#cfcfcf,3. primaire,245.40007384410998
87,23,26.0,#8de5a1,4. cap/ci,29.047817492644974
88,23,26.0,#a1c9f4,4. cap/ci,16.834114553949593
89,23,26.0,#a3cfad,4. cap/ci,9.3482913678409
90,23,26.0,#b6cadf,4. cap/ci,2.3076471087648076
91,23,26.0,#cdbcac,4. cap/ci,1.631767850384806
92,23,26.0,#d0bbff,4. cap/ci,21.373049350613233
93,23,26.0,#d7ccee,4. cap/ci,0.7767820952701229
94,23,26.0,#debb9b,4. cap/ci,3.486862648847617
95,23,26.0,#e0baa1,4. cap/ci,23.016734132634554
96,23,26.0,#e6b6b4,4. cap/ci,2.3526265330467466
97,23,26.0,#ff9f9b,4. cap/ci,1.58813379437022
98,23,26.0,#ffb482,4. cap/ci,39.13282787233799
99,23,27.0,#8de5a1,4. cap/ci,86.80369292346084
100,23,27.0,#a1c9f4,4. cap/ci,413.11847204410265
101,23,27.0,#a3cfad,4. cap/ci,131.42156533521322
102,23,27.0,#b6cadf,4. cap/ci,101.4022867538307
103,23,27.0,#cdbcac,4. cap/ci,18.98676569248085
104,23,27.0,#d0bbff,4. cap/ci,66.74869356426024
105,23,27.0,#d7ccee,4. cap/ci,8.035474138613253
106,23,27.0,#debb9b,4. cap/ci,22.266594127220976
107,23,27.0,#e0baa1,4. cap/ci,294.7793251641277
108,23,27.0,#e6b6b4,4. cap/ci,34.083778456730634
109,23,27.0,#ff9f9b,4. cap/ci,43.57025909258752
110,23,27.0,#ffb482,4. cap/ci,259.30514005137087
111,23,28.0,#8de5a1,4. cap/ci,0.0
112,23,28.0,#a1c9f4,4. cap/ci,0.0
113,23,28.0,#a3cfad,4. cap/ci,0.0
114,23,28.0,#b6cadf,4. cap/ci,0.0
115,23,28.0,#cdbcac,4. cap/ci,0.0
116,23,28.0,#d0bbff,4. cap/ci,0.0
117,23,28.0,#d7ccee,4. cap/ci,0.0
118,23,28.0,#debb9b,4. cap/ci,0.0
119,23,28.0,#e0baa1,4. cap/ci,0.0
120,23,28.0,#e6b6b4,4. cap/ci,0.0
121,23,28.0,#ff9f9b,4. cap/ci,0.0
122,23,28.0,#ffb482,4. cap/ci,0.0
123,23,29.0,#8de5a1,4. cap/ci,163.03825660986868
124,23,29.0,#a1c9f4,4. cap/ci,340.6285137027858
125,23,29.0,#d0bbff,4. cap/ci,31.95731394997223
126,23,29.0,#debb9b,4. cap/ci,74.02226547509156
