,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.22640853262652355
1,0,8.0,#b6cadf,1. imp region,1.02046697843411
2,0,8.0,#cdbcac,1. imp region,0.05270110057598857
3,0,8.0,#d7ccee,1. imp region,0.17634469465726432
4,0,8.0,#e0baa1,1. imp region,0.7551989773556972
5,0,8.0,#e6b6b4,1. imp region,0.05490027211115548
6,1,8.0,#a3cfad,1. imp region,8.603623077320728
7,1,8.0,#b6cadf,1. imp region,4.46177504910002
8,1,8.0,#cdbcac,1. imp region,3.3452883485296883
9,1,8.0,#d7ccee,1. imp region,0.8405270345752992
10,1,8.0,#e0baa1,1. imp region,83.03548857991018
11,1,8.0,#e6b6b4,1. imp region,2.395843867055888
12,2,8.0,#a3cfad,1. imp region,2.821405417803737
13,2,8.0,#b6cadf,1. imp region,1.5726366155213105
14,2,8.0,#cdbcac,1. imp region,0.785674523306237
15,2,8.0,#d7ccee,1. imp region,0.6850302156766929
16,2,8.0,#e0baa1,1. imp region,3.88516063012495
17,2,8.0,#e6b6b4,1. imp region,0.8153869159073164
18,3,8.0,#a3cfad,1. imp region,0.9181698121731205
19,3,8.0,#b6cadf,1. imp region,0.4064590158937068
20,3,8.0,#cdbcac,1. imp region,0.34946967717597666
21,3,8.0,#d7ccee,1. imp region,0.21653317990438015
22,3,8.0,#e0baa1,1. imp region,1.4681308019771242
23,3,8.0,#e6b6b4,1. imp region,0.46805460960396494
24,4,8.0,#a3cfad,1. imp region,0.2403782522975275
25,4,8.0,#b6cadf,1. imp region,0.16292118881902684
26,4,8.0,#cdbcac,1. imp region,0.25618003655143906
27,4,8.0,#d7ccee,1. imp region,0.11440477584560599
28,4,8.0,#e0baa1,1. imp region,0.6398318345254932
29,4,8.0,#e6b6b4,1. imp region,0.09586463142096086
30,5,8.0,#a3cfad,1. imp region,0.06558618619264599
31,5,8.0,#b6cadf,1. imp region,0.18449973619219312
32,5,8.0,#cdbcac,1. imp region,0.015539762875267229
33,5,8.0,#d7ccee,1. imp region,0.043459297315412905
34,5,8.0,#e0baa1,1. imp region,0.2209053240800848
35,5,8.0,#e6b6b4,1. imp region,0.008155476360682694
36,6,8.0,#a3cfad,1. imp region,0.2726593402616056
37,6,8.0,#b6cadf,1. imp region,0.7926374657392834
38,6,8.0,#cdbcac,1. imp region,0.052266546914635004
39,6,8.0,#d7ccee,1. imp region,0.048286281909781785
40,6,8.0,#e0baa1,1. imp region,0.5626549188022044
41,6,8.0,#e6b6b4,1. imp region,0.04027845719756051
42,7,9.0,#8de5a1,1. imp region,105.45290119875067
43,7,9.0,#a1c9f4,1. imp region,82.61268958271405
44,7,9.0,#cfcfcf,1. imp region,61.961891296543314
45,7,9.0,#d0bbff,1. imp region,27.273083339220868
46,7,9.0,#debb9b,1. imp region,13.160176471808093
47,7,9.0,#ff9f9b,1. imp region,33.17683322730117
48,7,9.0,#ffb482,1. imp region,232.2588377012697
49,8,10.0,#b6cadf,2. imp/dom,8.60139604969965
50,8,12.0,#e0baa1,2. imp/dom,90.56737106677566
51,8,14.0,#a3cfad,2. imp/dom,13.148230618675889
52,8,16.0,#e6b6b4,2. imp/dom,3.8784842296575293
53,8,18.0,#d7ccee,2. imp/dom,2.124585479884435
54,8,20.0,#cdbcac,2. imp/dom,4.857119995929229
55,9,11.0,#a1c9f4,2. imp/dom,82.61268958271405
56,9,13.0,#ffb482,2. imp/dom,232.2588377012697
57,9,15.0,#8de5a1,2. imp/dom,105.45290119875067
58,9,17.0,#ff9f9b,2. imp/dom,33.17683322730117
59,9,19.0,#d0bbff,2. imp/dom,27.273083339220868
60,9,21.0,#debb9b,2. imp/dom,13.160176471808093
61,9,22.0,#cfcfcf,2. imp/dom,61.961891296543314
62,10,23.0,#b6cadf,3. primaire,8.227953077940429
63,10,24.0,#b6cadf,3. primaire,0.3734429717592211
64,11,23.0,#a1c9f4,3. primaire,79.8614766340634
65,11,24.0,#a1c9f4,3. primaire,2.751212948650657
66,12,23.0,#e0baa1,3. primaire,86.90054794738354
67,12,24.0,#e0baa1,3. primaire,3.6668231193921437
68,13,23.0,#ffb482,3. primaire,216.8311968265191
69,13,24.0,#ffb482,3. primaire,15.427640874750722
70,14,23.0,#a3cfad,3. primaire,9.776166881021132
71,14,24.0,#a3cfad,3. primaire,3.3720637376547598
72,15,23.0,#8de5a1,3. primaire,80.89546157763822
73,15,24.0,#8de5a1,3. primaire,24.557439621112557
74,16,23.0,#e6b6b4,3. primaire,2.405709558864873
75,16,24.0,#e6b6b4,3. primaire,1.4727746707926528
76,17,23.0,#ff9f9b,3. primaire,29.858515277062214
77,17,24.0,#ff9f9b,3. primaire,3.318317950238942
78,18,23.0,#d7ccee,3. primaire,1.9123661364314999
79,18,24.0,#d7ccee,3. primaire,0.21221934345293736
80,19,23.0,#d0bbff,3. primaire,25.762424304885805
81,19,24.0,#d0bbff,3. primaire,1.5106590343350668
82,20,23.0,#cdbcac,3. primaire,4.503200474956593
83,20,24.0,#cdbcac,3. primaire,0.3539195209726368
84,21,23.0,#debb9b,3. primaire,12.201385421957218
85,21,24.0,#debb9b,3. primaire,0.9587910498508744
86,22,25.0,#cfcfcf,3. primaire,61.961891296543314
87,23,26.0,#8de5a1,4. cap/ci,10.38376307917992
88,23,26.0,#a1c9f4,4. cap/ci,3.0764359292936976
89,23,26.0,#a3cfad,4. cap/ci,0.5371478060531804
90,23,26.0,#b6cadf,4. cap/ci,0.2247758601814381
91,23,26.0,#cdbcac,4. cap/ci,0.36990842497668397
92,23,26.0,#d0bbff,4. cap/ci,5.227461833007385
93,23,26.0,#d7ccee,4. cap/ci,0.10541779827719404
94,23,26.0,#debb9b,4. cap/ci,0.9553012809998547
95,23,26.0,#e0baa1,4. cap/ci,1.9720149980274189
96,23,26.0,#e6b6b4,4. cap/ci,0.10373426360601817
97,23,26.0,#ff9f9b,4. cap/ci,1.1075665215908757
98,23,26.0,#ffb482,4. cap/ci,13.619471358213602
99,23,27.0,#8de5a1,4. cap/ci,26.150183190578087
100,23,27.0,#a1c9f4,4. cap/ci,44.80467052134669
101,23,27.0,#a3cfad,4. cap/ci,6.663784442040552
102,23,27.0,#b6cadf,4. cap/ci,7.421550463554123
103,23,27.0,#cdbcac,4. cap/ci,2.6264559423755642
104,23,27.0,#d0bbff,4. cap/ci,15.030576169594013
105,23,27.0,#d7ccee,4. cap/ci,1.490839188775189
106,23,27.0,#debb9b,4. cap/ci,5.958559955309168
107,23,27.0,#e0baa1,4. cap/ci,21.908614633444564
108,23,27.0,#e6b6b4,4. cap/ci,1.5822981982534499
109,23,27.0,#ff9f9b,4. cap/ci,10.46114466804181
110,23,27.0,#ffb482,4. cap/ci,99.34629481811638
111,23,28.0,#8de5a1,4. cap/ci,9.354180924386146
112,23,28.0,#a1c9f4,4. cap/ci,4.192549708778497
113,23,28.0,#a3cfad,4. cap/ci,2.575234632927393
114,23,28.0,#b6cadf,4. cap/ci,0.5816267542048688
115,23,28.0,#cdbcac,4. cap/ci,1.5068361076043482
116,23,28.0,#d0bbff,4. cap/ci,2.6279194673193285
117,23,28.0,#d7ccee,4. cap/ci,0.31610914937911716
118,23,28.0,#debb9b,4. cap/ci,1.8790376762224807
119,23,28.0,#e0baa1,4. cap/ci,63.01991831591162
120,23,28.0,#e6b6b4,4. cap/ci,0.7196770970054083
121,23,28.0,#ff9f9b,4. cap/ci,3.1165149460262214
122,23,28.0,#ffb482,4. cap/ci,61.99161770975636
123,23,29.0,#8de5a1,4. cap/ci,35.00733438349401
124,23,29.0,#a1c9f4,4. cap/ci,27.787820474644537
125,23,29.0,#d0bbff,4. cap/ci,2.8764668349650853
126,23,29.0,#debb9b,4. cap/ci,3.4084865094257073
127,23,29.0,#ff9f9b,4. cap/ci,15.17328914140332
128,23,29.0,#ffb482,4. cap/ci,41.87381294043281
129,24,26.0,#8de5a1,4. cap/ci,0.9072350164431927
130,24,26.0,#a1c9f4,4. cap/ci,0.12410685309172446
131,24,26.0,#a3cfad,4. cap/ci,0.30673426444044355
132,24,26.0,#b6cadf,4. cap/ci,0.027716980689102215
133,24,26.0,#cdbcac,4. cap/ci,0.03701363183261063
134,24,26.0,#d0bbff,4. cap/ci,0.1386371472671172
135,24,26.0,#d7ccee,4. cap/ci,0.017139449918002606
136,24,26.0,#debb9b,4. cap/ci,0.04464080660393598
137,24,26.0,#e0baa1,4. cap/ci,0.35232395003988587
138,24,26.0,#e6b6b4,4. cap/ci,0.09202316219834611
139,24,26.0,#ff9f9b,4. cap/ci,0.3339083978043076
140,24,26.0,#ffb482,4. cap/ci,0.9213328987605277
141,24,27.0,#8de5a1,4. cap/ci,2.849571086678116
142,24,27.0,#a1c9f4,4. cap/ci,0.4362182367421214
143,24,27.0,#a3cfad,4. cap/ci,2.2434487755812498
144,24,27.0,#b6cadf,4. cap/ci,0.2676572966431627
145,24,27.0,#cdbcac,4. cap/ci,0.24802734902346318
146,24,27.0,#d0bbff,4. cap/ci,0.450753339531525
147,24,27.0,#d7ccee,4. cap/ci,0.14617413905340468
148,24,27.0,#debb9b,4. cap/ci,0.14547538852431602
