,label,position,value,x,y
Africa,Africa (56),1. imp region,56.156800060686216,0.09,0.7216444469488331
Asia,Asia (186),1. imp region,186.44452448055847,0.09,0.794572661467474
Europe,Europe (52),1. imp region,52.827697541912805,0.09,0.8670337705203649
Middle East,Middle East (72),1. imp region,72.85485170178865,0.09,0.9235571435893116
North America,North America (16),1. imp region,16.963473775382997,0.09,0.9750484172105093
Oceania,Oceania (2),1. imp region,2.662602225306568,0.09,1.0166910354662309
South America,South America (18),1. imp region,18.379330758907628,0.09,1.0585323122288608
WF,WF (2266),1. imp region,2266.3693288683967,0.09,0.35688255082999626
Imports,Imports (406),2. imp/dom,406.2892805445432,0.2,0.9263269952744407
Territorial,Territorial (2266),2. imp/dom,2266.3693288683967,0.2,0.43466032860777404
Imp - Agriculture-food,Imp - Agriculture-food (91),3. primaire,91.33164998557726,0.34,0.8488020427632448
WF - Agriculture-food,WF - Agriculture-food (986),3. primaire,986.4946895176196,0.34,0.2942587219359365
Imp - Energy industry,Imp - Energy industry (183),3. primaire,183.5084852988825,0.34,0.91236478712898
WF - Energy industry,WF - Energy industry (381),3. primaire,381.23977399444874,0.34,0.5111651711960932
Imp - Heavy industry,Imp - Heavy industry (88),3. primaire,88.69289184546554,0.34,0.97555728806031
WF - Heavy industry,WF - Heavy industry (279),3. primaire,279.9503838737814,0.34,0.6289365817785503
Imp - Manufacturing industry,Imp - Manufacturing industry (23),3. primaire,23.97038761913602,0.34,1.0163650420511967
WF - Manufacturing industry,WF - Manufacturing industry (68),3. primaire,68.21587713765223,0.34,0.7027876948310947
Imp - Services,Imp - Services (5),3. primaire,5.284504374099178,0.34,1.0454697879618138
WF - Services,WF - Services (142),3. primaire,142.41744686421023,0.34,0.7573415990306469
Imp - Transport services,Imp - Transport services (13),3. primaire,13.501361421382729,0.34,1.0731056276640845
WF - Transport services,WF - Transport services (30),3. primaire,30.871600764451152,0.34,0.8066557380051798
WF - Households,WF - Households (377),3. primaire,377.179556716233,0.34,0.0779219606538733
Intermediate cons,Intermediate cons (2062),4. cap/ci,2062.019443733757,0.58,0.5701653066417334
Capital formation,Capital formation (233),4. cap/ci,233.45960896294926,0.58,0.9797433459878601
Households ,Households  (377),4. cap/ci,377.179556716233,0.58,0.1404219606538733
Government,Government (206),5. depenses,206.1684126499266,0.75,0.7696755650782356
Households,Households (1638),5. depenses,1638.8892620439399,0.75,0.45246269300644093
Other,Other (37),5. depenses,37.375363938803986,0.75,0.8621804592308667
Exportations,Exportations (413),5. depenses,413.04601406403617,0.75,0.9837122931718654
Households direct emissions,Households direct emissions (377),5. depenses,377.1795567162329,0.75,0.11125529398720663
Nourriture,Nourriture (683),6. exp region,683.4084485889597,1.0,0.4505144008250164
Africa ,Africa  (9),6. exp region,9.664415526535238,0.88,0.8218340102893513
Asia ,Asia  (112),6. exp region,112.32336988498862,0.88,0.860825083164581
Europe ,Europe  (151),6. exp region,151.98895769496212,0.88,0.9197856737048006
Middle East ,Middle East  (65),6. exp region,65.40271645177398,0.88,0.9721628401685274
North America ,North America  (56),6. exp region,56.26199800900222,0.88,1.0111085830468378
Oceania ,Oceania  (3),6. exp region,3.0760737891236456,0.88,1.041309291704849
South America ,South America  (14),6. exp region,14.328482707650306,0.88,1.0656263202764382
Textiles,Textiles (58),6. exp region,58.633806251342875,1.0,0.7218265469995098
Logement,Logement (713),6. exp region,713.9839611541948,1.0,0.23257165322414108
Santé,Santé (45),6. exp region,45.04013578491697,1.0,0.7922834296261327
Transport,Transport (315),6. exp region,315.88244226701636,1.0,0.06619637925619705
Divertissements,Divertissements (122),6. exp region,122.16789664124487,1.0,0.6745833094154312
Education,Education (43),6. exp region,43.334202025370544,1.0,0.7580086504092365
Autres biens et services,Autres biens et services (239),6. exp region,239.78633869705337,1.0,0.6019226094484323
CO2,CO2 (928),0. ges,928.9075275986061,0.0,0.20033476165741632
CH4,CH4 (1269),0. ges,1269.9037846329545,0.0,0.5788493767237797
N2O,N2O (471),0. ges,471.4498020398934,0.0,0.8931782231774439
SF6,SF6 (2),0. ges,2.3974951414861216,0.0,1.0296636081110804
