,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,2.157892085178862
1,0,8.0,#b6cadf,1. imp region,1.8953039449901143
2,0,8.0,#cdbcac,1. imp region,0.21834625668895774
3,0,8.0,#d7ccee,1. imp region,0.2687574540041116
4,0,8.0,#e0baa1,1. imp region,9.056004090631532
5,0,8.0,#e6b6b4,1. imp region,0.6034994842700121
6,1,8.0,#a3cfad,1. imp region,69.08994771013931
7,1,8.0,#b6cadf,1. imp region,20.226340862841962
8,1,8.0,#cdbcac,1. imp region,6.700207747373158
9,1,8.0,#d7ccee,1. imp region,3.015192572643938
10,1,8.0,#e0baa1,1. imp region,94.1373974392385
11,1,8.0,#e6b6b4,1. imp region,10.65058853518602
12,2,8.0,#a3cfad,1. imp region,8.972042247434551
13,2,8.0,#b6cadf,1. imp region,3.7611024939800326
14,2,8.0,#cdbcac,1. imp region,4.554025566003962
15,2,8.0,#d7ccee,1. imp region,2.684195814122545
16,2,8.0,#e0baa1,1. imp region,9.685300466187794
17,2,8.0,#e6b6b4,1. imp region,2.9895712706180633
18,3,8.0,#a3cfad,1. imp region,5.2690093425760605
19,3,8.0,#b6cadf,1. imp region,0.927369754629792
20,3,8.0,#cdbcac,1. imp region,1.5100399532306636
21,3,8.0,#d7ccee,1. imp region,0.5121169054687632
22,3,8.0,#e0baa1,1. imp region,14.540146911447733
23,3,8.0,#e6b6b4,1. imp region,1.709904871336207
24,4,8.0,#a3cfad,1. imp region,19.602940118485744
25,4,8.0,#b6cadf,1. imp region,15.675756552062484
26,4,8.0,#cdbcac,1. imp region,3.0211042475401224
27,4,8.0,#d7ccee,1. imp region,1.4558640680058539
28,4,8.0,#e0baa1,1. imp region,62.26402010626405
29,4,8.0,#e6b6b4,1. imp region,5.120553032779466
30,5,8.0,#a3cfad,1. imp region,0.4984759683726943
31,5,8.0,#b6cadf,1. imp region,0.5927391242654098
32,5,8.0,#cdbcac,1. imp region,0.12804426210929645
33,5,8.0,#d7ccee,1. imp region,0.11672414082140957
34,5,8.0,#e0baa1,1. imp region,1.0413763746499873
35,5,8.0,#e6b6b4,1. imp region,0.07098692543198225
36,6,8.0,#a3cfad,1. imp region,8.530715627630899
37,6,8.0,#b6cadf,1. imp region,19.815310917150104
38,6,8.0,#cdbcac,1. imp region,0.7991531142721143
39,6,8.0,#d7ccee,1. imp region,0.3343146287955609
40,6,8.0,#e0baa1,1. imp region,6.089513316490583
41,6,8.0,#e6b6b4,1. imp region,0.37480941541995566
42,7,9.0,#8de5a1,1. imp region,200.52399105270578
