,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,3.3368121924622485
1,0,8.0,#b6cadf,1. imp region,23.69363265391047
2,0,8.0,#cdbcac,1. imp region,0.2834302169678813
3,0,8.0,#d7ccee,1. imp region,0.46525343092172
4,0,8.0,#e0baa1,1. imp region,11.964070791271437
5,0,8.0,#e6b6b4,1. imp region,0.5528859949743292
6,1,8.0,#a3cfad,1. imp region,69.67667838796173
7,1,8.0,#b6cadf,1. imp region,72.02588892757683
8,1,8.0,#cdbcac,1. imp region,7.047154979329052
9,1,8.0,#d7ccee,1. imp region,3.4610601860836665
10,1,8.0,#e0baa1,1. imp region,105.10584026686466
11,1,8.0,#e6b6b4,1. imp region,13.782965453709027
12,2,8.0,#a3cfad,1. imp region,15.277250002441745
13,2,8.0,#b6cadf,1. imp region,10.182237668172203
14,2,8.0,#cdbcac,1. imp region,3.9785402507672303
15,2,8.0,#d7ccee,1. imp region,2.6144903442410588
16,2,8.0,#e0baa1,1. imp region,15.550930151386012
17,2,8.0,#e6b6b4,1. imp region,4.391174829677381
18,3,8.0,#a3cfad,1. imp region,3.423148344643312
19,3,8.0,#b6cadf,1. imp region,2.129877440699667
20,3,8.0,#cdbcac,1. imp region,0.32306615645626463
21,3,8.0,#d7ccee,1. imp region,0.0870002115109266
22,3,8.0,#e0baa1,1. imp region,2.1164900861591724
23,3,8.0,#e6b6b4,1. imp region,0.3986240586679131
24,4,8.0,#a3cfad,1. imp region,4.645452378355507
25,4,8.0,#b6cadf,1. imp region,6.824983020936505
26,4,8.0,#cdbcac,1. imp region,1.46208218484974
27,4,8.0,#d7ccee,1. imp region,0.6837651320196004
28,4,8.0,#e0baa1,1. imp region,12.088774441908107
29,4,8.0,#e6b6b4,1. imp region,2.234795468125585
30,5,8.0,#a3cfad,1. imp region,1.159129589870229
31,5,8.0,#b6cadf,1. imp region,3.3063899258307448
32,5,8.0,#cdbcac,1. imp region,0.17231267287625782
33,5,8.0,#d7ccee,1. imp region,0.2321816632040066
34,5,8.0,#e0baa1,1. imp region,2.0578759962640287
35,5,8.0,#e6b6b4,1. imp region,0.15691709470391146
36,6,8.0,#a3cfad,1. imp region,4.279201190237843
37,6,8.0,#b6cadf,1. imp region,26.715341044604887
38,6,8.0,#cdbcac,1. imp region,0.42402803444024273
39,6,8.0,#d7ccee,1. imp region,0.24416267778296202
40,6,8.0,#e0baa1,1. imp region,4.122620907313366
