,source,target,color,position,value
0,0,8.0,#a3cfad,1. imp region,0.5764868297636728
1,0,8.0,#b6cadf,1. imp region,1.3804847097731525
2,0,8.0,#cdbcac,1. imp region,0.16151856060623795
3,0,8.0,#d7ccee,1. imp region,0.14024083317994115
4,0,8.0,#e0baa1,1. imp region,1.9751084277445674
5,0,8.0,#e6b6b4,1. imp region,0.2574555049594717
6,1,8.0,#a3cfad,1. imp region,2.7148330530718128
7,1,8.0,#b6cadf,1. imp region,3.033486242311275
8,1,8.0,#cdbcac,1. imp region,1.7857381803947883
9,1,8.0,#d7ccee,1. imp region,0.8218166390736362
10,1,8.0,#e0baa1,1. imp region,4.525687071933664
11,1,8.0,#e6b6b4,1. imp region,0.6134152369059457
12,2,8.0,#a3cfad,1. imp region,0.7070563082699857
13,2,8.0,#b6cadf,1. imp region,0.4109637496115519
14,2,8.0,#cdbcac,1. imp region,0.9298025435302054
15,2,8.0,#d7ccee,1. imp region,0.4400241233534073
16,2,8.0,#e0baa1,1. imp region,1.088477666113608
17,2,8.0,#e6b6b4,1. imp region,0.3040212299012953
18,3,8.0,#a3cfad,1. imp region,1.119833308296496
19,3,8.0,#b6cadf,1. imp region,0.2830989552231052
20,3,8.0,#cdbcac,1. imp region,0.6320043115952569
21,3,8.0,#d7ccee,1. imp region,0.21561114320192348
22,3,8.0,#e0baa1,1. imp region,5.838465524933843
23,3,8.0,#e6b6b4,1. imp region,0.41422734212775797
24,4,8.0,#a3cfad,1. imp region,0.2003562678690216
25,4,8.0,#b6cadf,1. imp region,0.11391919130618601
26,4,8.0,#cdbcac,1. imp region,0.2727243483970302
27,4,8.0,#d7ccee,1. imp region,0.06548685296577045
28,4,8.0,#e0baa1,1. imp region,0.4835829355286323
29,4,8.0,#e6b6b4,1. imp region,0.08004405903182599
30,5,8.0,#a3cfad,1. imp region,0.11763531132177574
31,5,8.0,#b6cadf,1. imp region,0.12603827240201412
32,5,8.0,#cdbcac,1. imp region,0.023570257475088414
33,5,8.0,#d7ccee,1. imp region,0.04244367816086031
34,5,8.0,#e0baa1,1. imp region,0.24541345064116393
35,5,8.0,#e6b6b4,1. imp region,0.014480456617775918
36,6,8.0,#a3cfad,1. imp region,0.26330397022178764
37,6,8.0,#b6cadf,1. imp region,0.5814428751042473
38,6,8.0,#cdbcac,1. imp region,0.08083664590112448
39,6,8.0,#d7ccee,1. imp region,0.03321984794830146
40,6,8.0,#e0baa1,1. imp region,0.33637210600352924
41,6,8.0,#e6b6b4,1. imp region,0.02340899224570357
42,7,9.0,#8de5a1,1. imp region,45.61057830757086
43,7,9.0,#a1c9f4,1. imp region,40.41886428816247
44,7,9.0,#cfcfcf,1. imp region,60.005176570402334
45,7,9.0,#d0bbff,1. imp region,29.71836855830413
46,7,9.0,#debb9b,1. imp region,5.956875974776187
47,7,9.0,#ff9f9b,1. imp region,8.937217838769262
48,7,9.0,#ffb482,1. imp region,231.08887102419024
49,8,10.0,#b6cadf,2. imp/dom,5.929433995731532
50,8,12.0,#e0baa1,2. imp/dom,14.493107182899013
51,8,14.0,#a3cfad,2. imp/dom,5.699505048814551
52,8,16.0,#e6b6b4,2. imp/dom,1.7070528217897754
53,8,18.0,#d7ccee,2. imp/dom,1.7588431178838393
54,8,20.0,#cdbcac,2. imp/dom,3.8861948478997324
55,9,11.0,#a1c9f4,2. imp/dom,40.41886428816247
56,9,13.0,#ffb482,2. imp/dom,231.08887102419024
57,9,15.0,#8de5a1,2. imp/dom,45.61057830757086
58,9,17.0,#ff9f9b,2. imp/dom,8.937217838769262
59,9,19.0,#d0bbff,2. imp/dom,29.71836855830413
60,9,21.0,#debb9b,2. imp/dom,5.956875974776187
61,9,22.0,#cfcfcf,2. imp/dom,60.005176570402334
62,10,23.0,#b6cadf,3. primaire,5.413700304497619
63,10,24.0,#b6cadf,3. primaire,0.5157336912339126
64,11,23.0,#a1c9f4,3. primaire,39.09690142362743
65,11,24.0,#a1c9f4,3. primaire,1.3219628645350214
66,12,23.0,#e0baa1,3. primaire,11.698793341626528
67,12,24.0,#e0baa1,3. primaire,2.794313841272478
68,13,23.0,#ffb482,3. primaire,197.89213847335805
69,13,24.0,#ffb482,3. primaire,33.19673255083197
70,14,23.0,#a3cfad,3. primaire,3.482209340037264
71,14,24.0,#a3cfad,3. primaire,2.217295708777286
72,15,23.0,#8de5a1,3. primaire,30.578458263271337
73,15,24.0,#8de5a1,3. primaire,15.032120044299493
74,16,23.0,#e6b6b4,3. primaire,0.9144774492522466
75,16,24.0,#e6b6b4,3. primaire,0.7925753725375295
76,17,23.0,#ff9f9b,3. primaire,6.922184076939511
