,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AT,0.8347842753273602,0.9095767628871316,0.950310865667142,0.9120456115808862,0.9243684652633561,0.8663333048143952,0.9022263142216591,0.9102254143653236,0.9488813943594664,0.9683034526824719,1.0,0.9969093711559317,0.9551214820304339,0.9366663879079913,0.8844915635903257,0.9519428029739281,0.9657739632119576,0.9406369588832157,0.9256328989138662,0.8938239449654686,0.8704324719531625,0.8883069080493003,0.9035808364286498,0.920626309226533,0.911969144131108
AU,0.706907856768653,0.6788840181480981,0.699747501412649,0.7279763728857302,0.7811263650703165,0.8224362518020508,0.855678991560522,0.8585347458487482,0.7602744102084273,0.8573926422166245,0.8296612785506807,0.890151700672388,0.8847747387905514,0.846432944788253,0.8554630649872532,0.834224167843465,1.0,0.9854935391298554,0.8826441228319074,0.8843439023261367,0.8648583708153685,0.855858225550225,0.9140119145117327,0.8936683005776709,0.8784808118209377
BE,0.8063334759502933,0.8762038031247082,0.8598636649487842,0.884600018021225,0.8931350811381645,0.8975060305609004,0.9122992591808881,0.917227480992079,0.9229885099323061,0.9422016220112932,0.9720422664602808,0.9565518454291858,0.9202073465293031,1.0,0.9327475807769549,0.9623561706073955,0.9781266784535861,0.9440184262646029,0.939125269718996,0.909470906857431,0.9184373208742634,0.938435310061947,0.9369531740037139,0.9672180895408928,0.9230243166746507
BG,0.8354006940949531,0.9213656101951316,0.8866657510755372,0.8583536686522159,0.8524698237743069,0.7621727419573379,0.7618700542469782,0.7202733292126654,0.8106733947771222,0.8190148391145213,0.8207415296162405,0.8424263765478957,1.0,0.9160731150356212,0.7669762978399902,0.7863105874829208,0.8484164074607295,0.7980208750610747,0.741729959050579,0.759077848178239,0.7825946893695096,0.8309079936575591,0.766432090592544,0.759522636126652,0.8180025354541672
BR,0.6413961875266944,0.6100736555587505,0.6417917817958564,0.6518443030299913,0.6599327786862298,0.6878908384818888,0.7407225123340562,0.6756071764261794,0.6865845812090478,0.7494647053386907,0.7752334240831283,0.7690745497352054,0.8206653616919628,0.8539578930395038,0.7862519965969287,0.8759786333207139,0.8976274214528092,0.9093313054888864,0.9570038292648293,0.9932109127164886,1.0,0.9233699339214463,0.9433862553470522,0.8662172455938114,0.8825954728453119
CA,0.9377999263539776,0.8399723139380684,0.8791222580852384,0.8810717960581014,0.8891661825966934,0.8875334706808958,0.8777275299151425,0.8763554833354802,0.9145589731833933,0.9217934295906324,0.9610796340683843,0.9588106039518675,0.9950996915393708,1.0,0.9454412603179293,0.9781048614000076,0.9847143987004758,0.9986356563085004,0.9892419272376182,0.9864661164808886,0.9567759449676984,0.9800004346194494,0.9958634887461473,0.9788869380323426,0.9701456758778685
CH,0.8721134175004704,0.9238245549409284,0.9682613090825032,0.9201572034239024,0.9506025609918982,0.936609888292364,0.8847764691430502,0.8931091926775028,0.9037556326588543,0.9067457796135338,0.9755017661804712,0.8815099285404312,0.7973893195453611,0.8675739156265643,0.8318860785638763,0.9268281709075035,1.0,0.9365100999214423,0.9739295090464584,0.8457521076899995,0.8625533118633493,0.8974380491679785,0.8544671042919559,0.811640305207137,0.818453272943626
CN,0.40478803354528525,0.377113993027165,0.36600869496088045,0.3734982413954981,0.36290987967004557,0.3894301355907859,0.39677288184494514,0.42554268108161586,0.45824836198038527,0.4884655470356663,0.5451373620772134,0.598498451303281,0.6237186233129934,0.6367162190542921,0.6327678278503825,0.696881733399525,0.7716328270510557,0.781264697325913,0.8517282229342177,0.8645419106788548,0.8581530650520302,0.8670683346339335,0.868230670636675,1.0,0.970328195469971
CY,0.5942415100023428,0.6495665593821159,0.715997640806435,0.6708937731769162,0.6440463704399265,1.0,0.9466725540209011,0.8301110315948423,0.9816522328301358,0.8670299194680117,0.789574116488114,0.7948320996165164,0.8345210864500477,0.8791960863642537,0.8985383732073724,0.8884762823541487,0.8392247308502679,0.8313406906607292,0.7928590561423505,0.8469314904107398,0.7773317946504188,0.8850028991580212,0.8430953494471355,0.8723202546289545,0.8610539629517743
CZ,0.7368826741677893,1.0,0.8555254522844092,0.8273233192076561,0.7862798575036286,0.8722305324300069,0.8563757967243558,0.9117739860469601,0.8890565256378635,0.9067773904527928,0.8355078329129789,0.9310987594587469,0.9409093989707642,0.9404894964802153,0.8604270248811947,0.8765902499022081,0.8744173307361599,0.8539454380944348,0.8342023464656484,0.8119858281875875,0.7924628727155859,0.7890310899718814,0.7886585424899877,0.8322291303547333,0.8247375063635695
DE,0.8563632761860658,1.0,0.9478890492497286,0.96642135387487,0.9590020733253662,0.925436824609861,0.9204402047159447,0.9190250829713202,0.9579454849133184,0.9505215608116554,0.95363192184253,0.9683701182359322,0.9731805823961112,0.9518946565693802,0.9273157566866798,0.951087684152568,0.9633531979453429,0.924095058790122,0.9517332974296482,0.9346898993037823,0.900951060546241,0.9286741823230625,0.9213879067648924,0.8882307604829947,0.8563865226283536
DK,0.9043851186851238,1.0,0.9410935143964293,0.9213432069353659,0.8843247852533785,0.8995605464467041,0.8904268787985212,0.8976599866611532,0.9411912524343824,0.9157599201378401,0.9131397451514287,0.9954824214913814,0.9687177403131835,0.9716198972535315,0.9230525516570971,0.9286439321546777,0.9153591241247927,0.8566327112261939,0.8611489859081242,0.7986702339956449,0.7866584391675171,0.801257488187221,0.7845365409559403,0.8119161544484345,0.8015607907048647
EE,0.8182947999339082,0.9244334136222785,0.8729676992721986,0.8156290355807148,0.7763591721782486,0.737331037904091,0.8104704212332922,0.7931779365527223,0.8764985221902746,0.8772406069729084,0.8880854986412418,0.8632684134603557,0.9879828374368015,0.9712537547269013,0.8709684621372483,0.9825544388284423,0.9492504526606689,0.9252467349577934,0.9933540669935822,1.0,0.9360821977370142,0.8866128104367041,0.9001824576386465,0.9924954649490545,0.8929342554956795
ES,0.6390585735475217,0.6891589189635876,0.7080275598308529,0.7182675313635352,0.7656264021873719,0.8170524455161696,0.8184291632936194,0.8563788999157244,0.8763836837311683,0.9229872437894726,0.9480678137564289,0.9420129908568434,1.0,0.9401876440871132,0.8517128254762519,0.8585491977796647,0.8735730791253378,0.817907971975718,0.7725242546049329,0.7740874404438671,0.7771527241619971,0.7500451543990346,0.7757102327309796,0.7984232405983067,0.7580813777620887
FI,0.7429046123062621,0.8967007203081052,0.8727978669489989,0.8331315418664264,0.8004292969592791,0.8640643553114574,0.8847874346683802,0.899151271729527,1.0,0.9492807005850071,0.8903484701009192,0.9795909666023029,0.9549890011273365,0.9401755376607801,0.8152195871598493,0.9038007486516875,0.8926222880114391,0.78773628908516,0.8626531593492159,0.754373482930625,0.7054257666009686,0.7188685376961912,0.6560217363038721,0.7080565410324424,0.6599408228850387
FR,0.8615023714307513,1.0,0.8707414323752022,0.902343909297151,0.908590079602518,0.9198872583158533,0.9222755684960701,0.9277492427756399,0.9345413983312107,0.950241166802241,0.9636596941518311,0.9454289759732363,0.9511663978758601,0.9520541669330246,0.8646840869111507,0.9036912251977084,0.9119874358083917,0.8883658492160398,0.889606907835658,0.8662164552673082,0.8367225446155276,0.8324894246758938,0.8219342576027795,0.8554946816944166,0.8341892083277853
GB,0.8119017118271389,0.856495111553145,0.8740440107505933,0.8750339949777749,0.8732634601730542,0.9033039676026275,0.8959169410248119,0.9241344318015987,0.9356113699756048,0.9791070324255855,0.9835075993681985,1.0,0.9709869687842667,0.9444251569119373,0.8435926815916968,0.8548893791426444,0.85015420472099,0.8504942502409213,0.8114630616646125,0.8005119586896525,0.773228690283313,0.7180710055660048,0.7126235586872959,0.7358311825764455,0.7181626969120093
GR,0.7868715086129222,0.7721590258564524,0.7598039645296855,0.7934578906127442,0.8410769658818325,0.8918770641816745,0.8797041059163614,0.8236137833063414,0.9110899500429092,0.9166441420531514,0.9564660976004802,0.9728146569066565,1.0,0.9897728013801128,0.8949525713768974,0.9137870623221795,0.9271827396337015,0.8782587488865643,0.8409462779213084,0.8159264005771755,0.8160790031549888,0.7945198331133243,0.825811925088122,0.8609151766235481,0.8303951934562577
HR,0.6609856823480351,0.6014518338655993,0.7471793838658901,0.7536372111112642,0.7662519171752841,0.8008340800994153,0.7986926060702517,0.8802149456657342,0.9089463491320438,0.9003110183741956,1.0,0.9887747946571925,0.9419882339908696,0.9344570645915472,0.8173645469465748,0.7635323161119101,0.7627748132274087,0.7107824142680118,0.6671126690927615,0.6251957004094287,0.6156886365351205,0.6277354966515336,0.6738229981499423,0.6999970017541097,0.7166913756133327
HU,0.7568445384674435,1.0,0.7688796703783055,0.7881772581766089,0.7834160063418217,0.9011154424503993,0.7419963395187542,0.8847386187816476,0.9529293395243382,0.9044947359906125,0.9670673489721555,0.9739778839561439,0.9229727394415899,0.9629790564766331,0.7997946366738059,0.7942166810707054,0.7498558956012332,0.7134174375716311,0.6847633898309079,0.6831224910555999,0.6586066147079295,0.6820009876033044,0.7033548251132582,0.7517231334430243,0.742501600385201
ID,0.5218682385517657,0.4874261431970204,0.4871677919489567,0.5113508761913902,0.5266456665580848,0.5135166599089168,0.5665747913818278,0.5861059464196552,0.6019529907533858,0.6263061953069006,0.6259939839828441,0.6511936236436552,0.6731395653841191,0.6932461671315233,0.694953043683675,0.7267125257044009,0.7525039526774092,0.7748073918522215,0.798465749558739,0.8309402667889249,0.8087853274218549,0.8212031676775049,0.8831863274507905,0.9490269536029202,1.0
IE,0.5683532840072382,0.5968578248360135,0.7157699114449132,0.7136191347018301,0.72251060480911,0.7288713857688249,0.7375692974010775,0.757660526180895,0.8100154551689611,0.8518741219764013,0.8844468119768648,0.926178850324823,0.9190048592360243,0.9083026639211469,0.8922286710335078,0.8760026199345577,0.8777645500830704,0.84143593599163,0.8536164295451492,0.8718540498112376,0.8882981304401895,0.9744163322011059,0.8819807541851603,0.9180342047753308,1.0
IN,0.48371245869085994,0.43510331327725243,0.4392207229761848,0.45117267855595816,0.4665665193417073,0.47635761672375115,0.4828829730507579,0.4914759727937276,0.4952713079546919,0.4966373304670899,0.5327664537354493,0.5622389542579197,0.5822327806142661,0.6167892709261279,0.6644463704818594,0.705219763424324,0.744844134875392,0.7660927076387768,0.7975175784685492,0.8268511880500604,0.8650521599716511,0.8814663554783682,0.9196556933805512,0.9721214542382312,1.0
IT,0.7882378894119515,0.8909343815917887,0.8738740507938549,0.9165653824614866,0.9196720421108059,0.9155856970135716,0.8922353396851493,0.9109535950034161,0.9398297792201062,0.9635976447117065,0.9783822776781436,1.0,0.9705365042879776,0.9614748362561111,0.9106393867057021,0.9225621663451478,0.9320454489993701,0.8562489053042915,0.8249324205332055,0.8014368096322215,0.7892448352549537,0.7712670537181463,0.7555752623887574,0.8082953828488892,0.7596850398117931
JP,0.8785665969735714,0.9205381111292061,0.8954695827369659,0.8421787339684529,0.8770776590629484,0.9225235370875838,0.9103461079811397,0.917683161296752,0.9419859147559406,0.9552170359882258,0.955766209503681,0.9639655029213312,0.9564364834221719,0.94884694750288,0.8671703837926311,0.9206772679131353,0.9792720480400071,1.0,0.9674827729131958,0.9426644407799962,0.8709108603499222,0.8351696035228211,0.9044818426255364,0.8542827473361215,0.8779472247177753
KR,0.5459677209735571,0.6092211235545381,0.6209256054688727,0.5143012484722691,0.5628156738311091,0.660244228315102,0.6754116772415477,0.6752652359493064,0.6763733781171576,0.7018531063494237,0.7168622634644078,0.7771064898270083,0.7921974606560453,0.7971981316053962,0.771463822981188,0.835242568776074,0.9005254338107145,0.9090845297132569,0.8795392591050608,0.9049291574432183,0.875206443259779,0.8952218859509229,0.9370240280179938,0.9979916454115202,1.0
LT,0.9607232679222022,0.7621145002701825,0.9486563226771466,0.9177503151842774,0.8364421230404188,0.9535475562532145,0.8420467980992782,0.8441621030151022,0.7956010028185259,0.8562906966354386,0.8984305427214166,0.9454416274931136,0.9357050665538788,1.0,0.8630704325977752,0.8856979238816889,0.8737188487269055,0.9165849587217193,0.8891450890250652,0.8605170864918119,0.8366636079106514,0.7848621515878416,0.8296840472571527,0.9029574304244408,0.8503772183415116
LU,0.26841856258676955,0.4138603480173602,0.4141242980787569,0.4276735131111306,0.5026092775345158,0.5867173723251197,0.6652429238771123,0.7051194853532987,0.6497876934605736,0.6767611505281658,0.7079650336543881,0.7371820274762133,0.6604374333047116,0.7299578563068381,0.7398982744946095,0.7525182544778358,0.7634041191802932,0.8337858024531906,0.9208032868869693,0.9615819111731151,1.0,0.9083153362050721,0.9135857501635953,0.9733441689511819,0.9731551732425137
LV,0.7107106451060821,0.7307000582113385,1.0,0.9169056732313411,0.9021486714603564,0.8799519738549585,0.8364198257891252,0.8175376387901414,0.8348357111708733,0.7931025924350286,0.7983637240360775,0.8262166850298822,0.8909163028396052,0.9333508176680325,0.8490325154935614,0.8715289664443618,0.92534952930044,0.9127109614921625,0.8629307004722212,0.8355362879939509,0.8820332699556964,0.8021643886518609,0.8223037365094201,0.8671908089129566,0.831453487718816
MT,0.39990218198636857,0.8399827292023416,0.7041359514224377,0.6558389375905206,0.7290983644357109,0.6772000216540427,0.6706143418118357,0.7191669896211049,0.7547621599054501,0.7033394704307827,0.7576012525918697,0.8457533179850143,0.8404793217245813,0.7632223111826602,0.9695354870231518,1.0,0.8156548659525381,0.8535832726384482,0.8557786806761788,0.7765323597153457,0.8100344995940931,0.7159807903402795,0.8161657716045871,0.8340178059651624,0.7604863476449744
